"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.52921839817198e-15,-1.96937131863529,0.896,1,1.9438055077311e-10,"Eef1a1-201",1.9438055077311e-10,"Down"
4.68806605172733e-13,-3.08384011317723,0.271,0.939,3.60296628339452e-08,"Tubb5-201",3.60296628339452e-08,"Down"
5.03499198115086e-13,2.68815006350079,0.938,0.735,3.86959273719369e-08,"Lars2-209",3.86959273719369e-08,"Up"
6.1918415650037e-13,2.63127923587402,0.938,0.755,4.75867791636795e-08,"Lars2-201",4.75867791636795e-08,"Up"
8.670224831131e-13,-3.72928136541378,0.146,0.857,6.66341459171742e-08,"Hemgn-202",6.66341459171742e-08,"Down"
1.80013501500282e-12,-1.94414635573283,0.708,1,1.38347576443027e-07,"Pabpc1-201",1.38347576443027e-07,"Down"
2.65768245438252e-12,-2.06540258652247,0.583,0.98,2.04253527349114e-07,"Car2-201",2.04253527349114e-07,"Down"
7.33245518519173e-12,1.74753605946676,1,0.959,5.63528510802726e-07,"Hba-a1-201",5.63528510802726e-07,"Up"
1.89481446721599e-11,1.76257378908432,1,1,1.45624071063418e-06,"Hbb-bs-201",1.45624071063418e-06,"Up"
2.27747127624038e-11,-2.36007073585413,0.292,0.918,1.75032777464178e-06,"Cpox-201",1.75032777464178e-06,"Down"
2.50060940650916e-11,-2.3673077944779,0.375,0.939,1.92181835327855e-06,"Tubb4b-201",1.92181835327855e-06,"Down"
3.75619193418166e-11,-2.85065394451982,0.479,0.878,2.88678374909597e-06,"Mki67-201",2.88678374909597e-06,"Down"
7.42178659869167e-11,1.53459847189121,1,1,5.70393987255849e-06,"Tpt1-201",5.70393987255849e-06,"Up"
1.14040452648892e-10,-4.12911146897322,0.042,0.694,8.76446494787792e-06,"Ncor1-201",8.76446494787792e-06,"Down"
1.14040452648892e-10,-4.12911146897322,0.042,0.694,8.76446494787792e-06,"Ncor1-204",8.76446494787792e-06,"Down"
1.6216049209509e-10,-2.77604052900626,0.104,0.816,1.24626824594761e-05,"Gypa-201",1.24626824594761e-05,"Down"
2.29724685346249e-10,-5.79201648742202,0,0.612,1.76552609676007e-05,"Srrm1-203",1.76552609676007e-05,"Down"
2.29724685346249e-10,-7.05884526059579,0,0.612,1.76552609676007e-05,"Rrm1-201",1.76552609676007e-05,"Down"
3.75710240489981e-10,-2.27113868266629,0.125,0.837,2.8874834822617e-05,"Wdr26-209",2.8874834822617e-05,"Down"
3.75710240489981e-10,-2.27113868266629,0.125,0.837,2.8874834822617e-05,"Wdr26-207",2.8874834822617e-05,"Down"
4.06680722675574e-10,-2.50269657446639,0.229,0.857,3.12550402605085e-05,"Slc39a8-205",3.12550402605085e-05,"Down"
4.12411178506731e-10,-4.32654365384952,0.042,0.673,3.16954487129563e-05,"Sfpq-201",3.16954487129563e-05,"Down"
4.19835378083402e-10,-3.90993593452271,0.104,0.735,3.22660281472218e-05,"Anapc5-201",3.22660281472218e-05,"Down"
4.65139508755973e-10,-3.34767104491529,0.125,0.755,3.57478318059315e-05,"Hemgn-201",3.57478318059315e-05,"Down"
5.19626151545429e-10,-3.45882670723234,0.021,0.653,3.99353482508724e-05,"Acp1-201",3.99353482508724e-05,"Down"
6.32523042713941e-10,-4.18780460387569,0.042,0.673,4.86119259247372e-05,"Ank1-213",4.86119259247372e-05,"Down"
8.40519475298925e-10,1.70309009170205,0.979,0.918,6.45972837546236e-05,"Ftl1-ps1-202",6.45972837546236e-05,"Up"
8.74700097765459e-10,-4.45635427056961,0.062,0.673,6.72242013136666e-05,"H1f1-201",6.72242013136666e-05,"Down"
1.25317760967917e-09,-3.62094497177053,0.104,0.714,9.63117120142826e-05,"Anapc5-203",9.63117120142826e-05,"Down"
1.39588965584007e-09,-6.91623772066526,0,0.571,0.000107279703609933,"Kif11-201",0.000107279703609933,"Down"
1.45152620195112e-09,-2.2723320133553,0.229,0.837,0.000111555594724751,"Slc39a8-202",0.000111555594724751,"Down"
1.45152620195112e-09,-2.2723320133553,0.229,0.837,0.000111555594724751,"Slc39a8-201",0.000111555594724751,"Down"
1.45152620195112e-09,-2.2723320133553,0.229,0.837,0.000111555594724751,"Slc39a8-206",0.000111555594724751,"Down"
1.69280766857107e-09,-3.3292558233361,0.042,0.653,0.000130099040560361,"Ank1-209",0.000130099040560361,"Down"
1.69280766857107e-09,-3.3292558233361,0.042,0.653,0.000130099040560361,"Ank1-207",0.000130099040560361,"Down"
1.79638035424031e-09,-4.06102316869407,0.021,0.612,0.000138059015744785,"Ptbp1-206",0.000138059015744785,"Down"
2.87682648248479e-09,-2.69471100182863,0.146,0.776,0.000221095622484886,"Epb42-202",0.000221095622484886,"Down"
3.35298941594617e-09,-5.85892252108687,0,0.551,0.000257690648573127,"Rrp1-201",0.000257690648573127,"Down"
3.64645650489328e-09,-3.50424987250331,0.104,0.694,0.000280244768227068,"Anapc5-212",0.000280244768227068,"Down"
3.76816903198944e-09,-1.94595037439685,0.229,0.878,0.000289598862784516,"Sptb-202",0.000289598862784516,"Down"
4.27961993103431e-09,-4.03530192039622,0.021,0.592,0.000328905910179711,"Ptbp1-215",0.000328905910179711,"Down"
5.70026058447615e-09,-1.65556443819904,0.479,0.918,0.00043808782695933,"Slc4a1-201",0.00043808782695933,"Down"
7.06165205424612e-09,-1.94565732391912,0.062,0.673,0.000542716206977031,"Ank1-205",0.000542716206977031,"Down"
7.6549876467596e-09,-2.27939880180231,0.229,0.837,0.000588316420604063,"Ddx5-201",0.000588316420604063,"Down"
1.03088136684831e-08,-3.23754318029641,0.042,0.612,0.000792273565677599,"Ank1-202",0.000792273565677599,"Down"
1.07976069086733e-08,-2.7236718006855,0.104,0.714,0.000829839281359178,"Hmbs-202",0.000829839281359178,"Down"
1.16870514194187e-08,-4.66018859187379,0.021,0.551,0.000898196649788004,"Ncor1-205",0.000898196649788004,"Down"
1.26966702060317e-08,-1.53798003337397,0.604,0.939,0.000975789892014363,"Anp32b-201",0.000975789892014363,"Down"
1.44549217610386e-08,-3.4930269362182,0.021,0.571,0.00111091855702286,"Api5-201",0.00111091855702286,"Down"
1.68486247657894e-08,-2.34681951642821,0.188,0.816,0.00129488420774998,"Eif5-202",0.00129488420774998,"Down"
1.83530169986636e-08,-3.08996744081383,0.062,0.633,0.00141050276841529,"Stag2-202",0.00141050276841529,"Down"
1.90162660968695e-08,-1.99890947841152,0.104,0.714,0.00146147611460881,"Cbx3-201",0.00146147611460881,"Down"
2.35458602460112e-08,-3.57626319582174,0.042,0.592,0.00180959354334695,"Ank1-215",0.00180959354334695,"Down"
2.58308242363135e-08,-2.64785590172766,0.062,0.633,0.00198520216585764,"Psmd1-201",0.00198520216585764,"Down"
2.71157414107422e-08,-3.0646973163813,0.062,0.633,0.00208395319038118,"Cenpf-204",0.00208395319038118,"Down"
3.02519711765702e-08,-2.04229346129892,0.062,0.653,0.00232498499280412,"Eif2ak1-201",0.00232498499280412,"Down"
3.08991011970391e-08,-2.34230148722307,0.292,0.837,0.00237471952339725,"Ncoa4-202",0.00237471952339725,"Down"
3.13992397679531e-08,-2.16297444962959,0.125,0.735,0.00241315717312627,"H2ax-201",0.00241315717312627,"Down"
3.37706679884334e-08,-2.60499954191699,0.083,0.673,0.00259541091758306,"Tpx2-201",0.00259541091758306,"Down"
3.46712013671628e-08,-4.78294326995741,0.021,0.531,0.00266462050987193,"Eif2s1-201",0.00266462050987193,"Down"
3.59170965388204e-08,-4.38202943097005,0.062,0.592,0.0027603725373945,"Nap1l1-203",0.0027603725373945,"Down"
3.98838468361083e-08,-2.6999666824621,0.062,0.633,0.00306523316474226,"Abcb10-201",0.00306523316474226,"Down"
4.20944935879073e-08,-6.29019497862012,0,0.49,0.00323513021020503,"Kif4-201",0.00323513021020503,"Down"
4.20944935879073e-08,-5.7257696697103,0,0.49,0.00323513021020503,"Phf10-201",0.00323513021020503,"Down"
4.20944935879073e-08,-5.89491846832144,0,0.49,0.00323513021020503,"Cep70-201",0.00323513021020503,"Down"
4.51195341681299e-08,-3.02229393203846,0.062,0.612,0.00346761667895746,"Stag2-203",0.00346761667895746,"Down"
4.93435419451552e-08,-2.23585719116443,0.146,0.714,0.00379224857265295,"Ptp4a3-203",0.00379224857265295,"Down"
4.93435419451552e-08,-2.23585719116443,0.146,0.714,0.00379224857265295,"Ptp4a3-207",0.00379224857265295,"Down"
4.93435419451552e-08,-2.23585719116443,0.146,0.714,0.00379224857265295,"Ptp4a3-202",0.00379224857265295,"Down"
