"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.93748629800991e-15,-1.79825808797343,0.833,1,1.3947750922863e-10,"Eef1a1",1.3947750922863e-10,"Down"
1.3772738994818e-13,-1.97025265660595,0.646,0.98,2.42014569616941e-09,"Pabpc1",2.42014569616941e-09,"Down"
1.88645990623567e-13,2.85735468947811,1,0.918,3.31488734723731e-09,"Peak1",3.31488734723731e-09,"Up"
2.0271334076919e-13,-3.59474352151374,0.146,0.878,3.56207882399621e-09,"Tubb5",3.56207882399621e-09,"Down"
2.69474935126824e-12,-2.06251116445794,0.604,0.98,4.73521356004856e-08,"Car2",4.73521356004856e-08,"Down"
4.71036608893772e-12,2.85659844107745,0.917,0.306,8.27705529148137e-08,"Ftl1-ps1",8.27705529148137e-08,"Up"
6.1409123389555e-12,1.34552321129982,1,0.98,1.07908111620126e-07,"Tpt1",1.07908111620126e-07,"Up"
9.02828102779549e-12,-2.80314267077069,0.146,0.837,1.58644954220422e-07,"Gypa",1.58644954220422e-07,"Down"
1.67307720494992e-11,-3.63321766932838,0.167,0.796,2.93993126453801e-07,"Hemgn",2.93993126453801e-07,"Down"
1.75023166920963e-11,3.02974734339405,0.896,0.531,3.07550708913516e-07,"Itga9",3.07550708913516e-07,"Up"
3.6271682677491e-11,2.49288293079477,1,0.98,6.37366008008871e-07,"Zc3h7a",6.37366008008871e-07,"Up"
3.65473265865599e-11,-3.03799726324178,0.458,0.878,6.4220962277903e-07,"Mki67",6.4220962277903e-07,"Down"
4.46580174395638e-11,-2.52044973916643,0.25,0.857,7.84730682448015e-07,"Slc39a8",7.84730682448015e-07,"Down"
6.4656932455734e-11,2.30985526258679,0.917,0.51,1.13615161711216e-06,"Hbb-bt",1.13615161711216e-06,"Up"
9.17595575481138e-11,-1.6895162490387,0.562,1,1.61239894523545e-06,"H3f3a",1.61239894523545e-06,"Down"
1.24585674785139e-10,-2.42968427524325,0.333,0.898,2.18921947732447e-06,"Tubb4b",2.18921947732447e-06,"Down"
1.49608733329748e-10,4.11721018464439,0.688,0.061,2.62892466207033e-06,"Grik3",2.62892466207033e-06,"Up"
4.80878896893135e-10,-2.14569466301583,0.417,0.857,8.45000397620616e-06,"Anp32b",8.45000397620616e-06,"Down"
7.15266857471182e-10,-1.70979219443598,0.604,0.939,1.25686692194836e-05,"Slc4a1",1.25686692194836e-05,"Down"
1.09995172999619e-09,-2.2522880243698,0.292,0.857,1.93283517994931e-05,"Cpox",1.93283517994931e-05,"Down"
1.91251782788095e-09,1.57052491710699,1,0.857,3.3606763271524e-05,"Hbb-bs",3.3606763271524e-05,"Up"
1.22762447583346e-08,-1.94328560900568,0.396,0.857,0.000215718172893456,"Spta1",0.000215718172893456,"Down"
1.244261288533e-08,-3.29218075149331,0.062,0.612,0.000218641593621018,"Anapc5",0.000218641593621018,"Down"
1.40144435568569e-08,-1.43803161795676,0.771,0.939,0.00024626180218109,"Slc25a37",0.00024626180218109,"Down"
1.42208899028998e-08,-1.44125896803002,0.729,0.959,0.000249889477373755,"Nudt4",0.000249889477373755,"Down"
1.99277575286617e-08,-2.17670353407337,0.25,0.776,0.000350170555293643,"Ncoa4",0.000350170555293643,"Down"
2.3577478049701e-08,1.5482144323283,1,1,0.000414303444289346,"Hba-a1",0.000414303444289346,"Up"
3.69506225659955e-08,-2.07877711338412,0.292,0.796,0.000649296339729673,"Eif4g2",0.000649296339729673,"Down"
5.80952955441663e-08,-2.77760757866355,0.104,0.633,0.00102085053330209,"Hmbs",0.00102085053330209,"Down"
6.73407035639737e-08,-3.77760757866355,0.021,0.51,0.00118331084302615,"Nap1l1",0.00118331084302615,"Down"
7.42036183605425e-08,-2.06540988964629,0.208,0.735,0.00130390598183145,"Epb42",0.00130390598183145,"Down"
8.54258836009027e-08,-2.00062630564947,0.479,0.816,0.00150110362663506,"H1f4",0.00150110362663506,"Down"
1.28995556463326e-07,-2.35491650684127,0.146,0.673,0.00226670991817356,"Wdr26",0.00226670991817356,"Down"
1.46323191368688e-07,-2.14017765804826,0.229,0.735,0.00257119111873058,"Tmem14c",0.00257119111873058,"Down"
1.60353443112186e-07,-1.76166603479453,0.354,0.837,0.00281773070236733,"Sptb",0.00281773070236733,"Down"
1.70840728714087e-07,-1.6256044852185,0.354,0.837,0.00300201328496393,"Tspan33",0.00300201328496393,"Down"
2.00137521516859e-07,-2.21818017004953,0.125,0.653,0.00351681652809425,"Rbm3",0.00351681652809425,"Down"
2.00569244044428e-07,-2.1926450779424,0.146,0.673,0.00352440275634868,"Ptp4a3",0.00352440275634868,"Down"
2.17579901013397e-07,2.24606525032082,0.729,0.224,0.00382331402060742,"Mkrn1",0.00382331402060742,"Up"
5.02338402783641e-07,-1.64010405491362,0.312,0.837,0.00882709041371415,"Gclm",0.00882709041371415,"Down"
