"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
9.60003401586922e-14,-1.08323488353841,1,1,2.81280996664968e-11,"Tal1",2.81280996664968e-11,"Down","AUC","APC-like Erythroid Cells","E12.5Semi-AllovsE12.5Syn"
2.04462061503069e-12,1.05788982908811,1,0.959,5.99073840203992e-10,"Atf2",5.99073840203992e-10,"Up","AUC","APC-like Erythroid Cells","E12.5Semi-AllovsE12.5Syn"
5.14539197274298e-12,-1.00029050788995,0.979,1,1.50759984801369e-09,"Foxm1",1.50759984801369e-09,"Down","AUC","APC-like Erythroid Cells","E12.5Semi-AllovsE12.5Syn"
9.29259935457799e-06,1.13651499001586,0.562,0.143,0.00272273161089135,"Prdm1",0.00272273161089135,"Up","AUC","APC-like Erythroid Cells","E12.5Semi-AllovsE12.5Syn"
1.4052940649825e-183,-1.05198365732735,1,1,4.11751161039872e-181,"Pbx1",4.11751161039872e-181,"Down","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
1.58314434193471e-136,-1.1627415783992,0.956,1,4.6386129218687e-134,"Hoxa10",4.6386129218687e-134,"Down","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
2.89554460089191e-134,1.20034857781697,1,0.967,8.48394568061329e-132,"Tbp",8.48394568061329e-132,"Up","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
1.08425114080062e-111,1.23681417267396,0.999,0.92,3.17685584254582e-109,"Pou2f3",3.17685584254582e-109,"Up","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
1.86583318031226e-83,-1.19957297273745,0.645,0.933,5.46689121831493e-81,"Hand2",5.46689121831493e-81,"Down","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
2.45720629407792e-71,1.09525021871042,0.939,0.775,7.19961444164831e-69,"Ctcf",7.19961444164831e-69,"Up","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
1.69008440354499e-70,1.16176658189323,0.945,0.863,4.95194730238682e-68,"Zfp42",4.95194730238682e-68,"Up","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
9.02819847578674e-68,1.11501672113003,0.977,0.895,2.64526215340552e-65,"Tfap2c",2.64526215340552e-65,"Up","AUC","Decidua Early","E12.5Semi-AllovsE12.5Syn"
