"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.4052940649825e-183,-1.05198365732735,1,1,4.11751161039872e-181,"Pbx1",4.11751161039872e-181,"Down"
1.58314434193471e-136,-1.1627415783992,0.956,1,4.6386129218687e-134,"Hoxa10",4.6386129218687e-134,"Down"
2.89554460089191e-134,1.20034857781697,1,0.967,8.48394568061329e-132,"Tbp",8.48394568061329e-132,"Up"
1.08425114080062e-111,1.23681417267396,0.999,0.92,3.17685584254582e-109,"Pou2f3",3.17685584254582e-109,"Up"
1.86583318031226e-83,-1.19957297273745,0.645,0.933,5.46689121831493e-81,"Hand2",5.46689121831493e-81,"Down"
2.45720629407792e-71,1.09525021871042,0.939,0.775,7.19961444164831e-69,"Ctcf",7.19961444164831e-69,"Up"
1.69008440354499e-70,1.16176658189323,0.945,0.863,4.95194730238682e-68,"Zfp42",4.95194730238682e-68,"Up"
9.02819847578674e-68,1.11501672113003,0.977,0.895,2.64526215340552e-65,"Tfap2c",2.64526215340552e-65,"Up"
1.42673410629844e-65,1.42237976201097,0.833,0.47,4.18033093145443e-63,"Zfp64",4.18033093145443e-63,"Up"
7.05318105750632e-45,1.1815924330266,0.653,0.292,2.06658204984935e-42,"Rfx2",2.06658204984935e-42,"Up"
2.46555253919033e-40,1.02931093990357,0.525,0.165,7.22406893982766e-38,"Zfp654",7.22406893982766e-38,"Up"
8.06071693555834e-39,1.06696811186622,0.623,0.297,2.36179006211859e-36,"Hsf1",2.36179006211859e-36,"Up"
4.47613139682579e-34,1.00191426098948,0.594,0.304,1.31150649926996e-31,"Snd1",1.31150649926996e-31,"Up"
3.67725819992498e-32,1.02088706644545,0.619,0.285,1.07743665257802e-29,"Bcl11a",1.07743665257802e-29,"Up"
