"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.13716351628034e-168,-1.90749595820608,0.85,0.997,8.73955648802095e-164,"Gpx3-201",8.73955648802095e-164,"Down"
5.40349777626655e-106,-2.60052802328902,0.258,0.815,4.15280418097189e-101,"Sptbn1-201",4.15280418097189e-101,"Down"
7.40628486717366e-97,-2.27096074646891,0.189,0.753,5.69202617181765e-92,"Masp1-203",5.69202617181765e-92,"Down"
2.19118960776224e-94,-1.94919854912285,0.404,0.904,1.68401686114959e-89,"Gja1-201",1.68401686114959e-89,"Down"
4.02453026268951e-93,-1.49775534651176,0.43,0.936,3.0930124880874e-88,"Epas1-201",3.0930124880874e-88,"Down"
6.3813577927305e-93,-2.38475746586969,0.249,0.775,4.9043287180251e-88,"Sptbn1-202",4.9043287180251e-88,"Down"
3.26812279219413e-90,-1.81281291342188,0.301,0.835,2.51168309071288e-85,"Ahnak-202",2.51168309071288e-85,"Down"
1.26383450810159e-88,-1.94495762815299,0.243,0.774,9.71307372856395e-84,"Usp53-201",9.71307372856395e-84,"Down"
5.67341050423078e-84,-1.953419786527,0.199,0.724,4.36024290892153e-79,"Zmiz1-208",4.36024290892153e-79,"Down"
1.26055005888925e-82,-1.55618473839793,0.351,0.881,9.68783142258748e-78,"Ubc-202",9.68783142258748e-78,"Down"
3.74845200876968e-82,-1.20645997076309,0.766,0.979,2.88083530681985e-77,"Eef1a1-201",2.88083530681985e-77,"Down"
5.90597128693328e-82,-2.20976670378042,0.281,0.768,4.5389751728597e-77,"Rrm2-201",4.5389751728597e-77,"Down"
1.90875746163239e-81,-1.56321974747858,0.523,0.937,1.46695645956296e-76,"Des-201",1.46695645956296e-76,"Down"
2.01826016034962e-81,-1.73876506167396,0.492,0.902,1.5511136636351e-76,"Htra3-201",1.5511136636351e-76,"Down"
3.86621519569655e-81,-1.66682529559998,0.186,0.741,2.97134102650062e-76,"Padi2-201",2.97134102650062e-76,"Down"
4.78061499927126e-80,-1.55827462501363,0.314,0.838,3.67409385153993e-75,"Ubc-203",3.67409385153993e-75,"Down"
9.21141826097469e-79,-2.39799929829844,0.083,0.56,7.07934339028949e-74,"Klf4-201",7.07934339028949e-74,"Down"
3.32192933454597e-77,-1.96391313544295,0.189,0.708,2.55303557077196e-72,"Cdo1-201",2.55303557077196e-72,"Down"
1.06034158201632e-76,-1.8041608283696,0.395,0.838,8.14914919442824e-72,"Serping1-201",8.14914919442824e-72,"Down"
8.04788395254129e-74,-1.51700727308457,0.374,0.852,6.18512073288608e-69,"Egr1-201",6.18512073288608e-69,"Down"
1.12307610393519e-72,-2.2784087427435,0.235,0.708,8.63128908918349e-68,"Dst-201",8.63128908918349e-68,"Down"
1.72050644903753e-70,-2.03934162438372,0.279,0.75,1.32227802634331e-65,"Erv3-201",1.32227802634331e-65,"Down"
2.94211168888041e-70,-1.93711823572552,0.101,0.565,2.26113051737215e-65,"Anxa1-201",2.26113051737215e-65,"Down"
9.34729417629079e-70,-2.08624948604968,0.108,0.555,7.18376946624652e-65,"Pbx1-205",7.18376946624652e-65,"Down"
1.93911144671572e-69,-1.82882737658861,0.175,0.657,1.4902847112589e-64,"Adam12-201",1.4902847112589e-64,"Down"
2.3535298914783e-67,-1.73466654567527,0.328,0.797,1.80878186279673e-62,"Mitf-202",1.80878186279673e-62,"Down"
4.24718625355586e-66,-1.56634078593078,0.28,0.753,3.26413252330782e-61,"Col5a2-201",3.26413252330782e-61,"Down"
6.57877380764529e-66,-1.79540183007107,0.153,0.616,5.05605082212771e-61,"Arid5b-204",5.05605082212771e-61,"Down"
7.87796110765237e-65,-2.71488001419617,0.059,0.458,6.05452822967516e-60,"Anxa1-208",6.05452822967516e-60,"Down"
3.71759817591671e-64,-2.04343644389169,0.079,0.503,2.85712290211903e-59,"Ctnnd1-221",2.85712290211903e-59,"Down"
7.03418502722341e-64,2.18599689398387,0.801,0.692,5.40605256082228e-59,"Spc24-201",5.40605256082228e-59,"Up"
2.02285732286909e-63,-2.18337358591522,0.381,0.827,1.55464676691781e-58,"Selenop-201",1.55464676691781e-58,"Down"
4.51952312929975e-63,-1.73920717633331,0.101,0.535,3.47343430579203e-58,"Zeb2-212",3.47343430579203e-58,"Down"
4.61150307825351e-63,-1.73894160909303,0.089,0.516,3.54412457576095e-58,"Anxa1-207",3.54412457576095e-58,"Down"
7.25752185921135e-63,-1.36497552395652,0.295,0.788,5.5776958496783e-58,"Gnas-202",5.5776958496783e-58,"Down"
