"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.59656047212241e-97,2.97099485254195,0.608,0.015,4.30118058524495e-92,"Ctsj-202",4.30118058524495e-92,"Up"
1.15224971267589e-75,2.09980767250434,0.696,0.072,8.8554999417993e-71,"Afp-201",8.8554999417993e-71,"Up"
4.66325843485173e-73,5.79190222057114,0.438,0.005,3.58390063752094e-68,"Col6a2-201",3.58390063752094e-68,"Up"
1.32865366735239e-71,3.46066004059522,0.814,0.204,1.021123489507e-66,"Inhba-201",1.021123489507e-66,"Up"
1.7446825353446e-68,5.84009258237526,0.407,0.004,1.34085831571374e-63,"Psg16-202",1.34085831571374e-63,"Up"
8.10149487436051e-68,2.42920512225663,0.567,0.044,6.22632287074102e-63,"Psg23-201",6.22632287074102e-63,"Up"
7.50948408983166e-66,2.72152923264727,0.613,0.068,5.77133890239923e-61,"Psg21-201",5.77133890239923e-61,"Up"
2.10383095950721e-64,3.01678807480262,0.567,0.052,1.61687824561967e-59,"Tnfrsf23-201",1.61687824561967e-59,"Up"
4.86500461991574e-61,2.67420854452822,0.603,0.072,3.73895065059004e-56,"Anpep-202",3.73895065059004e-56,"Up"
6.71281415657335e-60,5.50626276723749,0.361,0.004,5.15906619189288e-55,"Ctsq-201",5.15906619189288e-55,"Up"
8.56253593442616e-60,4.71804872940559,0.361,0.004,6.58065136704388e-55,"Psg16-204",6.58065136704388e-55,"Up"
1.32392617206643e-57,2.95859504272025,0.644,0.101,1.01749022027993e-52,"Anxa1-201",1.01749022027993e-52,"Up"
5.03004853557165e-57,3.50097470868568,0.407,0.018,3.86579350152824e-52,"Sfrp5-201",3.86579350152824e-52,"Up"
3.3386712004851e-56,2.06570418466249,0.567,0.064,2.56590236442082e-51,"Ceacam11-201",2.56590236442082e-51,"Up"
5.00489833122443e-56,1.98995354203088,0.418,0.02,3.84646456347923e-51,"Psg16-201",3.84646456347923e-51,"Up"
4.6233369909468e-54,2.7035040654039,0.474,0.04,3.55321941102225e-49,"Tpbpb-201",3.55321941102225e-49,"Up"
1.03075394556491e-53,2.48646152776484,0.716,0.16,7.92175637324454e-49,"Ndrg1-201",7.92175637324454e-49,"Up"
3.21401836377785e-53,2.6508561361874,0.381,0.016,2.47010167329783e-48,"Cfl2-201",2.47010167329783e-48,"Up"
3.22303889700088e-53,2.34249102164984,0.428,0.03,2.47703431390106e-48,"Clu-201",2.47703431390106e-48,"Up"
5.78011223282753e-53,2.84051275645967,0.588,0.089,4.44224745541727e-48,"Pam-210",4.44224745541727e-48,"Up"
