"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.84454331566284e-108,5.08295989955208,0.614,0.071,2.18614531981952e-103,"Ftl1-206",2.18614531981952e-103,"Up"
2.80727680319053e-101,3.3103890579883,0.847,0.404,2.15750451432405e-96,"Ftl1-203",2.15750451432405e-96,"Up"
8.04766741804655e-64,3.27987028583762,0.682,0.312,6.1849543174655e-59,"Ftl1-202",6.1849543174655e-59,"Up"
1.28251831636382e-63,-1.55104424837394,0.398,0.802,9.8566662685825e-59,"Ppp1r15a-201",9.8566662685825e-59,"Down"
6.25244103393693e-60,-1.06304536193587,0.271,0.711,4.80525103222189e-55,"Lama5-201",4.80525103222189e-55,"Down"
4.9571795263957e-52,-1.30004493821853,0.438,0.842,3.80979075321615e-47,"Tmem150a-201",3.80979075321615e-47,"Down"
2.05094043695333e-50,-1.34506394397061,0.354,0.753,1.57622976341611e-45,"Col5a2-201",1.57622976341611e-45,"Down"
4.16095162148885e-50,-1.14158741273597,0.385,0.774,3.19785775917904e-45,"Usp53-201",3.19785775917904e-45,"Down"
1.31597687317495e-48,-1.29107710602843,0.441,0.792,1.01138086610987e-43,"Btbd3-201",1.01138086610987e-43,"Down"
1.71524269711008e-48,-1.28630231219627,0.331,0.719,1.31823262243698e-43,"Spon1-201",1.31823262243698e-43,"Down"
2.38701988473801e-47,-1.28950281461418,0.409,0.797,1.83452026221655e-42,"Mitf-202",1.83452026221655e-42,"Down"
4.92108186489094e-47,-2.12563067608966,0.128,0.476,3.78204825644328e-42,"Alas2-201",3.78204825644328e-42,"Down"
7.59130828028185e-47,-1.47291836128155,0.673,0.899,5.83422406572781e-42,"Selenop-203",5.83422406572781e-42,"Down"
1.33788259156003e-44,1.7233874063542,0.973,0.982,1.02821628691754e-39,"Ctla2a-201",1.02821628691754e-39,"Up"
4.67405345042959e-42,-1.034901355079,0.301,0.681,3.59219703879316e-37,"Dst-211",3.59219703879316e-37,"Down"
9.55010475681698e-42,-1.36350760395892,0.242,0.607,7.33963750980412e-37,"Fgfr2-211",7.33963750980412e-37,"Down"
2.23688812287484e-40,1.60668126862584,0.816,0.537,1.71913799795423e-35,"Gapdh-202",1.71913799795423e-35,"Up"
2.23688812287484e-40,1.60668126828064,0.816,0.537,1.71913799795423e-35,"Gapdh-201",1.71913799795423e-35,"Up"
3.12879903073422e-40,-1.060252990871,0.414,0.746,2.40460720708047e-35,"Cd2ap-201",2.40460720708047e-35,"Down"
4.28595113645005e-39,-1.05132188250165,0.476,0.815,3.29392488640732e-34,"Sptbn1-201",3.29392488640732e-34,"Down"
1.19732361162381e-38,3.48439781824494,0.349,0.084,9.20191088477362e-34,"Afp-201",9.20191088477362e-34,"Up"
1.73383166750929e-37,-1.1081884004081,0.225,0.554,1.33251898974759e-32,"Ankrd17-202",1.33251898974759e-32,"Down"
7.41616906188184e-36,-1.16805411253947,0.285,0.62,5.69962257081867e-31,"Emilin2-202",5.69962257081867e-31,"Down"
