"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.7289529472581e-181,-2.24533023354065,0.855,0.997,4.79531611892194e-177,"Gpx3",4.79531611892194e-177,"Down"
1.3164838431788e-120,-1.89632504189456,0.423,0.924,2.31332540923379e-116,"Epas1",2.31332540923379e-116,"Down"
8.58254372412316e-120,-2.40838930768284,0.395,0.877,1.50812458320292e-115,"Gja1",1.50812458320292e-115,"Down"
2.91441599572556e-111,-1.91609177538187,0.425,0.894,5.12121178768896e-107,"Mitf",5.12121178768896e-107,"Down"
1.25045737137545e-109,-2.11463330932175,0.534,0.933,2.19730369298094e-105,"Des",2.19730369298094e-105,"Down"
5.15542661982849e-107,-2.29841842736615,0.301,0.808,9.05911565636261e-103,"Sptbn1",9.05911565636261e-103,"Down"
2.38396864803443e-103,-2.36466430729831,0.257,0.776,4.1891097083261e-99,"Masp1",4.1891097083261e-99,"Down"
5.48395065723055e-103,-1.93590244126957,0.518,0.915,9.63639809488553e-99,"Htra3",9.63639809488553e-99,"Down"
1.23736967921227e-97,2.51858666472518,0.768,0.381,2.17430600031179e-93,"Ftl1-ps1",2.17430600031179e-93,"Up"
3.24974618426396e-95,-2.05228727053995,0.314,0.785,5.71045399498863e-91,"Usp53",5.71045399498863e-91,"Down"
2.03831755846239e-94,-1.56611786681467,0.837,0.99,3.5817316137301e-90,"Ctla2a",3.5817316137301e-90,"Down"
4.220293236659e-92,-1.720270358029,0.366,0.844,7.41589927545719e-88,"Adam19",7.41589927545719e-88,"Down"
1.13357562020748e-90,-2.70856383808435,0.279,0.732,1.99191907982858e-86,"Rrm2",1.99191907982858e-86,"Down"
2.95906500047357e-88,-1.88470991453877,0.346,0.808,5.19966901883217e-84,"Dst",5.19966901883217e-84,"Down"
7.41813240186436e-86,-1.88606852379369,0.444,0.834,1.3035142256556e-81,"Serping1",1.3035142256556e-81,"Down"
8.59700112278314e-84,-2.04832455571321,0.209,0.704,1.51066503729545e-79,"Padi2",1.51066503729545e-79,"Down"
1.57431880593307e-82,-1.89632924717499,0.32,0.771,2.76639300578559e-78,"Ahnak",2.76639300578559e-78,"Down"
3.0580613110122e-79,-2.4482537405332,0.193,0.653,5.37362533571065e-75,"Cdo1",5.37362533571065e-75,"Down"
3.43668750004857e-79,-1.79389869378962,0.578,0.911,6.03894727508535e-75,"Fstl1",6.03894727508535e-75,"Down"
4.02772550130069e-79,-2.87530146592881,0.143,0.597,7.07751925088557e-75,"Thsd7a",7.07751925088557e-75,"Down"
2.2862026845996e-78,2.53230594739695,0.658,0.22,4.01731535737843e-74,"H19",4.01731535737843e-74,"Up"
8.65969317222864e-78,-2.55287754274894,0.298,0.742,1.52168128422402e-73,"Erv3",1.52168128422402e-73,"Down"
2.1368495367337e-77,-1.86643826548723,0.362,0.785,3.75487200594846e-73,"Egr1",3.75487200594846e-73,"Down"
2.96414238290617e-77,-2.03373033409127,0.572,0.84,5.20859099524272e-73,"Selenop",5.20859099524272e-73,"Down"
1.6427239717339e-76,3.12961146203253,0.542,0.12,2.88659456313082e-72,"Grik3",2.88659456313082e-72,"Up"
2.24792215749763e-76,-2.41372002622296,0.134,0.59,3.95004881515484e-72,"Slco5a1",3.95004881515484e-72,"Down"
4.25612382131019e-76,-2.21327805774816,0.597,0.873,7.47886077880626e-72,"A2m",7.47886077880626e-72,"Down"
1.34871079744116e-75,-1.63044311240579,0.571,0.891,2.3699546132636e-71,"Ccn1",2.3699546132636e-71,"Down"
8.78272004950998e-73,-1.64343132074374,0.367,0.783,1.54329956709989e-68,"Btbd3",1.54329956709989e-68,"Down"
2.60395814397683e-72,-2.79205026939725,0.1,0.527,4.57567525059608e-68,"Anxa1",4.57567525059608e-68,"Down"
4.14816530042909e-72,-1.98369515313831,0.286,0.711,7.28915606591399e-68,"Aoc1",7.28915606591399e-68,"Down"
5.11185971365566e-69,-2.2209099740216,0.204,0.626,8.98255988883573e-65,"Adam12",8.98255988883573e-65,"Down"
1.73303017417194e-68,-1.56125311797276,0.35,0.758,3.04528062205492e-64,"Pbx1",3.04528062205492e-64,"Down"
2.4249211212662e-68,3.02623030853032,0.572,0.186,4.26107139428896e-64,"Cntnap5b",4.26107139428896e-64,"Up"
2.50612114095943e-68,-1.54388066181221,0.362,0.777,4.4037560688939e-64,"Fndc3a",4.4037560688939e-64,"Down"
