"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.66499431452574e-95,5.47329628407727,0.753,0.096,4.68292800948463e-91,"Tmtc2",4.68292800948463e-91,"Up"
3.54983123982514e-95,5.08184418009951,0.83,0.153,6.23776345462074e-91,"D130009I18Rik",6.23776345462074e-91,"Up"
1.05696500675352e-79,4.56163173896509,0.876,0.299,1.85729890986729e-75,"Jarid2",1.85729890986729e-75,"Up"
3.5508035133581e-71,3.77035655657535,0.809,0.22,6.23947193367286e-67,"Inhba",6.23947193367286e-67,"Up"
1.03861234249432e-69,7.17386462844693,0.552,0.052,1.82504960823102e-65,"Zfp791",1.82504960823102e-65,"Up"
4.10330669372081e-67,5.78791217354476,0.5,0.036,7.21033052220621e-63,"Il31ra",7.21033052220621e-63,"Up"
1.91126544370187e-64,2.42487343283349,0.99,0.68,3.35847563767292e-60,"Peak1",3.35847563767292e-60,"Up"
6.69514188439396e-64,5.64617993633964,0.418,0.014,1.17647033192571e-59,"Sspn",1.17647033192571e-59,"Up"
5.74647610603579e-61,3.28882379483409,0.964,0.837,1.00977078135261e-56,"Ctla2a",1.00977078135261e-56,"Up"
4.0842301140515e-56,2.08773116517588,0.985,0.713,7.17680915641129e-52,"Zc3h7a",7.17680915641129e-52,"Up"
3.4038113066178e-54,3.3037219882856,0.902,0.495,5.98117722798879e-50,"Itga9",5.98117722798879e-50,"Up"
1.29868088460473e-51,3.05761969050987,0.716,0.209,2.28204205042743e-47,"Lrrc61",2.28204205042743e-47,"Up"
7.00312952526573e-47,3.14711254220337,0.552,0.107,1.23058992017969e-42,"Tnfrsf23",1.23058992017969e-42,"Up"
4.478940781229e-45,2.4561455461683,0.923,0.634,7.87039474077561e-41,"Dcn",7.87039474077561e-41,"Up"
1.15635365458454e-44,-1.71713654307541,0.66,0.917,2.03194464183595e-40,"Tpt1",2.03194464183595e-40,"Down"
4.06557676807264e-42,2.60070974219103,0.814,0.437,7.14403149685724e-38,"B2m",7.14403149685724e-38,"Up"
1.14512604407341e-41,2.77024615328156,0.727,0.273,2.01221548464579e-37,"Tnfrsf11b",2.01221548464579e-37,"Up"
2.51609602963366e-41,2.76466926324479,0.644,0.193,4.42128394327227e-37,"Cdo1",4.42128394327227e-37,"Up"
3.97033844535296e-41,2.59683660100945,0.582,0.146,6.97667871617422e-37,"C1qtnf1",6.97667871617422e-37,"Up"
6.09711372351269e-40,2.93525686029514,0.686,0.265,1.07138482349565e-35,"Lum",1.07138482349565e-35,"Up"
4.05743049742973e-39,1.87271827420503,0.845,0.455,7.12971687008353e-35,"Ctsk",7.12971687008353e-35,"Up"
6.78007866474929e-38,2.89829956936807,0.49,0.1,1.19139542296975e-33,"Anxa1",1.19139542296975e-33,"Up"
1.44487102129642e-35,1.82980156925207,0.912,0.581,2.53892735862208e-31,"Ctsl",2.53892735862208e-31,"Up"
4.87738616194823e-35,3.1424226412007,0.474,0.107,8.57054296377542e-31,"Dnah7b",8.57054296377542e-31,"Up"
5.84056272238898e-35,-3.18842630900517,0.16,0.658,1.02630368157819e-30,"H19",1.02630368157819e-30,"Down"
6.96188974620739e-35,2.97408563666158,0.469,0.102,1.22334326620356e-30,"Arhgap21",1.22334326620356e-30,"Up"
7.16602319995513e-35,-2.86983654374699,0.191,0.653,1.25921359669612e-30,"Hnrnpab",1.25921359669612e-30,"Down"
1.68641736250595e-34,1.89754787781187,0.784,0.366,2.96337258939545e-30,"Cpe",2.96337258939545e-30,"Up"
6.00746432028771e-34,2.81957168083761,0.423,0.078,1.05563163036096e-29,"Anpep",1.05563163036096e-29,"Up"
4.16077835371476e-33,2.99107512340115,0.407,0.074,7.31131972314758e-29,"Pla1a",7.31131972314758e-29,"Up"
7.83391409429818e-33,-2.02085094290566,0.387,0.768,1.37657538465008e-28,"Ftl1-ps1",1.37657538465008e-28,"Down"
1.05109680719395e-32,2.12223787356434,0.613,0.201,1.84698730960121e-28,"Ndrg1",1.84698730960121e-28,"Up"
1.06357782899683e-32,2.41390623687031,0.485,0.116,1.86891896111322e-28,"Aif1l",1.86891896111322e-28,"Up"
6.82216959771853e-32,-3.47799138381013,0.17,0.616,1.1987916417111e-27,"Prdx2",1.1987916417111e-27,"Down"
7.73722026870202e-32,2.12620677576729,0.768,0.444,1.35958434561632e-27,"Serping1",1.35958434561632e-27,"Up"
7.97309030147913e-32,2.63437406094827,0.454,0.104,1.40103142777591e-27,"Frmd6",1.40103142777591e-27,"Up"
7.286878244114e-31,1.70400267432645,0.794,0.428,1.28045024505571e-26,"Vim",1.28045024505571e-26,"Up"
1.15279751844305e-30,-1.93843453099866,0.387,0.753,2.02569579940814e-26,"Bhlhe40",2.02569579940814e-26,"Down"
1.59217561084334e-30,2.94380137226651,0.366,0.063,2.79777098337391e-26,"Medag",2.79777098337391e-26,"Up"
4.66929340153161e-30,3.17452126449708,0.381,0.074,8.20488236517134e-26,"Cysltr2",8.20488236517134e-26,"Up"
5.11057639195605e-30,1.62788531416512,0.933,0.855,8.98030483594518e-26,"Gpx3",8.98030483594518e-26,"Up"
5.27084432628688e-30,2.40556507569099,0.778,0.444,9.26192765015131e-26,"Rarres2",9.26192765015131e-26,"Up"
5.90348332941751e-30,2.01175605462764,0.598,0.208,1.03736009064525e-25,"Clmp",1.03736009064525e-25,"Up"
8.63095950845022e-30,-3.3447405541263,0.082,0.542,1.51663220482487e-25,"Grik3",1.51663220482487e-25,"Down"
6.75924026216319e-29,2.26889674623256,0.495,0.141,1.18773369886732e-24,"Cd68",1.18773369886732e-24,"Up"
1.20177159388836e-28,2.22511505420464,0.454,0.112,2.11175304478062e-24,"Dpysl2",2.11175304478062e-24,"Up"
1.27532872904764e-28,2.57875200881934,0.418,0.094,2.24100764268252e-24,"Antxr1",2.24100764268252e-24,"Up"
6.57940605170083e-28,3.38667773010928,0.345,0.064,1.15613323140487e-23,"Tlcd4",1.15613323140487e-23,"Up"
2.45629643962486e-27,2.59569790087333,0.428,0.108,4.3162041037088e-23,"Tgfb2",4.3162041037088e-23,"Up"
3.10176902918816e-27,1.92173013546295,0.814,0.534,5.45042853808943e-23,"Des",5.45042853808943e-23,"Up"
