"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.22306241299252e-248,7.45644625003729,0.955,0.071,3.90636527211045e-244,"Zfp791",3.90636527211045e-244,"Up"
7.06261661396765e-209,4.75904152595187,0.961,0.52,1.2410429914064e-204,"Itga9",1.2410429914064e-204,"Up"
2.19037082017752e-207,5.09168656053092,0.925,0.207,3.84891960521594e-203,"D130009I18Rik",3.84891960521594e-203,"Up"
1.3919805652771e-204,5.78447197719841,0.883,0.114,2.44598824930491e-200,"Tmtc2",2.44598824930491e-200,"Up"
1.0190350185894e-203,4.8497806294438,0.958,0.399,1.79064833466529e-199,"Jarid2",1.79064833466529e-199,"Up"
2.94322027774195e-202,2.79861383220586,0.996,0.952,5.17182667204815e-198,"Peak1",5.17182667204815e-198,"Up"
1.2502136984691e-181,2.27302922985218,0.997,0.983,2.19687551094989e-177,"Zc3h7a",2.19687551094989e-177,"Up"
4.9245872149327e-129,3.76025794675749,0.738,0.154,8.65348465407973e-125,"Il31ra",8.65348465407973e-125,"Up"
2.7028977298398e-128,3.03864118548077,0.817,0.271,4.74953189087449e-124,"Camk1d",4.74953189087449e-124,"Up"
4.44260774227556e-105,4.99086635483067,0.54,0.033,7.80655032472661e-101,"Mphosph8",7.80655032472661e-101,"Up"
5.87038576925941e-105,4.22887957679881,0.595,0.076,1.03154418737426e-100,"Tlcd4",1.03154418737426e-100,"Up"
8.45865244903808e-96,3.00233519691731,0.679,0.19,1.48635440834497e-91,"Dnah7b",1.48635440834497e-91,"Up"
1.01871163198655e-93,6.05882439367946,0.463,0.01,1.79008007972676e-89,"Sspn",1.79008007972676e-89,"Up"
1.55086837013074e-85,-1.39324024881153,0.444,0.894,2.72518589999374e-81,"Mitf",2.72518589999374e-81,"Down"
2.47187577738375e-78,5.32185879951326,0.416,0.018,4.34358011601873e-74,"Gnb1l",4.34358011601873e-74,"Up"
1.13941787059923e-74,-1.55154798643067,0.337,0.808,2.00218508221696e-70,"Dst",2.00218508221696e-70,"Down"
2.0938641181673e-74,3.21344081439166,0.548,0.126,3.67933802844357e-70,"Arhgap21",3.67933802844357e-70,"Up"
6.01219664675001e-71,-1.63607071270027,0.393,0.796,1.05646319476691e-66,"Cd2ap",1.05646319476691e-66,"Down"
7.44366217256937e-68,5.78249316523221,0.353,0.008,1.30800031696389e-63,"Pcdh15",1.30800031696389e-63,"Up"
2.48135218782563e-66,-1.69513105170566,0.294,0.729,4.36023206444719e-62,"Spon1",4.36023206444719e-62,"Down"
4.20040584977742e-66,-1.51938000555459,0.375,0.809,7.38095315922889e-62,"Tmem150a",7.38095315922889e-62,"Down"
5.89031411480218e-57,-1.58187468665236,0.295,0.699,1.03504599625304e-52,"Col5a2",1.03504599625304e-52,"Down"
1.05159244193935e-55,-1.5267238779056,0.287,0.677,1.84785823897582e-51,"Ppp1r15a",1.84785823897582e-51,"Down"
