"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.10972951311348e-18,-2.04271255360033,0.758,1,2.38995152000824e-13,"Htra1-201",2.38995152000824e-13,"Down"
8.92928407375735e-17,-2.29659829446123,0.705,0.983,6.86251198204547e-12,"Prl8a2-201",6.86251198204547e-12,"Down"
2.60779801780307e-16,-2.17726604620501,0.358,0.888,2.00419708860237e-11,"Bnip3l-201",2.00419708860237e-11,"Down"
2.40247470682292e-15,-2.63360203014659,0.137,0.707,1.84639791118169e-10,"Gabarapl1-201",1.84639791118169e-10,"Down"
4.59321298609048e-15,-2.93481597203935,0.126,0.681,3.53006790832997e-10,"Rimklb-201",3.53006790832997e-10,"Down"
7.87095186174324e-15,-2.93504684551498,0.432,0.836,6.04914134382415e-10,"Ada-201",6.04914134382415e-10,"Down"
8.58741666176133e-15,-2.86284050354006,0.158,0.716,6.59977320123005e-10,"Itpk1-201",6.59977320123005e-10,"Down"
1.91513166262178e-14,-4.1450546730923,0.032,0.534,1.47185528799134e-09,"Mtus1-202",1.47185528799134e-09,"Down"
1.92392570911045e-14,-3.58866245059037,0.074,0.586,1.47861386447975e-09,"Clmp-201",1.47861386447975e-09,"Down"
2.44901684679054e-14,-2.05150341750314,0.2,0.776,1.8821674074324e-09,"Tax1bp1-201",1.8821674074324e-09,"Down"
7.1783917898284e-14,-4.34556073461709,0.021,0.5,5.51688122615472e-09,"Mtus1-205",5.51688122615472e-09,"Down"
1.40045247907867e-13,-2.02457120057784,0.379,0.836,1.07630374827112e-08,"Adamts5-201",1.07630374827112e-08,"Down"
1.55396490200657e-13,-2.31365773593142,0.8,0.991,1.19428418578813e-08,"Psap-202",1.19428418578813e-08,"Down"
4.30791727097129e-13,-2.72378075467937,0.042,0.534,3.31080673943228e-08,"Fads3-201",3.31080673943228e-08,"Down"
4.62801669934011e-13,2.41151098974696,0.768,0.397,3.55681595411085e-08,"Prdx2-201",3.55681595411085e-08,"Up"
