"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.43175772123517e-23,2.91533827835279,0.879,0.31,2.63744307907808e-18,"Ftl1-203",2.63744307907808e-18,"Up"
2.91682282219072e-21,5.0721733214416,0.618,0.06,2.24169501176645e-16,"Ftl1-206",2.24169501176645e-16,"Up"
3.57598841682519e-21,-2.2544508871678,0.295,0.836,2.74829013786683e-16,"Sqstm1-202",2.74829013786683e-16,"Down"
6.71903475754994e-21,-4.94984608313524,0.068,0.517,5.16384697256743e-16,"Ccl27b-201",5.16384697256743e-16,"Down"
5.67788666914716e-20,-2.02919487442715,0.256,0.784,4.36368302070635e-15,"Sqstm1-201",4.36368302070635e-15,"Down"
6.53717642139572e-20,-2.31284163498088,0.227,0.724,5.02408156689947e-15,"Isg20-201",5.02408156689947e-15,"Down"
1.41120153409694e-19,2.34544031877582,0.85,0.681,1.08456482701486e-14,"Ftl1-ps1-202",1.08456482701486e-14,"Up"
1.98795437240042e-19,2.54525570995891,0.947,0.871,1.52782245336462e-14,"Psap-203",1.52782245336462e-14,"Up"
2.156701639162e-18,-2.16685298195124,0.28,0.741,1.65751147776156e-13,"Bhlhe40-201",1.65751147776156e-13,"Down"
2.42514207985929e-18,-2.17144695173735,0.15,0.629,1.86381869405506e-13,"Tob1-201",1.86381869405506e-13,"Down"
1.24443514160845e-17,-2.28607815449019,0.242,0.716,9.56398183731756e-13,"Itpk1-201",9.56398183731756e-13,"Down"
3.04412472616898e-17,-2.55256636787759,0.314,0.759,2.3395316170499e-12,"Krt18-201",2.3395316170499e-12,"Down"
3.08220956377406e-16,-2.36210113161052,0.087,0.483,2.36880133814291e-11,"Foxo3-201",2.36880133814291e-11,"Down"
4.38480109059245e-16,-2.35015640227367,0.295,0.698,3.36989503016392e-11,"Aff4-201",3.36989503016392e-11,"Down"
6.43648667146834e-16,2.14895917868152,0.986,0.983,4.94669746649028e-11,"Prl8a2-201",4.94669746649028e-11,"Up"
7.70214300878664e-16,-1.88087138959045,0.145,0.586,5.91940498797289e-11,"Foxo3-203",5.91940498797289e-11,"Down"
8.55781711812526e-16,-2.09586767381575,0.111,0.509,6.57702476796399e-11,"Alas2-201",6.57702476796399e-11,"Down"
9.2636673098268e-16,2.60960565296844,0.966,0.862,7.11949887429429e-11,"Ctla2a-201",7.11949887429429e-11,"Up"
1.87605276617187e-15,2.90207020206006,0.734,0.284,1.44182159291373e-10,"Ftl1-202",1.44182159291373e-10,"Up"
