"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.31899237500503e-23,3.36951371363728,0.811,0.198,1.28609334013588e-18,"Ftl1-ps1",1.28609334013588e-18,"Up"
2.30583533958978e-22,-2.70928681871422,0.747,0.983,4.05181385872716e-18,"Prl8a2",4.05181385872716e-18,"Down"
7.97027705785021e-20,-2.1114186088581,0.747,1,1.40053708460544e-15,"Htra1",1.40053708460544e-15,"Down"
1.75560403385979e-19,-2.34946861628013,0.811,1,3.08494740829842e-15,"Psap",3.08494740829842e-15,"Down"
1.37862878657085e-17,-3.24377587017312,0.189,0.741,2.42252650376229e-13,"Rimklb",2.42252650376229e-13,"Down"
5.12157772493844e-17,3.48347298511884,0.663,0.129,8.99963637826183e-13,"Cntnap5b",8.99963637826183e-13,"Up"
5.26509995198688e-17,1.50540412961697,0.947,0.81,9.25183363563134e-13,"Tpt1",9.25183363563134e-13,"Up"
9.98667561604534e-17,4.61005348168399,0.547,0.043,1.75485863925149e-12,"Grik3",1.75485863925149e-12,"Up"
1.10860801274154e-16,-3.47161151502824,0.379,0.81,1.94804599998944e-12,"Ada",1.94804599998944e-12,"Down"
1.22612011402853e-16,-2.76396312435183,0.326,0.845,2.15453826437094e-12,"Adamts5",2.15453826437094e-12,"Down"
2.4602248140993e-15,-2.0751731425106,0.389,0.845,4.32310704333529e-11,"Bnip3l",4.32310704333529e-11,"Down"
2.9474847362136e-15,-2.42928740994818,0.2,0.724,5.17932017847454e-11,"Mitf",5.17932017847454e-11,"Down"
8.10843721870988e-15,-2.60999499918416,0.158,0.681,1.4248145880717e-10,"Gabarapl1",1.4248145880717e-10,"Down"
1.10242853618504e-14,2.38642746040843,0.716,0.207,1.93718742378435e-10,"Prdx2",1.93718742378435e-10,"Up"
2.19432935806754e-14,-2.49847097509418,0.189,0.69,3.85587554799629e-10,"Eif4g3",3.85587554799629e-10,"Down"
6.64988698750671e-14,-2.31426765637358,0.842,0.957,1.16851814144468e-09,"Erv3",1.16851814144468e-09,"Down"
7.95429247687189e-14,-3.09038623645711,0.105,0.603,1.39772827403593e-09,"Acsl3",1.39772827403593e-09,"Down"
2.9493350850745e-13,-1.65271254073523,0.716,0.948,5.18257161149291e-09,"Lgals3",5.18257161149291e-09,"Down"
3.02019796711258e-13,-3.72682495466935,0.053,0.517,5.30709186781022e-09,"Mtus1",5.30709186781022e-09,"Down"
3.26461167598766e-13,2.18513707336385,0.789,0.388,5.73657563704551e-09,"H19",5.73657563704551e-09,"Up"
4.50384878016555e-13,-2.54586466176445,0.158,0.647,7.91416307650691e-09,"Ampd3",7.91416307650691e-09,"Down"
4.7403508684992e-13,-2.13001802335004,0.232,0.716,8.32974454612679e-09,"Tor1aip2",8.32974454612679e-09,"Down"
6.6084979358736e-13,-3.93426703453982,0.084,0.543,1.16124525729171e-08,"Ccdc155",1.16124525729171e-08,"Down"
1.99134740690903e-12,-2.98489310760979,0.232,0.647,3.49919566342054e-08,"Itpk1",3.49919566342054e-08,"Down"
2.8963652682884e-12,3.01747779685296,0.558,0.129,5.08949304943637e-08,"Gpx1",5.08949304943637e-08,"Up"
3.83197154207077e-12,-2.26207169576386,0.2,0.664,6.73354039372676e-08,"Rgl1",6.73354039372676e-08,"Down"
4.80922823581688e-12,-2.36490138886969,0.316,0.767,8.45077585597743e-08,"Procr",8.45077585597743e-08,"Down"
5.57562110095009e-12,-2.12535664598018,0.368,0.759,9.7974813985895e-08,"Slc44a2",9.7974813985895e-08,"Down"
2.4004528253198e-11,-2.1308271624856,0.211,0.647,4.21807570465195e-07,"Tax1bp1",4.21807570465195e-07,"Down"
2.92994521761519e-11,-3.14186245394819,0.084,0.5,5.14849973639342e-07,"Dtna",5.14849973639342e-07,"Down"
2.98388765744043e-11,-2.69676772081317,0.084,0.517,5.24328739165433e-07,"Wt1",5.24328739165433e-07,"Down"
4.20484667109278e-11,-1.87852448261283,0.316,0.733,7.38875657044423e-07,"Abcc5",7.38875657044423e-07,"Down"
4.86980697198423e-11,-2.21740264643013,0.253,0.655,8.55722481117068e-07,"Mbnl2",8.55722481117068e-07,"Down"
5.07102567676827e-11,-2.18032310519811,0.379,0.741,8.91080631921721e-07,"Pdgfra",8.91080631921721e-07,"Down"
5.85018321744431e-11,-3.43434063767447,0.042,0.44,1.02799419496931e-06,"Fads3",1.02799419496931e-06,"Down"
1.07098974331364e-10,-2.48534354110857,0.326,0.733,1.88194317695072e-06,"Tchh",1.88194317695072e-06,"Down"
1.07625126579715e-10,-1.48523896809959,0.726,0.905,1.89118872425875e-06,"Prnp",1.89118872425875e-06,"Down"
1.16030666703049e-10,-1.83238742052061,0.358,0.767,2.03889087530598e-06,"Clic5",2.03889087530598e-06,"Down"
1.37983684877856e-10,2.58852032013435,0.484,0.086,2.42464931067368e-06,"Hsd3b6",2.42464931067368e-06,"Up"
2.78733260159842e-10,-3.20016109451286,0.074,0.466,4.89790084752874e-06,"Ndrg1",4.89790084752874e-06,"Down"
2.80410112916867e-10,-1.94320015930983,0.168,0.603,4.92736650417519e-06,"Fndc3a",4.92736650417519e-06,"Down"
3.16241404191661e-10,-2.24359509264755,0.126,0.543,5.55699395445586e-06,"Eya3",5.55699395445586e-06,"Down"
3.59978467224249e-10,-2.47740935956635,0.116,0.526,6.3255416260645e-06,"Gata2",6.3255416260645e-06,"Down"
4.94742885295242e-10,-2.79933745445372,0.095,0.483,8.69362198040799e-06,"Clmp",8.69362198040799e-06,"Down"
5.54049706640646e-10,-2.55622374274318,0.095,0.491,9.73576144508944e-06,"Pxk",9.73576144508944e-06,"Down"
6.72488001565544e-10,-2.29683711392453,0.221,0.612,1.18169591635097e-05,"Cdh3",1.18169591635097e-05,"Down"
7.36224843941564e-10,-2.46319550034665,0.137,0.526,1.29369429577412e-05,"Xdh",1.29369429577412e-05,"Down"
9.95615813140579e-10,-2.59639739578344,0.116,0.5,1.74949610685063e-05,"Psmd8",1.74949610685063e-05,"Down"
1.02738134977289e-09,-1.44417882999972,0.568,0.836,1.80531450782093e-05,"Ubb",1.80531450782093e-05,"Down"
1.29405642448379e-09,-3.25619512942719,0.053,0.414,2.27391594910292e-05,"Mtss1",2.27391594910292e-05,"Down"
