"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.4700934431848e-15,5.46990182289741,0.828,0.168,1.31264481983643e-10,"Tmtc2",1.31264481983643e-10,"Up"
1.67287992757797e-13,4.60638148435606,0.897,0.274,2.93958460874001e-09,"D130009I18Rik",2.93958460874001e-09,"Up"
1.79696442934949e-11,-2.3813628656736,0.655,0.947,3.15762589525293e-07,"Tpt1",3.15762589525293e-07,"Down"
7.66039158370218e-11,4.82187075738948,0.862,0.421,1.34608400908815e-06,"Jarid2",1.34608400908815e-06,"Up"
1.25846321842239e-09,4.03380270809074,0.586,0.084,2.21137156741182e-05,"Il31ra",2.21137156741182e-05,"Up"
3.79977661756753e-09,5.66607092359025,0.379,0.011,6.67696747238967e-05,"Sspn",6.67696747238967e-05,"Up"
4.25437940747379e-09,5.79160180567411,0.586,0.105,7.47579549481295e-05,"Zfp791",7.47579549481295e-05,"Up"
1.21922269463677e-08,-3.2669311645275,0.138,0.789,0.000214241811901573,"H19",0.000214241811901573,"Down"
5.21807227955827e-08,2.92337871839709,0.655,0.179,0.000916919660963979,"Arhgap21",0.000916919660963979,"Up"
7.01259468723877e-08,3.33078444584787,0.586,0.137,0.0012322531384416,"Aif1l",0.0012322531384416,"Up"
7.63875647778584e-08,3.23302201632709,0.931,0.579,0.00134228228827653,"Ctla2a",0.00134228228827653,"Up"
2.14695725935723e-07,4.21437495373256,0.345,0.021,0.00377263329614252,"Gnb1l",0.00377263329614252,"Up"
4.35818668991212e-07,1.55619455444172,1,0.789,0.00765820565151358,"Peak1",0.00765820565151358,"Up"
