"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.92934923178172e-50,8.26449926205097,0.976,0.06,1.04190524700868e-45,"Zfp791",1.04190524700868e-45,"Up"
3.91887165766497e-48,5.18331370236941,0.99,0.612,6.88624127684889e-44,"Itga9",6.88624127684889e-44,"Up"
1.4420994508266e-46,3.05070758586963,1,0.931,2.53405715499251e-42,"Peak1",2.53405715499251e-42,"Up"
4.60561632321782e-46,2.65309855109264,1,0.974,8.09298900315836e-42,"Zc3h7a",8.09298900315836e-42,"Up"
8.19568939042629e-44,4.55183664499171,0.981,0.371,1.44014653968571e-39,"Jarid2",1.44014653968571e-39,"Up"
3.01180603690964e-40,4.34946291929501,0.928,0.31,5.29234556805763e-36,"D130009I18Rik",5.29234556805763e-36,"Up"
1.46890255974039e-39,4.49361763391981,0.918,0.155,2.5811555779758e-35,"Tmtc2",2.5811555779758e-35,"Up"
1.33708042086493e-23,5.28343511035175,0.609,0.026,2.34951771554386e-19,"Gnb1l",2.34951771554386e-19,"Up"
6.86940438866418e-23,-2.38847834884847,0.198,0.733,1.20709173917607e-18,"Bhlhe40",1.20709173917607e-18,"Down"
8.38766503744189e-23,5.36089125043175,0.585,0.017,1.47388050037929e-18,"Sspn",1.47388050037929e-18,"Up"
1.19248440592712e-21,3.16994846772035,0.72,0.207,2.09543359809514e-17,"Il31ra",2.09543359809514e-17,"Up"
1.36670062753701e-20,-2.21188184128149,0.261,0.767,2.40156634270804e-16,"Sqstm1",2.40156634270804e-16,"Down"
6.03913154609153e-20,-2.13435044414607,0.217,0.716,1.0611961952792e-15,"Tor1aip2",1.0611961952792e-15,"Down"
1.03865482879649e-19,2.21441926295993,0.816,0.353,1.82512426516119e-15,"Camk1d",1.82512426516119e-15,"Up"
1.89687687860376e-19,2.17806461193923,0.957,0.793,3.33319205108253e-15,"Ctla2a",3.33319205108253e-15,"Up"
3.10123539992521e-18,3.37134560806892,0.604,0.112,5.44949084474859e-14,"Tlcd4",5.44949084474859e-14,"Up"
3.3789864889445e-18,4.87873955529437,0.507,0.026,5.93755505837327e-14,"Mphosph8",5.93755505837327e-14,"Up"
4.70053654277779e-18,-2.82923790743932,0.13,0.569,8.25978281296913e-14,"Neat1",8.25978281296913e-14,"Down"
5.19577870173668e-17,-2.06377495004487,0.222,0.664,9.13002233469169e-13,"Rgl1",9.13002233469169e-13,"Down"
