"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.86012311330972e-56,-1.02802357260739,1,1,8.38016072199748e-54,"Erg",8.38016072199748e-54,"Down"
2.99106528855168e-42,1.14833776955718,1,0.969,8.76382129545641e-40,"Tbp",8.76382129545641e-40,"Up"
4.55121341159017e-32,-1.36023850238204,0.596,0.957,1.33350552959592e-29,"Smad1",1.33350552959592e-29,"Down"
5.62412515023563e-26,1.32683749438543,0.93,0.571,1.64786866901904e-23,"Zfp507",1.64786866901904e-23,"Up"
1.75439475157981e-21,-1.17242952862976,0.772,0.957,5.14037662212883e-19,"Zfp46",5.14037662212883e-19,"Down"
1.04768500196072e-20,1.35284712335813,0.643,0.197,3.06971705574492e-18,"Sp2",3.06971705574492e-18,"Up"
1.23009949714738e-20,-1.32059564630279,0.667,0.902,3.60419152664182e-18,"Tcf4",3.60419152664182e-18,"Down"
4.15973831035098e-20,1.76484329419177,0.509,0.114,1.21880332493284e-17,"Snd1",1.21880332493284e-17,"Up"
1.46172422180517e-17,1.09072080223529,0.573,0.154,4.28285196988915e-15,"Hsf1",4.28285196988915e-15,"Up"
1.67934609882018e-17,1.04371420871984,0.602,0.15,4.92048406954312e-15,"Rfx2",4.92048406954312e-15,"Up"
3.72761182202104e-17,1.27368789682095,0.556,0.138,1.09219026385216e-14,"Prdm1",1.09219026385216e-14,"Up"
5.40986933417687e-17,1.21422062475206,0.591,0.177,1.58509171491382e-14,"Zbtb18",1.58509171491382e-14,"Up"
1.15622000977882e-15,1.10328298982056,0.842,0.512,3.38772462865194e-13,"Zfp64",3.38772462865194e-13,"Up"
1.65967461472096e-15,1.13932542501758,0.485,0.11,4.86284662113241e-13,"Zfp654",4.86284662113241e-13,"Up"
8.66407317281971e-11,1.02231420822785,0.38,0.102,2.53857343963617e-08,"Zbtb40",2.53857343963617e-08,"Up"
1.61580814805405e-08,1.14795015314649,0.55,0.311,4.73431787379838e-06,"Zfp37",4.73431787379838e-06,"Up"
4.85396824978628e-07,1.00599588243,0.649,0.555,0.000142221269718738,"Usf1",0.000142221269718738,"Up"
3.78045104859642e-06,1.45840206522052,0.386,0.22,0.00110767215723875,"Rfxank",0.00110767215723875,"Up"
4.16408485292093e-06,1.12159216586117,0.404,0.224,0.00122007686190583,"Mlx",0.00122007686190583,"Up"
