"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.57572942599358e-37,1.16895512585526,1,1,1.92668872181612e-34,"Fosb",1.92668872181612e-34,"Up"
1.78041168916269e-34,1.03087930320555,1,1,5.21660624924667e-32,"Plagl1",5.21660624924667e-32,"Up"
2.36555284154015e-34,2.90574194625263,1,0.772,6.93106982571263e-32,"Zfp46",6.93106982571263e-32,"Up"
5.66407395016012e-34,1.84923879098321,1,1,1.65957366739691e-31,"Erg",1.65957366739691e-31,"Up"
8.61264231848485e-34,-1.13782822555209,0.884,1,2.52350419931606e-31,"Tbp",2.52350419931606e-31,"Down"
3.40893540471207e-33,1.75577160656445,1,1,9.98818073580636e-31,"Nfib",9.98818073580636e-31,"Up"
2.18532564169691e-32,1.42754630538044,1,1,6.40300413017195e-30,"Nr3c1",6.40300413017195e-30,"Up"
2.28016652722694e-32,1.65443884332435,1,1,6.68088792477495e-30,"Zbtb20",6.68088792477495e-30,"Up"
1.02004304345415e-31,1.75855816507641,1,1,2.98872611732066e-29,"Klf7",2.98872611732066e-29,"Up"
1.00733495376453e-30,1.28852900957302,1,1,2.95149141453008e-28,"Nfkb1",2.95149141453008e-28,"Up"
1.04976755600925e-30,1.14862397329499,1,1,3.0758189391071e-28,"Ets1",3.0758189391071e-28,"Up"
1.92545078455908e-29,1.62895729444179,1,0.994,5.64157079875812e-27,"Zeb1",5.64157079875812e-27,"Up"
1.90325954229724e-28,1.13137478016512,1,1,5.57655045893092e-26,"Cebpd",5.57655045893092e-26,"Up"
1.24737848081614e-27,1.3044066904264,1,1,3.65481894879128e-25,"Glis1",3.65481894879128e-25,"Up"
1.30785704709238e-26,1.14975894001824,1,1,3.83202114798066e-24,"Foxo1",3.83202114798066e-24,"Up"
6.8398067534008e-26,1.0642423630267,1,1,2.00406337874643e-23,"Bach2",2.00406337874643e-23,"Up"
7.65986619479905e-26,1.14585303729256,1,1,2.24434079507612e-23,"Etv6",2.24434079507612e-23,"Up"
1.19496658145551e-23,1.13646376437239,1,0.994,3.50125208366464e-21,"Nfatc1",3.50125208366464e-21,"Up"
1.5370987946398e-23,1.03541673492068,1,1,4.50369946829461e-21,"Ebf1",4.50369946829461e-21,"Up"
3.60645193208782e-22,1.24385558020345,1,1,1.05669041610173e-19,"Zfp423",1.05669041610173e-19,"Up"
1.66993007319367e-21,1.86034831512962,0.919,0.596,4.89289511445746e-19,"Smad1",4.89289511445746e-19,"Up"
2.58998019986241e-21,1.02012134696379,1,1,7.58864198559687e-19,"Tcf7l1",7.58864198559687e-19,"Up"
6.30705187640827e-21,1.06806626182951,1,0.977,1.84796619978762e-18,"Creb3l2",1.84796619978762e-18,"Up"
7.60216089852727e-20,-1.31987894896742,0.628,0.947,2.22743314326849e-17,"Ctcf",2.22743314326849e-17,"Down"
1.38972052091692e-18,1.36592696929248,0.988,0.906,4.07188112628659e-16,"Nfia",4.07188112628659e-16,"Up"
1.57064622482029e-18,1.10457410607455,1,1,4.60199343872344e-16,"Zfp704",4.60199343872344e-16,"Up"
1.58314056487589e-18,1.08689559684957,1,1,4.63860185508636e-16,"Foxp1",4.63860185508636e-16,"Up"
3.02162164788313e-18,1.64212240134045,0.919,0.667,8.85335142829758e-16,"Tcf4",8.85335142829758e-16,"Up"
4.5833030713683e-17,1.16020363018062,1,0.836,1.34290779991091e-14,"Atf2",1.34290779991091e-14,"Up"
5.17755445327485e-17,1.04512445288534,1,0.982,1.51702345480953e-14,"Rbfox2",1.51702345480953e-14,"Up"
7.75326863535731e-16,1.55071462575531,0.953,0.696,2.27170771015969e-13,"Zbtb16",2.27170771015969e-13,"Up"
1.0611736352251e-15,1.60271513079095,0.779,0.444,3.10923875120955e-13,"Patz1",3.10923875120955e-13,"Up"
3.67480844651926e-13,-1.06292860722407,0.384,0.778,1.07671887483014e-10,"Aebp2",1.07671887483014e-10,"Down"
6.83322585779669e-13,1.15603617507201,0.942,0.784,2.00213517633443e-10,"Pax8",2.00213517633443e-10,"Up"
1.7226326220369e-11,1.00143059944037,0.988,0.977,5.04731358256811e-09,"Rarb",5.04731358256811e-09,"Up"
2.34382065784667e-10,1.16355771262028,0.942,0.789,6.86739452749075e-08,"Smad3",6.86739452749075e-08,"Up"
1.13106122123493e-09,1.08866330788418,0.884,0.719,3.31400937821834e-07,"Sox4",3.31400937821834e-07,"Up"
1.17007653882461e-08,1.8367611737504,0.349,0.07,3.4283242587561e-06,"Hand2",3.4283242587561e-06,"Up"
2.46629421496913e-08,1.0540611183601,0.86,0.649,7.22624204985956e-06,"Cux1",7.22624204985956e-06,"Up"
