"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.39670333784012e-45,-2.1972815994341,0.596,0.976,1.07342238326365e-40,"Vim-201",1.07342238326365e-40,"Down"
2.96344592950763e-43,-1.77323901431875,0.725,0.988,2.2775267346638e-38,"Eef1a1-201",2.2775267346638e-38,"Down"
2.17254453406212e-39,-3.63480500138621,0.228,0.862,1.6696873762081e-34,"Macf1-203",1.6696873762081e-34,"Down"
3.18641227381455e-32,-3.32286645645926,0.111,0.728,2.44888528891744e-27,"Jmjd1c-206",2.44888528891744e-27,"Down"
2.75106489438609e-31,-2.01974571064558,0.216,0.843,2.11430341393148e-26,"Adgrf5-201",2.11430341393148e-26,"Down"
5.38616133058221e-31,1.93476361113537,0.895,0.795,4.13948042900565e-26,"Set-201",4.13948042900565e-26,"Up"
1.37375204741657e-29,-1.83410200377962,0.69,0.898,1.05578339852153e-24,"Igf2-205",1.05578339852153e-24,"Down"
5.1983509920937e-29,-1.53155706323489,0.45,0.949,3.99514067146369e-24,"Cdh5-201",3.99514067146369e-24,"Down"
5.86256155608427e-29,-1.73399400438366,0.298,0.894,4.50561305831301e-24,"Arhgap31-201",4.50561305831301e-24,"Down"
1.71465886101987e-28,-2.03837772171626,0.158,0.772,1.31778392104821e-23,"Huwe1-201",1.31778392104821e-23,"Down"
1.92714737541367e-28,-1.58824960232945,0.444,0.913,1.48108984390043e-23,"Sptbn1-201",1.48108984390043e-23,"Down"
3.61237209671705e-27,-1.89053386826453,0.415,0.878,2.77625245121092e-22,"Sptbn1-202",2.77625245121092e-22,"Down"
1.02496934950587e-26,-2.62863566789149,0.07,0.63,7.87729943869242e-22,"Adamts1-201",7.87729943869242e-22,"Down"
2.78449023216431e-26,-1.86960835773466,0.345,0.843,2.13999212302756e-21,"Ddx5-201",2.13999212302756e-21,"Down"
3.2720898325182e-26,-1.65599124131699,0.205,0.807,2.51473191988353e-21,"Vcp-201",2.51473191988353e-21,"Down"
3.40920313702508e-26,-2.40945499421446,0.129,0.681,2.62010897892925e-21,"Akap13-205",2.62010897892925e-21,"Down"
3.44131724141401e-26,-2.40828667783264,0.129,0.681,2.64478995271633e-21,"Akap13-201",2.64478995271633e-21,"Down"
5.96909314683757e-26,-1.99915633826176,0.105,0.673,4.58748684707055e-21,"Utrn-201",4.58748684707055e-21,"Down"
1.53560724335938e-25,1.77953988347718,0.982,0.969,1.18017559081142e-20,"Tpt1-201",1.18017559081142e-20,"Up"
2.43334193252384e-25,-1.72736444089384,0.292,0.858,1.87012060882187e-20,"Arhgap29-201",1.87012060882187e-20,"Down"
4.00826077482092e-25,-1.77211417448593,0.386,0.886,3.08050873588087e-20,"Pecam1-204",3.08050873588087e-20,"Down"
4.30014538525332e-25,-2.16715511474,0.146,0.697,3.30483373438259e-20,"Brd4-203",3.30483373438259e-20,"Down"
4.33142604127279e-25,-2.05229332925133,0.181,0.744,3.32887416975979e-20,"Nisch-201",3.32887416975979e-20,"Down"
4.90005903561595e-25,-1.72304124759564,0.234,0.811,3.76589137123228e-20,"F2r-201",3.76589137123228e-20,"Down"
5.23575960315011e-25,-3.2289948242772,0.029,0.531,4.02389068540499e-20,"Dpysl2-201",4.02389068540499e-20,"Down"
5.56054363726716e-25,-1.71184258010979,0.24,0.815,4.2735002069853e-20,"Ctnnb1-201",4.2735002069853e-20,"Down"
8.68378667949986e-25,-2.19506229535487,0.146,0.705,6.67383741466282e-20,"Ss18-203",6.67383741466282e-20,"Down"
1.76044663794935e-24,-2.44393731879039,0.129,0.673,1.3529736591296e-19,"Uaca-202",1.3529736591296e-19,"Down"
