"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.07424854891202e-32,3.69272205307897,0.884,0.216,3.13122297978084e-27,"Adgrf5-201",3.13122297978084e-27,"Up"
2.47094373688311e-31,4.92547683094775,0.733,0.041,1.89901909954415e-26,"Serpine1-201",1.89901909954415e-26,"Up"
3.13560693280067e-31,3.66104306525015,0.872,0.193,2.40983935213463e-26,"Timp3-201",2.40983935213463e-26,"Up"
2.34311865243501e-29,3.52579445567413,0.849,0.181,1.8007804091424e-24,"Ahnak-202",1.8007804091424e-24,"Up"
3.00024199593306e-28,-4.5309951296457,0.465,0.895,2.30580598355439e-23,"Set-201",2.30580598355439e-23,"Down"
1.47131854943667e-27,3.21752389283501,0.767,0.088,1.13076715798406e-22,"Kdm6b-201",1.13076715798406e-22,"Up"
1.87249020824655e-27,4.31343362265223,0.628,0.018,1.43908362464581e-22,"Ctsj-202",1.43908362464581e-22,"Up"
3.54962294014594e-27,3.92268429753623,0.779,0.129,2.72802721441976e-22,"Flt1-202",2.72802721441976e-22,"Up"
7.98082786401969e-27,3.58022359254256,0.721,0.07,6.13358544661369e-22,"Adamts1-201",6.13358544661369e-22,"Up"
5.46032835323065e-26,3.193914523545,0.698,0.064,4.19648075259188e-21,"Col1a1-201",4.19648075259188e-21,"Up"
2.1190332287031e-25,3.33984572222195,0.651,0.047,1.62856179758748e-20,"Entpd1-201",1.62856179758748e-20,"Up"
3.74519238162862e-25,3.25258315365914,0.605,0.023,2.87833015297686e-20,"Abca1-201",2.87833015297686e-20,"Up"
7.04776729844955e-25,4.64059950455245,0.593,0.023,5.41649107955042e-20,"Gbp7-201",5.41649107955042e-20,"Up"
1.11590800069356e-24,3.53654973089189,0.651,0.047,8.57619934853031e-20,"Psg23-201",8.57619934853031e-20,"Up"
1.21103620190001e-24,3.47477597629321,0.977,0.69,9.30729762608234e-20,"Igf2-205",9.30729762608234e-20,"Up"
1.57676832814739e-24,4.3839500481538,0.581,0.023,1.21180953091439e-19,"Clip1-205",1.21180953091439e-19,"Up"
2.31910519989899e-24,4.04082676019249,0.581,0.023,1.78232511033037e-19,"Wfdc1-201",1.78232511033037e-19,"Up"
2.35101194512862e-24,3.16518184081442,0.593,0.023,1.80684672030915e-19,"AU021092-201",1.80684672030915e-19,"Up"
4.56320097504497e-24,3.12496635378947,0.651,0.053,3.50700247736106e-19,"Cavin2-201",3.50700247736106e-19,"Up"
5.79742431128331e-24,6.19791941508253,0.523,0.006,4.45555248019367e-19,"Emp1-205",4.45555248019367e-19,"Up"
1.0106243466151e-23,2.80308329496925,0.64,0.047,7.7670523534757e-19,"Col1a2-201",7.7670523534757e-19,"Up"
1.28211084335405e-23,3.79084018740361,0.698,0.094,9.85353467551318e-19,"Zdbf2-204",9.85353467551318e-19,"Up"
1.46736482774493e-23,4.230584008984,0.57,0.023,1.12772856471509e-18,"Mgll-207",1.12772856471509e-18,"Up"
1.76946508484511e-23,3.09158062552977,0.721,0.117,1.35990469630686e-18,"Bmpr2-201",1.35990469630686e-18,"Up"
1.77829562406162e-23,3.25136230895351,0.698,0.088,1.36669131891632e-18,"Ier3-201",1.36669131891632e-18,"Up"
2.16369492459752e-23,-2.49395503078368,0.698,0.959,1.66288609735018e-18,"Ppia-202",1.66288609735018e-18,"Down"
2.2006872217114e-23,2.7902007684498,0.674,0.064,1.69131615737408e-18,"Col3a1-201",1.69131615737408e-18,"Up"
2.32914067146347e-23,3.59680822827083,0.884,0.333,1.79003777164653e-18,"Pakap-204",1.79003777164653e-18,"Up"
2.67397942152171e-23,5.83000400456951,0.512,0.006,2.0550601446163e-18,"Serpine1-203",2.0550601446163e-18,"Up"
3.76598588877993e-23,4.6427063573596,0.558,0.023,2.89431079496293e-18,"Mgll-204",2.89431079496293e-18,"Up"
5.81024254809187e-23,3.64742198030006,0.884,0.351,4.46540380791053e-18,"Pakap-205",4.46540380791053e-18,"Up"
1.01003780156409e-22,5.30815637447862,0.5,0.006,7.76254452014068e-18,"Col6a2-201",7.76254452014068e-18,"Up"
1.15509317151907e-22,5.1427020987006,0.5,0.006,8.87735306039268e-18,"Psg16-201",8.87735306039268e-18,"Up"
2.10130984587637e-22,1.66788105593125,0.977,0.643,1.61494066894982e-17,"Epas1-201",1.61494066894982e-17,"Up"
2.5628381152239e-22,4.14075576148962,0.547,0.023,1.96964360507417e-17,"Mgll-201",1.96964360507417e-17,"Up"
2.82247617443924e-22,4.78427640837839,0.512,0.012,2.16918583910353e-17,"Lpl-201",2.16918583910353e-17,"Up"
3.3939413870731e-22,6.07011781147222,0.488,0.006,2.60837971362116e-17,"Xiap-204",2.60837971362116e-17,"Up"
3.66377008871682e-22,3.69758600595631,0.57,0.035,2.81575386398243e-17,"Cdkn1a-201",2.81575386398243e-17,"Up"
5.46240859952162e-22,7.7531168661438,0.465,0,4.19807950507635e-17,"Psg16-202",4.19807950507635e-17,"Up"
6.04448283507635e-22,3.11291587769428,0.756,0.187,4.64542683806958e-17,"Adamts9-201",4.64542683806958e-17,"Up"
6.41087864766384e-22,5.83879249127165,0.512,0.018,4.92701667587557e-17,"Clip1-204",4.92701667587557e-17,"Up"
8.26504752208716e-22,3.18209810742984,0.523,0.018,6.35201962262487e-17,"Clic5-201",6.35201962262487e-17,"Up"
1.8799397786078e-21,2.69060242645353,0.605,0.053,1.44480891745124e-16,"Rcan1-201",1.44480891745124e-16,"Up"
1.97698781152517e-21,3.54200852557579,0.581,0.047,1.51939421266955e-16,"Acer2-201",1.51939421266955e-16,"Up"
2.78553349913356e-21,4.25621048592976,0.547,0.035,2.1407939154241e-16,"Plxna2-201",2.1407939154241e-16,"Up"
3.45880876764261e-21,3.82095146916757,0.547,0.035,2.65823289028405e-16,"Fcho2-201",2.65823289028405e-16,"Up"
3.54958442218095e-21,5.19013463792305,0.488,0.012,2.72799761182295e-16,"Ndrg1-201",2.72799761182295e-16,"Up"
3.61320505622184e-21,4.97414341323168,0.5,0.018,2.77689261390873e-16,"Clip1-203",2.77689261390873e-16,"Up"
4.36493141243319e-21,4.67932672273545,0.488,0.012,3.3546243877114e-16,"Sema7a-201",3.3546243877114e-16,"Up"
4.46705665587285e-21,3.63883139643585,0.756,0.228,3.43311172230452e-16,"Macf1-203",3.43311172230452e-16,"Up"
4.75762297148416e-21,3.31255075397254,0.593,0.053,3.65642355850444e-16,"Spp1-201",3.65642355850444e-16,"Up"
7.00464464774504e-21,3.0086601357299,0.605,0.058,5.38334959757797e-16,"Edn1-201",5.38334959757797e-16,"Up"
7.55076277432022e-21,3.13168385002183,0.628,0.07,5.80306322257606e-16,"Klf4-201",5.80306322257606e-16,"Up"
9.35326244428913e-21,-3.43510129876082,0.465,0.819,7.18835631893397e-16,"Hnrnpab-202",7.18835631893397e-16,"Down"
1.06719617946202e-20,-3.36873988322421,0.465,0.825,8.20182951763738e-16,"Hnrnpab-203",8.20182951763738e-16,"Down"
1.08189460463275e-20,3.03756564102452,0.663,0.094,8.31479279444452e-16,"Btg2-201",8.31479279444452e-16,"Up"
1.6166953713063e-20,2.32151171025024,0.93,0.643,1.24249506066374e-15,"Igfbp7-201",1.24249506066374e-15,"Up"
1.68765419063422e-20,3.7925674593344,0.651,0.111,1.29702975167002e-15,"Jmjd1c-206",1.29702975167002e-15,"Up"
1.96629644768183e-20,2.81290400332444,0.686,0.123,1.5111774719014e-15,"Psg21-201",1.5111774719014e-15,"Up"
2.04583164285098e-20,3.60702688479295,0.558,0.047,1.57230345079669e-15,"Mbnl2-201",1.57230345079669e-15,"Up"
2.24632142594666e-20,3.06224736049673,0.686,0.135,1.72638786869705e-15,"Tns1-217",1.72638786869705e-15,"Up"
2.32980150219738e-20,3.54396336900129,0.512,0.023,1.79054564649877e-15,"Dcn-201",1.79054564649877e-15,"Up"
2.5174379371148e-20,-3.43473181860963,0.5,0.819,1.93475175219021e-15,"Hnrnpab-201",1.93475175219021e-15,"Down"
3.14367657200268e-20,7.7853406141939,0.43,0,2.41604119264694e-15,"Psg16-204",2.41604119264694e-15,"Up"
3.16065909031577e-20,3.30401144973664,0.605,0.07,2.42909293727128e-15,"Fosb-201",2.42909293727128e-15,"Up"
3.25280785536492e-20,2.90718384010554,0.721,0.158,2.49991294916216e-15,"Emp1-206",2.49991294916216e-15,"Up"
3.25280785536492e-20,2.90718384010554,0.721,0.158,2.49991294916216e-15,"Emp1-201",2.49991294916216e-15,"Up"
3.6200797300856e-20,2.71257770554477,0.802,0.205,2.78217607575999e-15,"Flnb-201",2.78217607575999e-15,"Up"
5.13698716246209e-20,3.05310995478741,0.523,0.029,3.94798011383861e-15,"Usp34-208",3.94798011383861e-15,"Up"
7.5445202125048e-20,2.65589535830861,0.465,0.012,5.79826556411844e-15,"Rb1cc1-201",5.79826556411844e-15,"Up"
9.59019653572421e-20,3.27131848370904,0.547,0.041,7.37044964556549e-15,"Itpr2-202",7.37044964556549e-15,"Up"
1.10044309928434e-19,2.62043304099932,0.721,0.152,8.45734539523985e-15,"Calcrl-201",8.45734539523985e-15,"Up"
1.18476978654015e-19,3.58179071542877,0.523,0.035,9.10542971747564e-15,"Helz2-202",9.10542971747564e-15,"Up"
1.5984369643993e-19,3.18549647708168,0.512,0.029,1.22846274461944e-14,"Parp14-201",1.22846274461944e-14,"Up"
1.67921084249265e-19,3.93477034060496,0.512,0.035,1.2905407008893e-14,"Rnd1-201",1.2905407008893e-14,"Up"
2.41473953306286e-19,2.19934831974554,0.477,0.018,1.85582392074013e-14,"Nr4a1-201",1.85582392074013e-14,"Up"
3.02260522606057e-19,2.63979896962145,0.581,0.064,2.32299302043659e-14,"Dock9-201",2.32299302043659e-14,"Up"
3.03532986122364e-19,1.51969532521284,0.616,0.064,2.33277241154482e-14,"Psg27-201",2.33277241154482e-14,"Up"
3.30362146253378e-19,2.32131209919773,0.605,0.064,2.53896523881571e-14,"Ceacam11-201",2.53896523881571e-14,"Up"
3.35998079364796e-19,2.40420379541745,0.581,0.058,2.5822796391502e-14,"Slfn5-201",2.5822796391502e-14,"Up"
3.61915630862499e-19,2.92383092538506,0.558,0.053,2.78146638943065e-14,"Spp1-205",2.78146638943065e-14,"Up"
3.79523950523292e-19,2.69053810199809,0.593,0.07,2.91679336935171e-14,"Jcad-201",2.91679336935171e-14,"Up"
3.98607356502495e-19,3.02144575502856,0.5,0.029,3.06345697766428e-14,"Apold1-201",3.06345697766428e-14,"Up"
4.45845493011787e-19,6.63384391659882,0.407,0,3.42650095199278e-14,"Col6a3-202",3.42650095199278e-14,"Up"
5.41380711983756e-19,5.32801341614301,0.442,0.012,4.16072732387996e-14,"Flrt2-201",4.16072732387996e-14,"Up"
6.31210672313359e-19,3.30913285217329,0.465,0.018,4.85110650099709e-14,"Tsc22d2-203",4.85110650099709e-14,"Up"
6.425006502475e-19,2.98406146963684,0.558,0.053,4.93787449741214e-14,"Lrrc8a-201",4.93787449741214e-14,"Up"
7.20645381253143e-19,5.77237196022685,0.419,0.006,5.53844801308291e-14,"Clip1-201",5.53844801308291e-14,"Up"
7.4979944241418e-19,2.81559390985743,0.64,0.105,5.76250863472994e-14,"Foxo1-201",5.76250863472994e-14,"Up"
7.58238720254579e-19,2.24857237746071,0.849,0.31,5.82736786064454e-14,"Podxl-201",5.82736786064454e-14,"Up"
8.76061271892048e-19,3.81915480764251,0.442,0.012,6.73288129899915e-14,"Arfgef1-201",6.73288129899915e-14,"Up"
8.90202707425017e-19,2.25286468919591,0.465,0.018,6.84156388764423e-14,"Nr4a1-202",6.84156388764423e-14,"Up"
