"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.88807706229143e-45,-4.46276370136154,0.039,0.579,4.52522274545345e-40,"Plac1-201",4.52522274545345e-40,"Down"
3.56040206343728e-39,-1.81620150114614,0.76,0.965,2.73631140183409e-34,"Ppia-202",2.73631140183409e-34,"Down"
1.53068260306573e-38,-2.84946447039928,0.159,0.685,1.17639080776014e-33,"Slc38a4-201",1.17639080776014e-33,"Down"
4.6503330961221e-38,3.63016479903724,0.627,0.094,3.57396699769368e-33,"Ftl1-206",3.57396699769368e-33,"Up"
1.19621756049997e-36,-3.7963745724948,0.039,0.504,9.1934104394665e-32,"Plac1-202",9.1934104394665e-32,"Down"
3.83160624983439e-36,-1.96052659085116,0.237,0.76,2.94474266724772e-31,"Myh10-203",2.94474266724772e-31,"Down"
8.6123976557078e-35,-1.79750830604694,0.302,0.823,6.61897209431767e-30,"Lamb1-201",6.61897209431767e-30,"Down"
1.92864287501484e-34,-1.76635409028058,0.636,0.917,1.4822391951639e-29,"Mest-211",1.4822391951639e-29,"Down"
3.02790448538705e-34,-1.77656146809649,0.302,0.819,2.32706571319936e-29,"Lamb1-208",2.32706571319936e-29,"Down"
2.3662012206167e-33,-1.79899219634103,0.367,0.843,1.81852028609276e-28,"Peg3-201",1.81852028609276e-28,"Down"
3.54219427864179e-32,-3.73559032458099,0.036,0.453,2.72231799090736e-27,"Plac1-203",2.72231799090736e-27,"Down"
4.96397309612994e-32,-1.87209801268157,0.675,0.937,3.81501188329971e-27,"Serpinh1-201",3.81501188329971e-27,"Down"
8.87726832009775e-32,-2.57999936924816,0.159,0.626,6.82253579472792e-27,"Slc38a4-205",6.82253579472792e-27,"Down"
1.13782853028309e-31,-1.77388135003191,0.328,0.791,8.7446673866377e-27,"Lama4-201",8.7446673866377e-27,"Down"
1.77554173148316e-30,-1.83162223742243,0.231,0.705,1.36457484231407e-25,"Myh10-202",1.36457484231407e-25,"Down"
2.10980957426411e-30,-1.64561287056572,0.377,0.839,1.62147305020494e-25,"Plagl1-202",1.62147305020494e-25,"Down"
2.32556923184786e-29,-1.79643088216782,0.088,0.524,1.78729297744436e-24,"Stab2-201",1.78729297744436e-24,"Down"
3.82272008065148e-29,-2.13682194022864,0.156,0.614,2.93791329078389e-24,"Adam12-201",2.93791329078389e-24,"Down"
4.13684874972979e-29,-1.76779399847418,0.256,0.717,3.17933373811733e-24,"Ubqln2-201",3.17933373811733e-24,"Down"
5.16923011558329e-29,-2.10214319805737,0.205,0.657,3.97276011303038e-24,"Tro-203",3.97276011303038e-24,"Down"
5.94281144116941e-29,3.27147911487416,0.711,0.335,4.56728830499634e-24,"Ctla2a-209",4.56728830499634e-24,"Up"
