"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.43357622643988e-32,3.08445733496108,0.953,0.386,7.79068014510015e-28,"Adgrf5",7.79068014510015e-28,"Up"
3.94710966388486e-28,4.47701458735404,0.686,0.053,6.93586110137848e-24,"Mcf2l",6.93586110137848e-24,"Up"
4.21679805138826e-28,3.64870004666079,0.826,0.193,7.40975753589945e-24,"Adamts9",7.40975753589945e-24,"Up"
5.68091164988079e-27,3.43550637944977,0.814,0.187,9.98249795117052e-23,"Flt1",9.98249795117052e-23,"Up"
1.00452689412686e-26,3.56505462206713,0.744,0.105,1.76515465835972e-22,"Dock9",1.76515465835972e-22,"Up"
1.8131258281774e-26,3.58321399118597,0.802,0.205,3.18602470527332e-22,"Timp3",3.18602470527332e-22,"Up"
2.63641350531871e-26,4.79099392912591,0.674,0.07,4.63270581154604e-22,"Plxna2",4.63270581154604e-22,"Up"
2.77439235989869e-26,-2.50947348292841,0.477,0.93,4.87516225481398e-22,"Ppia",4.87516225481398e-22,"Down"
5.09689092762408e-26,5.12087077712877,0.628,0.041,8.95625673802103e-22,"Serpine1",8.95625673802103e-22,"Up"
5.87240475155223e-26,2.59396731398237,0.953,0.684,1.03189896294276e-21,"Igfbp7",1.03189896294276e-21,"Up"
1.33031055253728e-25,4.67704262881513,0.837,0.281,2.33762170291851e-21,"Jarid2",2.33762170291851e-21,"Up"
1.35506402130812e-25,-3.74112836098105,0.14,0.836,2.38111849824264e-21,"Set",2.38111849824264e-21,"Down"
1.6066128998912e-25,3.57655026090496,0.733,0.111,2.82314018768882e-21,"Lrrc8c",2.82314018768882e-21,"Up"
1.6932992835376e-25,-2.05545350678135,0.651,0.988,2.97546550103227e-21,"Tpt1",2.97546550103227e-21,"Down"
2.53827896800691e-25,4.75603409077211,0.767,0.164,4.46026380258174e-21,"D130009I18Rik",4.46026380258174e-21,"Up"
4.6728143766892e-25,2.28577086458826,0.919,0.45,8.21106942271826e-21,"Cdh5",8.21106942271826e-21,"Up"
7.30327488177481e-25,3.21398018152025,0.756,0.129,1.28333146222547e-20,"Tns1",1.28333146222547e-20,"Up"
8.2633654375971e-25,4.37764619249088,0.64,0.058,1.45203857469456e-20,"Rapgef1",1.45203857469456e-20,"Up"
1.48269463998504e-24,3.1956793647773,0.802,0.246,2.60539102138172e-20,"Adgrl4",2.60539102138172e-20,"Up"
1.48966390741701e-24,3.87073336530941,0.651,0.064,2.61763741811316e-20,"Entpd1",2.61763741811316e-20,"Up"
1.59589282996871e-24,4.04603554420618,0.64,0.058,2.80430288082101e-20,"B830012L14Rik",2.80430288082101e-20,"Up"
2.3626433456266e-24,3.36414192814113,0.733,0.129,4.15163688693506e-20,"Ptprg",4.15163688693506e-20,"Up"
4.37653409703165e-24,2.39092035875677,0.919,0.456,7.69044571530402e-20,"Pecam1",7.69044571530402e-20,"Up"
5.47642497648938e-24,4.83751033850089,0.698,0.123,9.62317396868714e-20,"Tmtc2",9.62317396868714e-20,"Up"
1.57438985066381e-23,3.70308266683389,0.686,0.099,2.76651784558644e-19,"Prkce",2.76651784558644e-19,"Up"
2.72144915576386e-23,1.82210686988579,0.965,0.649,4.78213045650825e-19,"Epas1",4.78213045650825e-19,"Up"
7.46836362149623e-23,2.42995776329327,0.849,0.304,1.31234085556932e-18,"Arhgap31",1.31234085556932e-18,"Up"
7.46906822335924e-23,3.58454305165849,0.721,0.164,1.31246466820869e-18,"Copg2",1.31246466820869e-18,"Up"
2.53359817031266e-22,4.49408810071298,0.535,0.023,4.45203870487341e-18,"Itgb3",4.45203870487341e-18,"Up"
2.85113756159358e-22,3.08674499322414,0.756,0.205,5.01001892323224e-18,"Emp1",5.01001892323224e-18,"Up"
3.4166670419485e-22,-3.73776464987253,0.198,0.784,6.00376732611191e-18,"Hnrnpab",6.00376732611191e-18,"Down"
3.92698939683889e-22,2.87073336530941,0.721,0.14,6.90050576812529e-18,"Ahnak",6.90050576812529e-18,"Up"
1.64581770870232e-21,4.0399507817452,0.581,0.058,2.89203087773172e-17,"Acer2",2.89203087773172e-17,"Up"
4.768023001603e-21,3.3806300509297,0.651,0.111,8.37837001841679e-17,"Asap2",8.37837001841679e-17,"Up"
5.14735062396289e-21,2.09414908971845,1,0.637,9.04492451642758e-17,"Peak1",9.04492451642758e-17,"Up"
6.48180760798412e-21,3.36662719153072,0.616,0.082,1.13898323287497e-16,"Fas",1.13898323287497e-16,"Up"
1.11075261310448e-20,4.00057654341105,0.628,0.105,1.95181449174719e-16,"Fmnl2",1.95181449174719e-16,"Up"
1.41632795885153e-20,3.27811051893996,0.709,0.17,2.48877148929391e-16,"Magi1",2.48877148929391e-16,"Up"
1.84588831048722e-20,1.75933947976966,0.965,0.661,3.24359493918814e-16,"Col4a2",3.24359493918814e-16,"Up"
2.23967849578977e-20,2.34865766119142,0.837,0.333,3.93556305280178e-16,"Podxl",3.93556305280178e-16,"Up"
2.34641393347384e-20,2.74494779260067,0.733,0.187,4.12311856390023e-16,"Fgd5",4.12311856390023e-16,"Up"
2.41055228473265e-20,3.78805436609867,0.616,0.099,4.2358224747322e-16,"Rapgef4",4.2358224747322e-16,"Up"
3.57932026352436e-20,2.63018822450703,0.826,0.351,6.289581567065e-16,"Ptprb",6.289581567065e-16,"Up"
3.706263557952e-20,2.19891273343131,0.919,0.544,6.51264632403325e-16,"Plvap",6.51264632403325e-16,"Up"
3.88983478242426e-20,3.32173636187613,0.686,0.158,6.8352176796759e-16,"Calcrl",6.8352176796759e-16,"Up"
4.53468027329773e-20,3.51241992348524,0.64,0.123,7.96834017623876e-16,"Zdbf2",7.96834017623876e-16,"Up"
5.37878491378239e-20,3.40973117033047,0.674,0.152,9.45160085049841e-16,"Rapgef5",9.45160085049841e-16,"Up"
6.83565222953246e-20,3.86605687809994,0.558,0.064,1.20116080977344e-15,"Adamts1",1.20116080977344e-15,"Up"
1.15162208286159e-19,2.85665818009769,0.721,0.187,2.02363032400439e-15,"Hivep2",2.02363032400439e-15,"Up"
1.88738584521975e-19,3.09267388529811,0.674,0.152,3.31651440722015e-15,"Hecw2",3.31651440722015e-15,"Up"
1.95141655439625e-19,2.96559255165086,0.651,0.135,3.42902916938509e-15,"St3gal1",3.42902916938509e-15,"Up"
2.06971516490644e-19,3.16992500144231,0.605,0.088,3.6369034877736e-15,"Plcb4",3.6369034877736e-15,"Up"
2.62086888028943e-19,3.54412878321258,0.581,0.082,4.60539079644459e-15,"Znrf1",4.60539079644459e-15,"Up"
2.99596600032856e-19,2.61252955801052,0.779,0.263,5.26451145577734e-15,"Flnb",5.26451145577734e-15,"Up"
4.31440797190854e-19,2.7989426822414,0.663,0.135,7.58127768823769e-15,"Rock2",7.58127768823769e-15,"Up"
4.57180544066987e-19,-2.51340643583394,0.326,0.813,8.0335765203451e-15,"Hnrnpa2b1",8.0335765203451e-15,"Down"
6.34352678431152e-19,3.23951527362739,0.628,0.123,1.11468452653922e-14,"Zbtb20",1.11468452653922e-14,"Up"
1.11839272836637e-18,3.57655026090496,0.523,0.053,1.96523970228538e-14,"Qk",1.96523970228538e-14,"Up"
1.31357544307876e-18,2.62504877859615,0.721,0.211,2.308214768578e-14,"Wwtr1",2.308214768578e-14,"Up"
1.33725752602282e-18,3.71147984099106,0.57,0.082,2.34982892472729e-14,"Cyyr1",2.34982892472729e-14,"Up"
1.58930655163628e-18,3.23951527362739,0.651,0.146,2.79272947253527e-14,"Sorbs1",2.79272947253527e-14,"Up"
1.90950817039422e-18,3.69202747832489,0.547,0.07,3.35538775701673e-14,"Edn1",3.35538775701673e-14,"Up"
2.79063326314338e-18,2.87611054276386,0.686,0.187,4.90370076999555e-14,"Itpkb",4.90370076999555e-14,"Up"
3.76494723680895e-18,4.04221383325377,0.477,0.035,6.61576528452069e-14,"Gbp7",6.61576528452069e-14,"Up"
5.31290757351546e-18,3.18141231906382,0.57,0.088,9.33584118818137e-14,"Dennd5b",9.33584118818137e-14,"Up"
6.05424925423439e-18,2.48832307789322,0.86,0.427,1.06385267895407e-13,"Akap12",1.06385267895407e-13,"Up"
6.59331757090307e-18,1.92085324864657,0.988,0.667,1.15857776355909e-13,"Zc3h7a",1.15857776355909e-13,"Up"
7.07123909012862e-18,-3.5382331863449,0.14,0.702,1.2425581329174e-13,"Prdx2",1.2425581329174e-13,"Down"
7.38498308730494e-18,2.36082156984952,0.698,0.175,1.29768922810122e-13,"Sgms1",1.29768922810122e-13,"Up"
1.21442905977913e-17,2.71856926577738,0.64,0.152,2.1339947438439e-13,"Bmpr2",2.1339947438439e-13,"Up"
1.39508623299731e-17,2.79181824780802,0.651,0.158,2.45144552862288e-13,"Heg1",2.45144552862288e-13,"Up"
1.64884679678672e-17,3.86605687809994,0.488,0.047,2.89735359131362e-13,"Mgat4a",2.89735359131362e-13,"Up"
1.74839143777588e-17,2.57655026090496,0.698,0.228,3.07227343445977e-13,"Eng",3.07227343445977e-13,"Up"
1.87805021505892e-17,4.72855335435001,0.407,0.012,3.30010983790154e-13,"Sema7a",3.30010983790154e-13,"Up"
2.03708077817285e-17,2.75914167418343,0.686,0.193,3.57955834340533e-13,"Prkch",3.57955834340533e-13,"Up"
2.10001246760633e-17,2.39657159479872,0.744,0.234,3.69014190807784e-13,"Pdlim5",3.69014190807784e-13,"Up"
2.35855130924563e-17,3.11260316114517,0.57,0.088,4.14444636060642e-13,"Ldb2",4.14444636060642e-13,"Up"
2.52798898718943e-17,2.9915877601838,0.616,0.135,4.44218224828926e-13,"Ghr",4.44218224828926e-13,"Up"
3.17095496748229e-17,2.34706841478219,0.756,0.287,5.57200206885989e-13,"Cav1",5.57200206885989e-13,"Up"
3.20903567303635e-17,2.33641625718124,0.733,0.234,5.63891748465948e-13,"Dlc1",5.63891748465948e-13,"Up"
3.21440790354744e-17,2.8828815007413,0.64,0.152,5.64835756811356e-13,"Bach2",5.64835756811356e-13,"Up"
3.63259536490589e-17,1.7948958491787,0.86,0.55,6.38319657521263e-13,"Sptbn1",6.38319657521263e-13,"Up"
4.60108572751122e-17,2.39146757599915,0.93,0.48,8.08502784038271e-13,"Itga9",8.08502784038271e-13,"Up"
5.66693674044868e-17,-4.50666310734402,0.047,0.596,9.95794124031643e-13,"Atp5g1",9.95794124031643e-13,"Down"
5.81682678568941e-17,4.05048144923737,0.442,0.029,1.02213280278134e-12,"Mgll",1.02213280278134e-12,"Up"
7.72124993036164e-17,3.92232509774669,0.453,0.035,1.35677803776315e-12,"Rhoj",1.35677803776315e-12,"Up"
7.96999804074056e-17,2.50060140767166,0.674,0.187,1.40048805571893e-12,"Sash1",1.40048805571893e-12,"Up"
