"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.27505307934108e-20,3.8405217859928,0.419,0.049,5.75492327101815e-16,"Il1r1",5.75492327101815e-16,"Up"
5.74859433586764e-20,2.77639144857309,0.616,0.162,1.01014299669866e-15,"Rapgef4",1.01014299669866e-15,"Up"
6.77682724405206e-20,-1.58375571310984,0.465,0.938,1.19082408332483e-15,"Zfp791",1.19082408332483e-15,"Down"
1.91299366183507e-19,1.92298394618478,0.64,0.149,3.36151246257658e-15,"B830012L14Rik",3.36151246257658e-15,"Up"
4.59995898574873e-19,2.47655847130823,0.64,0.182,8.08304792975767e-15,"Bach2",8.08304792975767e-15,"Up"
2.18474661262413e-18,2.10871789694238,0.686,0.214,3.83903674770313e-14,"Mcf2l",3.83903674770313e-14,"Up"
2.36765978839719e-18,2.09258507400559,0.686,0.208,4.16045178017155e-14,"Prkce",4.16045178017155e-14,"Up"
1.79781165650873e-17,1.85285258790352,0.802,0.409,3.15911464281714e-13,"Adgrl4",3.15911464281714e-13,"Up"
5.69770064194892e-17,2.18340949951581,0.616,0.185,1.00119995680326e-12,"Ghr",1.00119995680326e-12,"Up"
6.78498293854786e-17,1.25916152195184,0.953,0.656,1.19225720196163e-12,"Adgrf5",1.19225720196163e-12,"Up"
1.60313741480514e-16,2.02573665845971,0.616,0.182,2.81703306529559e-12,"Fas",2.81703306529559e-12,"Up"
2.07553012918916e-16,2.4849381369242,0.628,0.221,3.64712154301119e-12,"Fmnl2",3.64712154301119e-12,"Up"
2.54990119025118e-16,2.02543950191059,0.674,0.234,4.48068637150936e-12,"Hecw2",4.48068637150936e-12,"Up"
2.70470725531278e-16,1.72581012711611,0.733,0.289,4.75271158903561e-12,"Ptprg",4.75271158903561e-12,"Up"
6.47549494702283e-16,1.2472758460127,0.965,0.679,1.13787397209085e-11,"Col4a2",1.13787397209085e-11,"Up"
8.46026060201876e-16,2.25290483182567,0.674,0.269,1.48663699298674e-11,"Plxna2",1.48663699298674e-11,"Up"
1.20750539928288e-15,1.816805717019,0.721,0.292,2.12182848761987e-11,"Copg2",2.12182848761987e-11,"Up"
1.25378442846865e-15,1.49496394472054,0.849,0.435,2.20314999770512e-11,"Igf2r",2.20314999770512e-11,"Up"
3.4548267203266e-15,1.48127206489971,0.767,0.286,6.0708215129579e-11,"Meg3",6.0708215129579e-11,"Up"
4.14599390508597e-15,1.10462130449283,0.977,0.763,7.28534049001706e-11,"Col4a1",7.28534049001706e-11,"Up"
4.34305533648877e-15,2.07113471413422,0.581,0.179,7.63161683727807e-11,"Znrf1",7.63161683727807e-11,"Up"
9.63515197519652e-15,1.8405217859928,0.721,0.325,1.69308890508153e-10,"Hivep2",1.69308890508153e-10,"Up"
1.08266365827778e-14,1.29846787674094,0.826,0.351,1.90245658032571e-10,"Peg3",1.90245658032571e-10,"Up"
1.30837134720587e-14,1.59494457723556,0.802,0.429,2.29907013131016e-10,"Cald1",2.29907013131016e-10,"Up"
2.88589790384421e-14,2.27020606123605,0.5,0.133,5.07109979663504e-10,"Adam23",5.07109979663504e-10,"Up"
3.14976543332605e-14,2.61040200263175,0.558,0.195,5.53476781944054e-10,"Plpp3",5.53476781944054e-10,"Up"
5.33673570804608e-14,1.94240140001202,0.64,0.244,9.37771198617858e-10,"Zdbf2",9.37771198617858e-10,"Up"
7.88834243948457e-14,2.15602361172073,0.488,0.127,1.38613953346623e-09,"Nes",1.38613953346623e-09,"Up"
9.32221202490555e-14,1.70420031478002,0.674,0.282,1.6380990970164e-09,"Sash1",1.6380990970164e-09,"Up"
1.68095332276043e-13,2.30618535834162,0.453,0.11,2.95377117875463e-09,"Shroom3",2.95377117875463e-09,"Up"
3.01241913077884e-13,2.27348119326891,0.465,0.123,5.29342289660458e-09,"Prickle2",5.29342289660458e-09,"Up"
3.12236689974289e-13,1.52169960197326,0.698,0.312,5.48662311622821e-09,"Sgms1",5.48662311622821e-09,"Up"
3.16024436428616e-13,1.7589919004962,0.605,0.205,5.55318139692364e-09,"Plcb4",5.55318139692364e-09,"Up"
3.17169173353804e-13,1.77639144857309,0.651,0.26,5.57329671417304e-09,"Asap2",5.57329671417304e-09,"Up"
3.69884260621343e-13,1.90192233065695,0.686,0.338,6.49960622763824e-09,"Itpkb",6.49960622763824e-09,"Up"
