"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.2446755314595e-90,8.3026801308599,0.938,0.031,2.18714384388064e-86,"Zfp791",2.18714384388064e-86,"Up"
7.62418334659332e-85,3.44841923208967,0.994,0.815,1.33972149766338e-80,"Peak1",1.33972149766338e-80,"Up"
1.57361489813088e-84,5.46649175461266,0.961,0.35,2.76515609899558e-80,"Itga9",2.76515609899558e-80,"Up"
2.76818527973829e-81,3.02854644447364,1,0.862,4.86425517355612e-77,"Zc3h7a",4.86425517355612e-77,"Up"
3.03948436674323e-75,5.62308262334057,0.883,0.114,5.3409819292412e-71,"D130009I18Rik",5.3409819292412e-71,"Up"
4.00468448426027e-70,4.81628778397266,0.909,0.331,7.03703157574215e-66,"Jarid2",7.03703157574215e-66,"Up"
1.41109103493454e-57,4.71842595417046,0.799,0.181,2.47956916658697e-53,"Tmtc2",2.47956916658697e-53,"Up"
1.01830087810226e-43,-1.8075528144685,0.581,0.898,1.78935830300129e-39,"Mest",1.78935830300129e-39,"Down"
1.34544245274395e-42,3.14557973976536,0.744,0.197,2.36421147796167e-38,"Camk1d",2.36421147796167e-38,"Up"
1.23011388877855e-40,3.70070392380814,0.633,0.091,2.16155612536167e-36,"Dnah7b",2.16155612536167e-36,"Up"
1.46006406076708e-39,-1.452903076154,0.591,0.961,2.56562456757991e-35,"Serpinh1",2.56562456757991e-35,"Down"
4.04461541179623e-39,4.59888725597192,0.562,0.039,7.10719820160834e-35,"Tlcd4",7.10719820160834e-35,"Up"
4.94254359245246e-39,3.80369223724091,0.662,0.146,8.68503760065747e-35,"Il31ra",8.68503760065747e-35,"Up"
6.24046477521185e-38,-4.23652275017134,0.019,0.484,1.09657447030023e-33,"Plac1",1.09657447030023e-33,"Down"
3.21312359260253e-37,-1.85365032423602,0.347,0.831,5.64610077692116e-33,"Plagl1",5.64610077692116e-33,"Down"
3.23461199207525e-36,-1.43895586495005,0.601,0.949,5.68386019247464e-32,"Ppia",5.68386019247464e-32,"Down"
3.0745693889411e-34,-2.03157007900087,0.247,0.732,5.4026333302473e-30,"Lama4",5.4026333302473e-30,"Down"
3.93564723864081e-33,-1.23671793315762,0.61,0.957,6.91571932773963e-29,"Ece1",6.91571932773963e-29,"Down"
6.3719148159342e-33,4.86938575839982,0.487,0.031,1.11967287145596e-28,"Mphosph8",1.11967287145596e-28,"Up"
1.2276507935784e-32,-1.82771816475085,0.422,0.819,2.15722797447597e-28,"Maged2",2.15722797447597e-28,"Down"
2.6536604308816e-31,-1.93599587709774,0.234,0.713,4.66301210914515e-27,"Lamb1",4.66301210914515e-27,"Down"
7.35941357116678e-31,-2.53501015695969,0.146,0.598,1.29319615272543e-26,"Nrk",1.29319615272543e-26,"Down"
8.31240023829278e-29,-1.73310576051922,0.231,0.693,1.46065496987281e-24,"Nrp1",1.46065496987281e-24,"Down"
1.26200100645457e-28,-2.27101242913642,0.143,0.583,2.21758816854197e-24,"Myh10",2.21758816854197e-24,"Down"
2.37333407071687e-28,5.06174814896189,0.419,0.02,4.17042262906368e-24,"Gnb1l",4.17042262906368e-24,"Up"
3.97978043935948e-28,-1.22209146800219,0.464,0.866,6.99327018804248e-24,"Kdr",6.99327018804248e-24,"Down"
5.95153565349505e-28,-1.66961081770534,0.078,0.5,1.04580384503215e-23,"Stab2",1.04580384503215e-23,"Down"
7.68806220398881e-28,-1.17260872507542,0.685,0.945,1.35094629048491e-23,"Gapdh",1.35094629048491e-23,"Down"
1.03263199205022e-27,4.90511997013303,0.412,0.02,1.81454093643064e-23,"Sspn",1.81454093643064e-23,"Up"
8.8845306931905e-27,-2.69022775778168,0.094,0.492,1.56118973340744e-22,"Ubqln2",1.56118973340744e-22,"Down"
1.25289220837985e-26,-3.6191387717578,0.019,0.37,2.20158218856508e-22,"Chrdl1",2.20158218856508e-22,"Down"
2.07089494764853e-26,-1.26809468056735,0.451,0.854,3.63897660200799e-22,"Cd81",3.63897660200799e-22,"Down"
3.18962297078072e-26,-1.45225497867028,0.351,0.787,5.60480548425589e-22,"Peg3",5.60480548425589e-22,"Down"
7.96625465905377e-26,-2.53252312945182,0.097,0.492,1.39983026868893e-21,"Slc38a4",1.39983026868893e-21,"Down"
3.81656109558537e-25,-2.17672483354765,0.153,0.559,6.70646115716261e-21,"Tro",6.70646115716261e-21,"Down"
1.17288568259885e-24,-1.20957047225192,0.435,0.839,2.0609947214627e-20,"Prrc2c",2.0609947214627e-20,"Down"
7.2722295735955e-24,-1.79091456888806,0.211,0.614,1.2778761806722e-19,"Piezo2",1.2778761806722e-19,"Down"
9.67831538250676e-24,-1.35210243536651,0.39,0.752,1.70067357901409e-19,"Fus",1.70067357901409e-19,"Down"
1.1419082907047e-23,-1.08177172917248,0.636,0.909,2.00656124842629e-19,"Ybx1",2.00656124842629e-19,"Down"
2.19424241265622e-23,-1.03082569948651,0.653,0.906,3.85572276751951e-19,"Ywhaz",3.85572276751951e-19,"Down"
5.67597833102477e-23,-1.52602936736632,0.237,0.654,9.97382912327672e-19,"Marcksl1",9.97382912327672e-19,"Down"
2.73065328991015e-22,-1.21635084283129,0.422,0.783,4.79830396103011e-18,"Sptan1",4.79830396103011e-18,"Down"
4.92948519883613e-22,-1.37832930166139,0.331,0.724,8.66209139139484e-18,"Hnrnpab",8.66209139139484e-18,"Down"
5.16255628706394e-22,-1.05311605593812,0.487,0.866,9.07164390762875e-18,"Tjp1",9.07164390762875e-18,"Down"
7.3654797857136e-22,-1.07605807797809,0.529,0.866,1.29426210794559e-17,"Plec",1.29426210794559e-17,"Down"
1.23065638986347e-21,-1.02246048424267,0.588,0.878,2.16250940826809e-17,"Fn1",2.16250940826809e-17,"Down"
3.24305180190199e-21,-1.95421224270209,0.11,0.472,5.69869062630218e-17,"Adam12",5.69869062630218e-17,"Down"
8.18130900708984e-21,2.90410147729801,0.497,0.146,1.43761961872583e-16,"Arhgap21",1.43761961872583e-16,"Up"
8.27625583870619e-21,-2.19563969373076,0.11,0.457,1.45430367597745e-16,"Pomp",1.45430367597745e-16,"Down"
8.64662129093904e-21,-1.22863317765844,0.39,0.752,1.51938429324381e-16,"Hnrnpa3",1.51938429324381e-16,"Down"
2.15262465208924e-20,-1.23582205043017,0.435,0.783,3.78259203865122e-16,"Igf2r",3.78259203865122e-16,"Down"
