"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.89649568484392e-317,-1.03315301089106,1,1,5.55673235659268e-315,"Gfi1b",5.55673235659268e-315,"Down"
6.06587180714897e-310,-1.02746381617391,0.999,1,1.77730043949465e-307,"Ikzf1",1.77730043949465e-307,"Down"
8.56651183107262e-262,1.05800973287073,1,1,2.50998796650428e-259,"Cebpb",2.50998796650428e-259,"Up"
1.95788434983295e-249,2.39331917930076,0.708,0.148,5.73660114501054e-247,"Prdm1",5.73660114501054e-247,"Up"
3.81171180834059e-242,1.37715004154838,1,0.986,1.11683155984379e-239,"Rara",1.11683155984379e-239,"Up"
8.39795539909587e-228,2.68262858279562,0.68,0.147,2.46060093193509e-225,"Tcf21",2.46060093193509e-225,"Up"
2.13947979714832e-226,2.51652594928824,0.614,0.114,6.26867580564457e-224,"Zkscan6",6.26867580564457e-224,"Up"
6.29307482702664e-202,1.06869414889669,0.991,0.983,1.84387092431881e-199,"Atf2",1.84387092431881e-199,"Up"
1.09914839177622e-201,2.07736930578022,0.914,0.431,3.22050478790432e-199,"Creb3l2",3.22050478790432e-199,"Up"
1.26447872181025e-195,2.35811446961942,0.802,0.266,3.70492265490402e-193,"Nfia",3.70492265490402e-193,"Up"
1.36816162031123e-176,1.78247124415735,0.809,0.286,4.00871354751191e-174,"Zbtb16",4.00871354751191e-174,"Up"
4.3802227020285e-164,-1.04173758696857,0.993,0.999,1.28340525169435e-161,"Foxm1",1.28340525169435e-161,"Down"
9.72279932300946e-144,1.51915819574068,0.82,0.356,2.84878020164177e-141,"Snd1",2.84878020164177e-141,"Up"
7.03306008886048e-137,1.29238499381591,0.663,0.193,2.06068660603612e-134,"Egr2",2.06068660603612e-134,"Up"
2.78043284734351e-135,1.56096467528397,0.972,0.747,8.14666824271648e-133,"Nfatc1",8.14666824271648e-133,"Up"
2.30016051423634e-125,1.46590198326308,0.589,0.157,6.73947030671248e-123,"Nfatc2",6.73947030671248e-123,"Up"
9.84125280524526e-111,1.29383964750112,0.823,0.364,2.88348707193686e-108,"Hsf1",2.88348707193686e-108,"Up"
3.48614287642672e-106,1.13257201293811,0.972,0.835,1.02143986279303e-103,"Rxra",1.02143986279303e-103,"Up"
1.87825445124314e-94,1.09669522818791,0.92,0.807,5.5032855421424e-92,"Zfp42",5.5032855421424e-92,"Up"
8.04658515726147e-87,1.62164362019874,0.44,0.125,2.35764945107761e-84,"Hand1",2.35764945107761e-84,"Up"
6.3621717448424e-81,1.05966173571779,0.978,0.853,1.86411632123882e-78,"Crem",1.86411632123882e-78,"Up"
3.30396814416354e-78,1.3547592484808,0.592,0.228,9.68062666239916e-76,"Hoxa10",9.68062666239916e-76,"Up"
3.73606799628804e-78,1.13591776402225,0.954,0.741,1.09466792291239e-75,"Gata4",1.09466792291239e-75,"Up"
3.73544703296672e-69,1.08443771105807,0.858,0.477,1.09448598065925e-66,"Pax8",1.09448598065925e-66,"Up"
1.35357371360927e-68,1.21857090995521,0.957,0.781,3.96597098087516e-66,"Myb",3.96597098087516e-66,"Up"
4.71300122574671e-58,1.12603824303272,0.894,0.645,1.38090935914379e-55,"Zfp64",1.38090935914379e-55,"Up"
5.8377115151857e-50,1.15609381381526,0.779,0.519,1.71044947394941e-47,"Sox17",1.71044947394941e-47,"Up"
6.07376302184522e-45,1.16141337524635,0.672,0.474,1.77961256540065e-42,"Cebpg",1.77961256540065e-42,"Up"
1.35946500192392e-39,1.51123719696655,0.349,0.143,3.98323245563709e-37,"Gata6",3.98323245563709e-37,"Up"
7.89176186205338e-23,1.27504273571691,0.565,0.481,2.31228622558164e-20,"Smad3",2.31228622558164e-20,"Up"
3.57794306012088e-10,1.18555211191628,0.389,0.33,1.04833731661542e-07,"E2f6",1.04833731661542e-07,"Up"
