"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.09977584539684e-292,-1.89962266367991,0.723,0.994,4.68792172822129e-287,"Car2-201",4.68792172822129e-287,"Down"
1.12751824206091e-269,-2.01299634601383,0.66,0.994,8.66542869753495e-265,"Pabpc1-201",8.66542869753495e-265,"Down"
2.51825563568421e-264,-1.65064263229592,0.873,0.998,1.93538018624874e-259,"Eef1a1-201",1.93538018624874e-259,"Down"
6.80735655357575e-255,2.12141183716272,0.994,0.977,5.2317258056851e-250,"Tpt1-201",5.2317258056851e-250,"Up"
4.91440737291239e-242,-3.89110537196248,0.079,0.846,3.77691864237809e-237,"Gypa-201",3.77691864237809e-237,"Down"
3.6563093195938e-224,-2.86699897820702,0.213,0.907,2.81001996448062e-219,"Prdx2-208",2.81001996448062e-219,"Down"
7.10931495236623e-214,-2.48570244532793,0.231,0.911,5.46379291349155e-209,"Prdx2-202",5.46379291349155e-209,"Down"
6.63627163307192e-211,-2.27651182186697,0.542,0.932,5.10024020088109e-206,"Mki67-201",5.10024020088109e-206,"Down"
4.23977948466418e-207,-2.61092193561304,0.247,0.882,3.25844012514381e-202,"Hemgn-202",3.25844012514381e-202,"Down"
9.16602029973701e-206,1.91422173606019,0.942,0.855,7.04445324115988e-201,"Ftl1-ps1-202",7.04445324115988e-201,"Up"
6.96951564197516e-201,-1.51354243239394,0.633,0.984,5.35635155148359e-196,"Slc4a1-201",5.35635155148359e-196,"Down"
9.71194050598933e-189,1.60911871958818,1,0.993,7.46401475647304e-184,"Hbb-bs-201",7.46401475647304e-184,"Up"
2.40724687018391e-181,1.28410078834658,0.999,0.995,1.85006550961115e-176,"Hba-a1-201",1.85006550961115e-176,"Up"
1.68169537975245e-180,2.59413556093558,0.857,0.685,1.29245016715495e-175,"Lars2-201",1.29245016715495e-175,"Up"
2.69450643850261e-180,2.60657373596015,0.855,0.683,2.0708359782468e-175,"Lars2-209",2.0708359782468e-175,"Up"
1.96414656838916e-174,-3.04931312985574,0.177,0.778,1.5095252036698e-169,"Hemgn-201",1.5095252036698e-169,"Down"
8.50069107221321e-171,-1.88610587727933,0.371,0.908,6.53312111663874e-166,"Cpox-201",6.53312111663874e-166,"Down"
2.21016931950335e-154,-2.18682196515652,0.335,0.829,1.69860352881111e-149,"Tubb5-201",1.69860352881111e-149,"Down"
4.85475196903116e-154,-2.09544847093408,0.273,0.849,3.7310710782792e-149,"Slc39a8-205",3.7310710782792e-149,"Down"
8.37370256363231e-154,-2.08071371402572,0.277,0.854,6.43552536825398e-149,"Slc39a8-206",6.43552536825398e-149,"Down"
6.87159416011883e-152,-2.62275386960743,0.186,0.773,5.28109497581773e-147,"Tfrc-201",5.28109497581773e-147,"Down"
3.43674612997355e-149,-2.07195416510833,0.268,0.836,2.64127687072987e-144,"Slc39a8-202",2.64127687072987e-144,"Down"
1.43450226867929e-147,-2.06654053837491,0.268,0.833,1.10247237357078e-142,"Slc39a8-201",1.10247237357078e-142,"Down"
9.83421950692542e-142,-2.64450834010193,0.213,0.752,7.55799105985246e-137,"Dek-201",7.55799105985246e-137,"Down"
1.47543059716103e-141,-2.36164970829516,0.14,0.741,1.13392743114214e-136,"Alad-201",1.13392743114214e-136,"Down"
1.17360385375746e-138,-2.34720875940397,0.137,0.732,9.0196150576676e-134,"Alad-202",9.0196150576676e-134,"Down"
2.29168954223404e-138,-1.95240560722235,0.268,0.846,1.76125508078855e-133,"Ncoa4-202",1.76125508078855e-133,"Down"
3.5857451698522e-133,-1.3977458855068,0.505,0.932,2.75578859283821e-128,"Spta1-201",2.75578859283821e-128,"Down"
3.21929145427337e-129,-1.74643434270367,0.282,0.847,2.47415425426726e-124,"Ncoa4-201",2.47415425426726e-124,"Down"
8.97280307843169e-127,-1.92361846503977,0.198,0.77,6.8959580778979e-122,"Eif5-202",6.8959580778979e-122,"Down"
1.1167682676867e-125,-1.7834051777857,0.368,0.855,8.58281084447936e-121,"Sptb-202",8.58281084447936e-121,"Down"
5.56778039889004e-124,-1.62115636128068,0.329,0.859,4.27906194776295e-119,"Eif4g2-213",4.27906194776295e-119,"Down"
1.98399849497186e-122,-1.65700490716753,0.599,0.9,1.52478220332567e-117,"Slc25a37-203",1.52478220332567e-117,"Down"
2.42286068467633e-122,-3.32028020760382,0.103,0.636,1.86206535060114e-117,"Mbnl1-201",1.86206535060114e-117,"Down"
9.9181375390907e-122,-2.03329081446391,0.222,0.766,7.62248542429277e-117,"Bmp2k-201",7.62248542429277e-117,"Down"
2.01406819279865e-118,-2.26398218338952,0.155,0.692,1.54789196889347e-113,"Serinc3-201",1.54789196889347e-113,"Down"
2.29928936936938e-118,-1.26486145091386,0.554,0.9,1.76709585193515e-113,"Anp32b-201",1.76709585193515e-113,"Down"
4.01631686768435e-118,-1.79904542248205,0.23,0.777,3.08670016549013e-113,"Tmem14c-201",3.08670016549013e-113,"Down"
3.29668530856074e-115,-2.42392562078525,0.091,0.624,2.53363452704127e-110,"Ccnd3-205",2.53363452704127e-110,"Down"
8.76444823325815e-115,2.71974264115379,0.715,0.465,6.73582904518822e-110,"Mkrn1-201",6.73582904518822e-110,"Up"
1.0937265746591e-114,2.02790761488757,0.808,0.646,8.40572621688501e-110,"Sqstm1-202",8.40572621688501e-110,"Up"
2.98105060478301e-111,-2.35124820165505,0.146,0.669,2.29105663179994e-106,"Anapc5-212",2.29105663179994e-106,"Down"
3.04022436927435e-110,-2.46699984334827,0.086,0.605,2.33653403676211e-105,"Ccnd3-202",2.33653403676211e-105,"Down"
5.69777561394791e-110,-2.45463034026943,0.088,0.606,4.37896847034353e-105,"Ccnd3-218",4.37896847034353e-105,"Down"
5.77343902238959e-110,-2.45433800233822,0.088,0.606,4.4371188262673e-105,"Ccnd3-215",4.4371188262673e-105,"Down"
3.4247257600172e-109,-2.02404433540597,0.098,0.626,2.63203873560362e-104,"Azin1-201",2.63203873560362e-104,"Down"
3.4495713640407e-109,-2.3421082746623,0.149,0.669,2.65113357611984e-104,"Anapc5-203",2.65113357611984e-104,"Down"
4.81957626519667e-108,-1.54563090748226,0.279,0.796,3.70403714285425e-103,"Tspan33-201",3.70403714285425e-103,"Down"
1.28654409424769e-107,3.223325332409,0.547,0.22,9.88760598193117e-103,"Fam220a-207",9.88760598193117e-103,"Up"
2.79898052952831e-107,2.83509450506783,0.705,0.441,2.15112849616369e-102,"Gpx4-202",2.15112849616369e-102,"Up"
4.09758699968144e-107,-1.81681668313396,0.165,0.689,3.14915951273517e-102,"Anapc5-201",3.14915951273517e-102,"Down"
6.9457414119608e-106,-2.43855709677124,0.085,0.59,5.33808010474836e-101,"Ccnd3-201",5.33808010474836e-101,"Down"
1.76795934204673e-105,-1.86050616225651,0.154,0.691,1.35874747273659e-100,"Klf1-202",1.35874747273659e-100,"Down"
2.17463598417111e-105,-1.85948270947884,0.154,0.691,1.67129473927487e-100,"Klf1-201",1.67129473927487e-100,"Down"
4.02808517769212e-104,-1.85782009298955,0.227,0.721,3.0957445824635e-99,"Tspan33-202",3.0957445824635e-99,"Down"
7.5078065161762e-104,1.83970913245473,0.848,0.796,5.77004961994206e-99,"Gpx1-201",5.77004961994206e-99,"Up"
2.73287339807972e-103,-1.3397571815744,0.474,0.88,2.10032252136019e-98,"Tubb4b-201",2.10032252136019e-98,"Down"
9.03650563588961e-102,-1.64708933650394,0.227,0.746,6.9449160414066e-97,"Wdr26-209",6.9449160414066e-97,"Down"
1.40570404060467e-101,-1.64505658220255,0.227,0.746,1.08033978336631e-96,"Wdr26-207",1.08033978336631e-96,"Down"
6.55155855157058e-101,-1.88218956954758,0.154,0.668,5.03513480922405e-96,"Csde1-206",5.03513480922405e-96,"Down"
1.53213057447953e-99,-1.28442520131386,0.414,0.864,1.1775036317105e-94,"Eif3a-201",1.1775036317105e-94,"Down"
1.09943575069248e-98,-1.7559414147441,0.168,0.684,8.44960351837196e-94,"Csde1-211",8.44960351837196e-94,"Down"
2.68027495176226e-98,-2.29756821937164,0.194,0.65,2.05989851142736e-93,"Naca-202",2.05989851142736e-93,"Down"
1.17369773610167e-97,-1.30502970767083,0.274,0.796,9.02033658103581e-93,"Gnas-202",9.02033658103581e-93,"Down"
1.68581945297239e-97,-2.29884718953131,0.083,0.57,1.2956196823874e-92,"Azin1-205",1.2956196823874e-92,"Down"
2.55236656609316e-97,-2.02345724380899,0.261,0.712,1.96159580070524e-92,"H1f3-201",1.96159580070524e-92,"Down"
2.93920199046357e-97,-1.93918430790583,0.18,0.669,2.25889429775087e-92,"Ncoa4-206",2.25889429775087e-92,"Down"
1.17862822392678e-96,-1.46975697952337,0.385,0.855,9.05822935216688e-92,"Hmgb1-201",9.05822935216688e-92,"Down"
7.54935168919694e-96,-1.14080762517937,0.544,0.944,5.80197874721541e-91,"H3f3a-205",5.80197874721541e-91,"Down"
4.07335599078261e-95,-1.04126850151628,0.565,0.926,3.13053701315607e-90,"Eef2-201",3.13053701315607e-90,"Down"
4.83343838066848e-94,2.46033731231688,0.66,0.41,3.71469073307896e-89,"Peg10-202",3.71469073307896e-89,"Up"
2.66736672012592e-93,-1.78288672265799,0.158,0.651,2.04997801908558e-88,"Sfpq-201",2.04997801908558e-88,"Down"
3.9301298290935e-93,2.59640545613676,0.602,0.342,3.02046197885152e-88,"Spc24-201",3.02046197885152e-88,"Up"
4.25274621318703e-93,-1.27443682866226,0.387,0.861,3.26840557468276e-88,"Gclm-201",3.26840557468276e-88,"Down"
7.31212362610261e-93,-3.43089710432665,0.037,0.479,5.6196594916049e-88,"Slc43a3-201",5.6196594916049e-88,"Down"
9.24652469789116e-93,-1.33449851124094,0.243,0.739,7.10632409131727e-88,"Gnas-207",7.10632409131727e-88,"Down"
1.89602389963714e-92,-2.05333063796468,0.173,0.657,1.45717020782713e-87,"Epb42-202",1.45717020782713e-87,"Down"
2.21557512720933e-92,-2.13919063666068,0.136,0.616,1.70275810826546e-87,"Ank1-213",1.70275810826546e-87,"Down"
5.70904909471591e-92,-2.03601907242732,0.098,0.572,4.38763259125297e-87,"Smc4-201",4.38763259125297e-87,"Down"
7.00621581021943e-92,-3.04855112487284,0.04,0.485,5.38455709878604e-87,"Pklr-202",5.38455709878604e-87,"Down"
