"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.55877523989244e-261,2.49434607217017,0.527,0.037,2.73506112286693e-256,"Tomm5-202",2.73506112286693e-256,"Up"
3.44462165375306e-249,2.54091080628522,0.502,0.035,2.64732952577538e-244,"Tomm5-203",2.64732952577538e-244,"Up"
9.2650312036912e-236,1.87587089716118,0.55,0.048,7.12054708128483e-231,"Tomm5-204",7.12054708128483e-231,"Up"
1.10852773312241e-234,1.96539161065935,0.502,0.038,8.51947904013895e-230,"Mrpl52-201",8.51947904013895e-230,"Up"
3.21324295265479e-229,2.78158419621486,0.458,0.032,2.46950573883331e-224,"Phgdh-201",2.46950573883331e-224,"Up"
4.14320082154398e-225,2.47911314047808,0.478,0.036,3.18421555938941e-220,"Krtcap2-201",3.18421555938941e-220,"Up"
6.02008845687693e-222,2.03441334687647,0.468,0.035,4.62667878264819e-217,"Mrpl52-204",4.62667878264819e-217,"Up"
1.42574379129965e-221,2.28398577884537,0.577,0.059,1.09574113336543e-216,"Mrap-201",1.09574113336543e-216,"Up"
6.86754417243692e-215,2.11220942130305,0.438,0.031,5.27798239828467e-210,"Mrpl52-205",5.27798239828467e-210,"Up"
4.47082417911426e-207,2.15612437752802,0.47,0.04,3.43600721461647e-202,"Cox7c-203",3.43600721461647e-202,"Up"
4.61983196292746e-206,2.35500735202378,0.441,0.034,3.55052565678827e-201,"Krtcap2-204",3.55052565678827e-201,"Up"
3.41818200219404e-205,2.62244305402438,0.752,0.14,2.62700959596621e-200,"Srm-201",2.62700959596621e-200,"Up"
2.64359610938964e-204,2.44541775347049,0.453,0.037,2.03170935391031e-199,"Krt15-201",2.03170935391031e-199,"Up"
1.37474833736059e-199,2.08990007375138,0.557,0.062,1.05654908719511e-194,"Cox5a-201",1.05654908719511e-194,"Up"
1.73400847892775e-197,3.44753997146982,0.8,0.196,1.33265487639513e-192,"Ldha-202",1.33265487639513e-192,"Up"
1.0725587498919e-194,2.10308665633195,0.629,0.082,8.24304301641924e-190,"Tomm40-201",8.24304301641924e-190,"Up"
5.5092748653763e-194,2.28555476786817,0.554,0.065,4.2340981050363e-189,"Gart-209",4.2340981050363e-189,"Up"
1.36375973167421e-192,2.17370198769072,0.559,0.067,1.0481039041809e-187,"Gart-201",1.0481039041809e-187,"Up"
1.60486305742366e-192,2.0524269521994,0.631,0.083,1.23340145415238e-187,"Tomm40-202",1.23340145415238e-187,"Up"
2.48440587386972e-192,2.06052377092566,0.384,0.026,1.90936529030384e-187,"Ndufa2-201",1.90936529030384e-187,"Up"
2.14207685063e-187,2.19838033009884,0.502,0.053,1.64627174278318e-182,"Mthfd1-201",1.64627174278318e-182,"Up"
3.42184891398816e-187,3.0306759253274,0.446,0.042,2.62982776435646e-182,"Cad-201",2.62982776435646e-182,"Up"
1.60397167154647e-186,2.22498521291295,0.567,0.07,1.23271638845033e-181,"Aen-203",1.23271638845033e-181,"Up"
1.690668774413e-185,2.27279297073305,0.55,0.068,1.29934657988736e-180,"Rragd-203",1.29934657988736e-180,"Up"
1.83025528878449e-185,2.386202668711,0.406,0.033,1.40662439964243e-180,"Pgls-205",1.40662439964243e-180,"Up"
5.32227729581006e-184,2.19280425080495,0.562,0.071,4.09038299292186e-179,"Gar1-201",4.09038299292186e-179,"Up"
1.2364466408453e-183,2.44120381541808,0.413,0.034,9.50258701355248e-179,"Cmss1-201",9.50258701355248e-179,"Up"
1.4087251753281e-183,2.37256629251456,0.809,0.193,1.08266164624666e-178,"C1qbp-201",1.08266164624666e-178,"Up"
7.16210503729124e-183,2.28120198812826,0.473,0.047,5.50436420535981e-178,"Mthfd1-206",5.50436420535981e-178,"Up"
8.07569864034053e-182,2.25000019311027,0.369,0.026,6.20649743304731e-177,"Thop1-201",6.20649743304731e-177,"Up"
2.43558163172404e-180,1.75973487161249,0.535,0.063,1.87184190724519e-175,"Wdr18-201",1.87184190724519e-175,"Up"
2.68046923266653e-179,1.51207080329419,0.374,0.027,2.06004782407353e-174,"Mrps16-201",2.06004782407353e-174,"Up"
2.92411527190327e-179,2.01446346040941,0.465,0.047,2.24729955106854e-174,"Pgls-201",2.24729955106854e-174,"Up"
3.18237604776448e-179,2.39044684425124,0.433,0.041,2.44578328774892e-174,"Pfkfb4-203",2.44578328774892e-174,"Up"
3.82116347163711e-177,2.11079804448731,0.478,0.051,2.93671697449199e-172,"Mrap-202",2.93671697449199e-172,"Up"
2.0104409693643e-176,2.20154827449403,0.693,0.126,1.54510430259524e-171,"Pfkl-201",1.54510430259524e-171,"Up"
5.75501827246187e-176,2.17301672440901,0.52,0.063,4.42296174311784e-171,"Gart-203",4.42296174311784e-171,"Up"
7.86577896553351e-174,1.88402024868382,0.547,0.07,6.04516576617112e-169,"Tma16-201",6.04516576617112e-169,"Up"
8.53407465962723e-174,1.53914779485492,0.354,0.025,6.55877773890991e-169,"Mrps16-202",6.55877773890991e-169,"Up"
4.85080890858003e-173,2.21922785446938,0.428,0.041,3.7280406786001e-168,"Spout1-206",3.7280406786001e-168,"Up"
4.64636969776124e-172,2.65326018282712,0.381,0.031,3.57092096751742e-167,"Pfkfb4-201",3.57092096751742e-167,"Up"
5.07708605043612e-172,1.96739749375462,0.458,0.048,3.90194371320218e-167,"Gtf2h3-201",3.90194371320218e-167,"Up"
1.4034557500673e-171,1.97324209398554,0.478,0.054,1.07861188215672e-166,"Prmt7-201",1.07861188215672e-166,"Up"
1.65032377630946e-167,2.04233381619704,0.527,0.067,1.26833983504487e-162,"Aen-202",1.26833983504487e-162,"Up"
2.93338547342149e-167,1.5372615279861,0.505,0.06,2.25442407174335e-162,"Nop2-201",2.25442407174335e-162,"Up"
2.80220706160126e-166,2.33475724161448,0.463,0.052,2.15360821512304e-161,"Cluh-201",2.15360821512304e-161,"Up"
8.72521437023679e-166,2.21147681858481,0.421,0.041,6.70567625210178e-161,"Pdcd11-201",6.70567625210178e-161,"Up"
1.5329665434957e-165,2.02267065142519,0.468,0.052,1.17814610733819e-160,"Thyn1-202",1.17814610733819e-160,"Up"
3.41512464105406e-165,2.10360080840628,0.381,0.033,2.62465989163569e-160,"Spout1-203",2.62465989163569e-160,"Up"
3.70658148086969e-165,1.94668478292837,0.376,0.031,2.84865613130759e-160,"Galk1-201",2.84865613130759e-160,"Up"
3.8350294816395e-165,1.81218669258423,0.47,0.053,2.94737355781922e-160,"Polr2j-201",2.94737355781922e-160,"Up"
4.10287731234839e-165,2.0629546277559,0.428,0.044,3.15322532963223e-160,"Mdk-201",3.15322532963223e-160,"Up"
1.24465759444884e-164,1.99084989441376,0.351,0.027,9.56569147637708e-160,"Nle1-201",9.56569147637708e-160,"Up"
2.28549704426829e-164,1.60812089232718,0.614,0.093,1.75649589840195e-159,"Cox8a-201",1.75649589840195e-159,"Up"
2.83402899831214e-163,1.91366297393114,0.361,0.029,2.17806464636281e-158,"Psmg1-201",2.17806464636281e-158,"Up"
8.93888231092578e-163,1.79572462913017,0.5,0.061,6.8698886112389e-158,"Bop1-201",6.8698886112389e-158,"Up"
1.62382543517186e-162,1.98930807195189,0.693,0.126,1.24797479994698e-157,"Tpi1-205",1.24797479994698e-157,"Up"
1.62382543517186e-162,1.98930807246965,0.693,0.126,1.24797479994698e-157,"Tpi1-207",1.24797479994698e-157,"Up"
9.40583325373989e-162,2.6746414811123,0.804,0.246,7.22875908882926e-157,"Vars-201",7.22875908882926e-157,"Up"
2.03282625574571e-161,1.79880681441578,0.683,0.123,1.56230829059081e-156,"Ptpmt1-201",1.56230829059081e-156,"Up"
4.08235392745672e-161,1.90241983069934,0.517,0.067,3.13745228740759e-156,"Aen-201",3.13745228740759e-156,"Up"
1.03008369857367e-160,1.72527970355319,0.522,0.068,7.91660525701811e-156,"Magoh-201",7.91660525701811e-156,"Up"
4.38732234378347e-159,1.31299558945742,0.515,0.066,3.37183271409135e-154,"Rpia-201",3.37183271409135e-154,"Up"
5.53754617180511e-159,2.65776296748826,0.344,0.027,4.2558257348791e-154,"Shmt1-201",4.2558257348791e-154,"Up"
6.66085127655702e-159,1.923850153938,0.406,0.04,5.11913064008513e-154,"Spout1-201",5.11913064008513e-154,"Up"
8.2835242303015e-159,1.92476442561382,0.54,0.077,6.36621971195592e-154,"Grhpr-201",6.36621971195592e-154,"Up"
2.29019672984952e-158,1.87974554186492,0.448,0.05,1.76010779475855e-153,"Rcl1-201",1.76010779475855e-153,"Up"
