"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,6.66074064579966,0.923,0.073,0,"Zfp791",2.42690889151105e-238,"Up"
0,5.60739468514492,0.582,0.014,0,"Pcdh15",2.42690889151105e-238,"Up"
0,7.99882219628393,0.51,0.002,0,"Plcb1",2.42690889151105e-238,"Up"
1.38112274727467e-242,2.72117026549465,0.943,0.362,2.42690889151105e-238,"Uso1",2.42690889151105e-238,"Up"
7.34189905495997e-240,3.74869190772957,0.604,0.072,1.29011850193757e-235,"Gnb1l",1.29011850193757e-235,"Up"
3.25279602778591e-235,4.36770353864675,0.946,0.479,5.7158131800254e-231,"Itga9",5.7158131800254e-231,"Up"
2.40681199473153e-224,3.16484376634453,0.594,0.072,4.22925003714224e-220,"Sprr2a2",4.22925003714224e-220,"Up"
3.50743536021325e-219,3.00157310195269,0.641,0.089,6.16326541496672e-215,"Pkhd1",6.16326541496672e-215,"Up"
1.32928249177226e-217,2.68685596111529,0.78,0.15,2.33581519454221e-213,"Taf1c",2.33581519454221e-213,"Up"
3.64301422452536e-212,2.77242316478967,0.725,0.128,6.40150459533597e-208,"Slc1a1",6.40150459533597e-208,"Up"
6.50425877788528e-211,2.76609243116397,0.809,0.197,1.14292835245e-206,"Clhc1",1.14292835245e-206,"Up"
5.06236156556791e-204,2.3302547988625,0.953,0.528,8.89558174301593e-200,"6030443J06Rik",8.89558174301593e-200,"Up"
1.21577964322654e-194,2.11168412970418,1,0.958,2.13636798907767e-190,"Peak1",2.13636798907767e-190,"Up"
6.19280759440492e-190,2.22629021567773,0.96,0.643,1.08820015048883e-185,"Btrc",1.08820015048883e-185,"Up"
6.48412543453293e-184,2.681491813135,0.631,0.105,1.13939052135613e-179,"C1qbp",1.13939052135613e-179,"Up"
5.88973616411808e-177,2.20300759345773,0.889,0.33,1.03494443875883e-172,"Dis3l2",1.03494443875883e-172,"Up"
1.87303205288776e-165,-3.1605351018312,0.094,0.895,3.29129192333436e-161,"Hbb-bs",3.29129192333436e-161,"Down"
2.07146764951633e-158,3.3995812009164,0.374,0.036,3.63998295373009e-154,"Aff2",3.63998295373009e-154,"Up"
1.63426281022987e-149,1.53768774548881,1,0.991,2.87172661013593e-145,"Zc3h7a",2.87172661013593e-145,"Up"
6.54483649509985e-148,2.23723091400835,0.696,0.164,1.15005866891895e-143,"Vars",1.15005866891895e-143,"Up"
4.28843259940177e-143,2.03366298027884,0.792,0.231,7.5356337636688e-139,"Otx2os1",7.5356337636688e-139,"Up"
6.45429405021996e-141,1.80439363746917,0.933,0.509,1.13414855050465e-136,"Ybx1",1.13414855050465e-136,"Up"
1.52199099870798e-137,2.45292418748291,0.55,0.103,2.67444258292966e-133,"Nme1",2.67444258292966e-133,"Up"
8.11743519836404e-133,1.8018850382614,0.908,0.484,1.42639571305653e-128,"Nmbr",1.42639571305653e-128,"Up"
1.44212646504376e-130,-1.50580305099565,0.812,0.964,2.53410462437489e-126,"Ucp2",2.53410462437489e-126,"Down"
1.32314178046244e-128,2.0738172517635,0.691,0.181,2.3250247366286e-124,"Tm9sf2",2.3250247366286e-124,"Up"
