"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.50157721520643e-109,-5.94353624232162,0.017,0.559,4.39962124055485e-107,"Nr6a1",4.39962124055485e-107,"Down"
8.67309916107778e-87,-5.63345206339716,0.025,0.588,2.54121805419579e-84,"Foxn2",2.54121805419579e-84,"Down"
6.43008339577986e-84,-5.83450271146272,0.014,0.441,1.8840144349635e-81,"Mlx",1.8840144349635e-81,"Down"
1.38073815880222e-75,-5.50689259293535,0.011,0.382,4.04556280529049e-73,"Zscan21",4.04556280529049e-73,"Down"
3.66836574158512e-48,-4.48160068072167,0.141,0.941,1.07483116228444e-45,"Zfp42",1.07483116228444e-45,"Down"
6.62977419940806e-44,-5.52056852145692,0.021,0.382,1.94252384042656e-41,"Zbtb17",1.94252384042656e-41,"Down"
9.72410952166373e-39,-5.26741498977283,0.02,0.353,2.84916408984747e-36,"E2f6",2.84916408984747e-36,"Down"
2.91836888485262e-36,-4.2027330887552,0.224,0.971,8.55082083261818e-34,"Sfpq",8.55082083261818e-34,"Down"
2.12126231121693e-33,-5.12068835739255,0.027,0.382,6.2152985718656e-31,"Gli3",6.2152985718656e-31,"Down"
6.32002756373622e-27,-4.89795292154452,0.064,0.529,1.85176807617471e-24,"Srebf2",1.85176807617471e-24,"Down"
9.31188600825425e-24,-4.89519707093647,0.045,0.412,2.7283826004185e-21,"Cux1",2.7283826004185e-21,"Down"
1.34839640904903e-23,1.65057918970541,0.999,0.206,3.95080147851365e-21,"Nr1d2",3.95080147851365e-21,"Up"
2.14549677664512e-23,-4.81007665891498,0.043,0.412,6.28630555557022e-21,"Hltf",6.28630555557022e-21,"Down"
2.14657096745438e-23,-1.88559614117459,1,1,6.28945293464133e-21,"Ybx1",6.28945293464133e-21,"Down"
6.52752513671079e-23,-1.55790683226065,1,1,1.91256486505626e-20,"Klf6",1.91256486505626e-20,"Down"
5.64840082095668e-22,-1.43284257571292,1,1,1.65498144054031e-19,"Junb",1.65498144054031e-19,"Down"
6.35127110551271e-22,-1.60149671904847,1,1,1.86092243391522e-19,"Hif1a",1.86092243391522e-19,"Down"
4.71721835692444e-20,-1.77724783957097,1,1,1.38214497857886e-17,"Peg3",1.38214497857886e-17,"Down"
1.03665845622723e-19,-2.3145916562641,1,1,3.03740927674578e-17,"Myc",3.03740927674578e-17,"Down"
6.24420827019078e-19,-3.25634810259136,1,1,1.8295530231659e-16,"Elf3",1.8295530231659e-16,"Down"
6.6484858414811e-18,-3.65492744456868,0.088,0.529,1.94800635155396e-15,"Mafk",1.94800635155396e-15,"Down"
7.6202965278382e-18,-2.18281873521192,1,1,2.23274688265659e-15,"Jund",2.23274688265659e-15,"Down"
1.22349378448339e-17,-2.11027465617431,1,1,3.58483678853632e-15,"Ctcf",3.58483678853632e-15,"Down"
4.18017525834638e-17,-1.56591927696925,1,1,1.22479135069549e-14,"Tfeb",1.22479135069549e-14,"Down"
4.52789810536442e-17,-2.19166379317114,1,1,1.32667414487177e-14,"Cdx2",1.32667414487177e-14,"Down"
8.54067008426451e-17,-2.8953658793104,1,1,2.5024163346895e-14,"Dlx3",2.5024163346895e-14,"Down"
1.49092031598327e-16,-1.6152024110207,1,1,4.36839652583098e-14,"Gata2",4.36839652583098e-14,"Down"
4.48340580999179e-16,-2.50258377237612,1,1,1.3136379023276e-13,"Tbp",1.3136379023276e-13,"Down"
1.43016100001641e-14,-3.25101710931465,1,0.912,4.19037173004809e-12,"Cxxc1",4.19037173004809e-12,"Down"
1.48531021429683e-14,-1.31017746377981,1,1,4.35195892788971e-12,"Bclaf1",4.35195892788971e-12,"Down"
4.73675855933037e-14,-1.86365697140684,1,1,1.3878702578838e-11,"Sox11",1.3878702578838e-11,"Down"
7.92812590268003e-14,-1.11215834580045,0.994,0.265,2.32294088948525e-11,"Srebf1",2.32294088948525e-11,"Down"
1.13906775608602e-13,-1.57564352246816,1,1,3.33746852533204e-11,"Trim28",3.33746852533204e-11,"Down"
2.6440773214064e-13,-2.75115802871172,1,1,7.74714655172074e-11,"Hmga2",7.74714655172074e-11,"Down"
2.88477512082137e-13,-1.92863743073327,1,1,8.45239110400661e-11,"Hcfc1",8.45239110400661e-11,"Down"
4.70910597366144e-13,-2.12707935266473,0.823,0.059,1.3797680502828e-10,"Stat5b",1.3797680502828e-10,"Down"
1.99516047154468e-12,-1.64951496278553,0.999,1,5.84582018162593e-10,"Sox6",5.84582018162593e-10,"Down"
4.80413177075841e-12,-1.87616160882233,1,1,1.40761060883221e-09,"Creb3l1",1.40761060883221e-09,"Down"
8.96805985522454e-12,-1.94842059740624,1,1,2.62764153758079e-09,"Egr1",2.62764153758079e-09,"Down"
8.17854435879718e-11,-3.39488748314817,0.256,0.735,2.39631349712757e-08,"Nrf1",2.39631349712757e-08,"Down"
1.58525218899475e-10,-1.65257673873396,1,1,4.6447889137546e-08,"Elf1",4.6447889137546e-08,"Down"
2.38159091356448e-10,-1.3042381666893,1,1,6.97806137674393e-08,"Tfap2c",6.97806137674393e-08,"Down"
6.04407650768797e-10,-4.0044640000011,0.925,0.824,1.77091441675258e-07,"Arntl",1.77091441675258e-07,"Down"
8.65512257467554e-10,-1.3762254380774,1,1,2.53595091437993e-07,"Zxdc",2.53595091437993e-07,"Down"
4.82898554702037e-09,-1.29965762190311,1,1,1.41489276527697e-06,"Atf3",1.41489276527697e-06,"Down"
1.79589090057115e-08,-1.76619806158012,0.999,0.382,5.26196033867346e-06,"Vdr",5.26196033867346e-06,"Down"
