"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,-11.7830423828257,0.006,0.882,0,"Hba-x-201",4.37648729435798e-242,"Down"
0,-10.7030813869447,0.005,0.647,0,"Hbb-bh1-201",4.37648729435798e-242,"Down"
5.69454718603844e-247,-11.9037356317931,0.022,0.941,4.37648729435798e-242,"Hbb-y-201",4.37648729435798e-242,"Down"
1.1078174534614e-78,-8.36437726100158,0.036,0.647,8.51402025683222e-74,"Set-201",8.51402025683222e-74,"Down"
3.61421994462042e-40,-7.0642385418197,0.038,0.471,2.77767259623858e-35,"Tcp1-209",2.77767259623858e-35,"Down"
4.80942280544919e-29,-5.67059749419755,0.086,0.588,3.69623380289992e-24,"Rhox9-201",3.69623380289992e-24,"Down"
4.28306763084356e-28,-6.44626666072688,0.071,0.529,3.29170879700851e-23,"Hnrnpab-201",3.29170879700851e-23,"Down"
1.31011811724568e-27,-6.40660828038155,0.072,0.529,1.00687817782799e-22,"Hnrnpab-202",1.00687817782799e-22,"Down"
4.52932345810947e-27,-6.31230050378544,0.074,0.529,3.48096625049545e-22,"Hnrnpab-203",3.48096625049545e-22,"Down"
4.89489504589626e-26,-6.97615924694918,0.033,0.353,3.76192263857311e-21,"Slc25a3-201",3.76192263857311e-21,"Down"
5.01659538898129e-24,-6.00712397704464,0.29,0.853,3.85545422024768e-19,"Ptma-201",3.85545422024768e-19,"Down"
4.65716859661256e-23,1.61954777755349,1,1,3.57922035324061e-18,"Hbb-bs-201",3.57922035324061e-18,"Up"
4.46754263850383e-22,-5.87768871792164,0.116,0.588,3.43348521939573e-17,"Ncl-201",3.43348521939573e-17,"Down"
6.42688497288149e-22,-7.7660409824278,0.062,0.441,4.93931817705834e-17,"Hnrnpa2b1-201",4.93931817705834e-17,"Down"
5.02265261163131e-21,-5.94768265570762,0.108,0.559,3.86010943814313e-16,"Ncl-202",3.86010943814313e-16,"Down"
3.9659559294164e-20,-6.35312717105789,0.325,0.824,3.04799576999368e-15,"Peg10-202",3.04799576999368e-15,"Down"
2.02429526585039e-19,-7.68983381400065,0.06,0.412,1.55575188361666e-14,"Hnrnpa2b1-209",1.55575188361666e-14,"Down"
2.99251148753773e-19,-6.45544905316169,0.052,0.382,2.29986477863225e-14,"Eif4a1-201",2.29986477863225e-14,"Down"
5.37228544320491e-18,-6.73879301611766,0.056,0.382,4.1288162545207e-13,"Ubxn1-204",4.1288162545207e-13,"Down"
1.32228248840157e-17,-5.84412935281678,0.088,0.471,1.01622698363614e-12,"Rhox6-201",1.01622698363614e-12,"Down"
5.3819582635337e-16,-2.78029756212393,0.744,0.912,4.13625020385619e-11,"Lars2-201",4.13625020385619e-11,"Down"
5.3819582635337e-16,-2.7802975787406,0.744,0.912,4.13625020385619e-11,"Lars2-209",4.13625020385619e-11,"Down"
1.20153648298316e-15,-6.93299059961536,0.113,0.5,9.23428848631879e-11,"Ppia-202",9.23428848631879e-11,"Down"
2.99717519830601e-15,-4.72660283463046,0.076,0.412,2.3034490269061e-10,"Eif3a-201",2.3034490269061e-10,"Down"
3.36741696639505e-15,-5.76775253946516,0.055,0.353,2.58799463535325e-10,"Ankrd17-203",2.58799463535325e-10,"Down"
3.81055899653636e-15,-5.75700281485052,0.055,0.353,2.92856701119806e-10,"Ankrd17-201",2.92856701119806e-10,"Down"
2.63479769890598e-14,4.26015972209428,0.887,0.176,2.02494742351721e-09,"Epb41-215",2.02494742351721e-09,"Up"
8.38270173440589e-14,-5.0652719862817,0.128,0.5,6.4424415909603e-09,"Ywhaz-204",6.4424415909603e-09,"Down"
8.41240181517824e-14,1.81236166946537,0.984,0.559,6.46526729103708e-09,"Hbb-bt-201",6.46526729103708e-09,"Up"
1.12883690252792e-13,-5.7408384103159,0.191,0.588,8.67556313068807e-09,"Rack1-201",8.67556313068807e-09,"Down"
4.55286363723307e-13,-4.85259198918177,0.135,0.5,3.4990578197591e-08,"Ywhaz-201",3.4990578197591e-08,"Down"
5.75023003000342e-13,-5.76468157551894,0.065,0.353,4.41928178725883e-08,"Eif4a1-204",4.41928178725883e-08,"Down"
9.98265874615337e-13,-5.30573161595535,0.322,0.735,7.67207255276871e-08,"Peg10-203",7.67207255276871e-08,"Down"
1.92882594463197e-12,2.64981115021421,0.942,0.235,1.48237989148746e-07,"Fech-208",1.48237989148746e-07,"Up"
2.10163379311042e-12,3.56587079524849,0.766,0.059,1.61518963535708e-07,"Rnf10-202",1.61518963535708e-07,"Up"
4.17980336991644e-12,-5.54158002427985,0.07,0.353,3.21234608191558e-07,"Eif4a1-213",3.21234608191558e-07,"Down"
5.08937857463515e-12,2.91386052043679,0.822,0.147,3.9113910097501e-07,"Snca-201",3.9113910097501e-07,"Up"
1.47618132499161e-11,-4.74765337148249,0.072,0.353,1.13450439550905e-06,"Nopchap1-201",1.13450439550905e-06,"Down"
1.8153363839799e-11,2.81088597876929,0.752,0.059,1.39515862454391e-06,"Afp-201",1.39515862454391e-06,"Up"
1.99594260012868e-11,3.50100390089664,0.755,0.176,1.5339617259029e-06,"Bpgm-201",1.5339617259029e-06,"Up"
4.31881009260343e-11,-6.47298997770019,0.089,0.382,3.31917830856944e-06,"Rab7-205",3.31917830856944e-06,"Down"
4.51987245790267e-11,2.61000494972565,0.831,0.176,3.47370277879652e-06,"Ftl1-203",3.47370277879652e-06,"Up"
6.46509712497342e-11,2.40786922252849,0.824,0.147,4.96868574442707e-06,"Bnip3l-201",4.96868574442707e-06,"Up"
9.96518472700745e-11,3.11019773049254,0.712,0.059,7.6586430700943e-06,"Rnf10-203",7.6586430700943e-06,"Up"
1.07089278036919e-10,2.00810027392778,0.916,0.382,8.23023937424938e-06,"Ubb-201",8.23023937424938e-06,"Up"
1.31412616188479e-10,-4.71479809631522,0.164,0.529,1.00995852045494e-05,"Tpt1-206",1.00995852045494e-05,"Down"
1.4830998080992e-10,-5.20630393801944,0.126,0.441,1.13982152651656e-05,"Calm1-202",1.13982152651656e-05,"Down"
1.85922688696466e-10,2.39587385313982,0.757,0.088,1.42889023170782e-05,"Ncoa4-202",1.42889023170782e-05,"Up"
2.32544028205982e-10,2.09864533300823,0.836,0.206,1.78719387437426e-05,"Epb41-201",1.78719387437426e-05,"Up"
2.47906435427098e-10,3.10969880830702,0.696,0.059,1.90526011883142e-05,"Rnf10-201",1.90526011883142e-05,"Up"
3.56954301332365e-10,-5.41570452247222,0.082,0.353,2.74333658745975e-05,"Sin3b-201",2.74333658745975e-05,"Down"
5.46240100362839e-10,2.39903124225866,0.787,0.176,4.19807366732856e-05,"Epb41-202",4.19807366732856e-05,"Up"
9.65217351421263e-10,2.21777485965176,0.901,0.471,7.41808143261297e-05,"Pabpc1-201",7.41808143261297e-05,"Up"
1.19462781991989e-09,-4.8322739277046,0.117,0.412,9.18119264721236e-05,"Pkm-201",9.18119264721236e-05,"Down"
1.43291211440089e-09,2.5771876618757,0.762,0.147,0.000110125027640166,"Ftl1-206",0.000110125027640166,"Up"
2.668151805576e-09,-5.61990656300067,0.105,0.382,0.000205058138865738,"Smdt1-201",0.000205058138865738,"Down"
2.97635846816529e-09,1.50380122181254,0.763,0.118,0.000228745053712375,"Ncoa4-201",0.000228745053712375,"Up"
4.09843328928827e-09,1.76870105302603,0.836,0.235,0.000314980992014961,"Epb41-208",0.000314980992014961,"Up"
6.6284008841581e-09,-4.74638213742097,0.127,0.412,0.000509419121551086,"Hnrnpu-206",0.000509419121551086,"Down"
8.25272895698522e-09,1.89747249779375,0.79,0.206,0.000634255231260142,"Epb41-203",0.000634255231260142,"Up"
9.79458786172119e-09,1.46005073845456,0.878,0.265,0.00075275325552472,"Alas2-202",0.00075275325552472,"Up"
1.6391875636623e-08,1.77265948196688,0.726,0.118,0.00125978121017703,"Cd24a-201",0.00125978121017703,"Up"
1.92773559835173e-08,1.73815848137273,0.779,0.176,0.00148154191675724,"Fech-210",0.00148154191675724,"Up"
2.56646770927839e-08,-4.57762426634789,0.135,0.412,0.00197243309328881,"Hnrnpu-201",0.00197243309328881,"Down"
3.28924533237634e-08,-4.48056017465348,0.099,0.353,0.00252791660774451,"Slc38a6-208",0.00252791660774451,"Down"
