"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,-7.68170264070639,0.022,0.897,0,"Hbb-y-201",4.69065907272609e-268,"Down"
0,-8.92490867268436,0.005,0.764,0,"Hbb-bh1-201",4.69065907272609e-268,"Down"
0,2.21718519236302,0.669,0.186,0,"Tpbpa-201",4.69065907272609e-268,"Up"
0,-7.26144731821447,0.006,0.36,0,"Hba-x-201",4.69065907272609e-268,"Down"
0,1.81461067070137,0.984,0.878,0,"Hbb-bt-201",4.69065907272609e-268,"Up"
6.10333759170127e-273,1.14230194089219,0.752,0.347,4.69065907272609e-268,"Afp-201",4.69065907272609e-268,"Up"
6.38874902597196e-210,3.57756054556565,0.358,0.048,4.91000917642049e-205,"Psg21-201",4.91000917642049e-205,"Up"
1.54785743708455e-147,1.14981038015158,0.744,0.49,1.18959035469696e-142,"Lars2-201",1.18959035469696e-142,"Up"
1.54785743708455e-147,1.14981038013549,0.744,0.49,1.18959035469696e-142,"Lars2-209",1.18959035469696e-142,"Up"
2.64700939164595e-106,-1.53973025560323,0.466,0.644,2.03433259785558e-101,"Ctla2a-201",2.03433259785558e-101,"Down"
1.01160395116564e-90,1.10152267771891,0.88,0.685,7.77458100628842e-86,"Prdx2-201",7.77458100628842e-86,"Up"
6.47914913053583e-90,1.27404222563803,0.887,0.77,4.979485272782e-85,"Epb41-215",4.979485272782e-85,"Up"
2.23016849880018e-83,-1.47932390877306,0.433,0.59,1.71397369806789e-78,"Ctla2a-209",1.71397369806789e-78,"Down"
4.99981625709849e-83,-1.4043522482444,0.432,0.589,3.84255878623047e-78,"Ctla2a-204",3.84255878623047e-78,"Down"
2.57235893914377e-82,-1.40516846520033,0.432,0.588,1.97696073908956e-77,"Ctla2a-202",1.97696073908956e-77,"Down"
1.93564873415544e-79,1.42250772053605,0.386,0.191,1.48762347814782e-74,"Col4a1-201",1.48762347814782e-74,"Up"
1.61684826554652e-77,-1.39477573121006,0.427,0.579,1.24261256600312e-72,"Ctla2a-203",1.24261256600312e-72,"Down"
6.91972789671878e-69,1.24019647155471,0.452,0.252,5.31808767774425e-64,"ENSMUST00000249663.1",5.31808767774425e-64,"Up"
2.52588826366428e-61,-1.9796257514255,0.29,0.434,1.94124616615655e-56,"Ptma-201",1.94124616615655e-56,"Down"
1.19261048042375e-49,1.4124799973556,0.478,0.318,9.16568858624866e-45,"Eif5-202",9.16568858624866e-45,"Up"
2.53736763735657e-48,1.44085221260205,0.333,0.185,1.95006852401401e-43,"Tfdp2-211",1.95006852401401e-43,"Up"
3.79108648389965e-31,-1.10143255886221,0.612,0.699,2.91360160633623e-26,"Eef1a1-201",2.91360160633623e-26,"Down"
2.74442107630201e-10,-1.07895187210715,0.326,0.363,2.10919737398115e-05,"Ctla2a-206",2.10919737398115e-05,"Down"
