"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,-14.6162836181066,0,0.735,0,"Hba-x",6.1806148257047e-307,"Down"
0,-15.511487428095,0,0.588,0,"Hbb-y",6.1806148257047e-307,"Down"
0,-10.351410212609,0.001,0.588,0,"Ncl",6.1806148257047e-307,"Down"
0,-8.85217758591375,0.003,0.588,0,"Set",6.1806148257047e-307,"Down"
0,-8.54405529055142,0.001,0.441,0,"Tcp1",6.1806148257047e-307,"Down"
3.5173086875169e-311,-10.5803971376151,0.001,0.382,6.1806148257047e-307,"Hbb-bh1",6.1806148257047e-307,"Down"
2.14748550380409e-253,-8.05862846338118,0.002,0.412,3.77356152728455e-249,"Rab7",3.77356152728455e-249,"Down"
1.72066311387386e-252,-8.16296512319592,0.004,0.5,3.02354922369916e-248,"Hnrnpab",3.02354922369916e-248,"Down"
3.41722742583258e-213,-7.32166286921497,0.003,0.412,6.004752032673e-209,"Pkm",6.004752032673e-209,"Down"
2.20538758191283e-196,-7.67529982382968,0.003,0.382,3.87530705893723e-192,"Otx2os1",3.87530705893723e-192,"Down"
7.73949618121743e-186,-6.71160938753099,0.01,0.588,1.35998426896353e-181,"Rhox9",1.35998426896353e-181,"Down"
3.86204409713062e-176,-7.05220219422175,0.024,0.824,6.78638388747793e-172,"Ptma",6.78638388747793e-172,"Down"
3.02157650381186e-167,-7.2476622877712,0.003,0.353,5.3095142324982e-163,"Slc25a3",5.3095142324982e-163,"Down"
1.37986387092675e-161,-6.99973477432761,0.003,0.353,2.42469679399249e-157,"Eef1g",2.42469679399249e-157,"Down"
6.64469363325463e-154,-5.12002900804532,0.006,0.412,1.1676055652355e-149,"Malat1",1.1676055652355e-149,"Down"
2.23132410514523e-153,-7.28213450502834,0.007,0.441,3.92088271756119e-149,"Ppia",3.92088271756119e-149,"Down"
6.81785852101455e-148,-7.32166286921497,0.007,0.441,1.19803409931268e-143,"Hnrnpa2b1",1.19803409931268e-143,"Down"
3.10742810990086e-135,-6.83623604204473,0.005,0.353,5.46037267471779e-131,"Eif4a1",5.46037267471779e-131,"Down"
2.95071825992117e-134,-6.25454867335644,0.008,0.441,5.18500212633347e-130,"Calm1",5.18500212633347e-130,"Down"
2.80504196322452e-106,-6.81916252868579,0.009,0.412,4.92901973777813e-102,"Rhox6",4.92901973777813e-102,"Down"
7.0385219826807e-103,-6.17870491537293,0.01,0.412,1.23680908279665e-98,"Peg3",1.23680908279665e-98,"Down"
1.47978084911961e-88,-5.76707401753734,0.008,0.353,2.60027090807297e-84,"Nsd3",2.60027090807297e-84,"Down"
2.95585136839742e-85,-5.76986723242902,0.024,0.559,5.19402202454794e-81,"Rack1",5.19402202454794e-81,"Down"
2.92032545769768e-78,-5.79328389686019,0.013,0.412,5.13159589426636e-74,"Ywhaz",5.13159589426636e-74,"Down"
1.92456005500552e-74,-6.29781612726061,0.01,0.353,3.38183692865569e-70,"Hnrnpu",3.38183692865569e-70,"Down"
1.32281013199259e-52,-6.63316276438541,0.062,0.676,2.32444196393739e-48,"Peg10",2.32444196393739e-48,"Down"
1.07198168211577e-47,-4.9449138546605,0.183,1,1.88368621181384e-43,"H19",1.88368621181384e-43,"Down"
4.86000318503709e-40,-3.75591097245965,0.122,0.824,8.53999759674718e-36,"Eef1a1",8.53999759674718e-36,"Down"
4.41011860676094e-38,-4.62122315107388,0.029,0.412,7.74946041580032e-34,"Krt8",7.74946041580032e-34,"Down"
7.56506380589124e-36,-4.66822063061105,0.027,0.382,1.32933301197121e-31,"Rhoa",1.32933301197121e-31,"Down"
4.82924232476867e-35,-4.38830006224527,0.048,0.5,8.48594461308351e-31,"Sqstm1",8.48594461308351e-31,"Down"
6.95856383989063e-35,-4.36879684480607,0.048,0.5,1.22275883794558e-30,"Eef2",1.22275883794558e-30,"Down"
