"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.27078903426157e-21,-1.09682055561509,0.973,1,6.6534118703864e-19,"Nfatc1",6.6534118703864e-19,"Down"
3.05942457608362e-21,-1.12949340454811,1,1,8.96411400792501e-19,"Klf4",8.96411400792501e-19,"Down"
3.26716372069495e-21,-1.92855466531266,0.811,1,9.57278970163622e-19,"Tcf21",9.57278970163622e-19,"Down"
1.92765959251207e-17,2.19693441267049,1,0.929,5.64804260606035e-15,"Tbp",5.64804260606035e-15,"Up"
2.69709958926969e-16,2.14911212600341,1,0.9,7.9025017965602e-14,"Pou2f3",7.9025017965602e-14,"Up"
1.33452272677209e-15,1.47303158635048,1,1,3.91015158944222e-13,"Tfeb",3.91015158944222e-13,"Up"
1.1461271873169e-13,2.81905669791317,0.541,0.087,3.35815265883852e-11,"Zbtb40",3.35815265883852e-11,"Up"
6.19067601707893e-13,1.66224561508554,1,0.994,1.81386807300413e-10,"E2f4",1.81386807300413e-10,"Up"
1.13347789631531e-12,1.65822975184189,1,0.994,3.32109023620387e-10,"Tfdp1",3.32109023620387e-10,"Up"
1.47375297761702e-12,1.71485408471837,1,0.997,4.31809622441788e-10,"Thap11",4.31809622441788e-10,"Up"
1.15556395289666e-11,1.46892406873158,1,1,3.38580238198723e-09,"Gata1",3.38580238198723e-09,"Up"
3.31577891533376e-11,1.45566483167475,1,1,9.71523222192792e-09,"E2f8",9.71523222192792e-09,"Up"
4.04221412653074e-10,1.57227219599357,1,1,1.18436873907351e-07,"E2f7",1.18436873907351e-07,"Up"
4.53979906940297e-10,1.21193307166545,1,1,1.33016112733507e-07,"Gata2",1.33016112733507e-07,"Up"
9.19795163948584e-10,1.39568934882026,1,1,2.69499983036935e-07,"Trim28",2.69499983036935e-07,"Up"
9.28485133488899e-10,1.29366941705873,0.973,0.884,2.72046144112248e-07,"Ctcf",2.72046144112248e-07,"Up"
1.6866596888575e-09,2.25309787659184,0.486,0.1,4.94191288835249e-07,"Plag1",4.94191288835249e-07,"Up"
2.82536286365249e-09,2.84702725145344,0.622,0.241,8.27831319050181e-07,"Hsf1",8.27831319050181e-07,"Up"
7.52565311895999e-09,1.63770004907131,1,1,2.20501636385528e-06,"Irf2",2.20501636385528e-06,"Up"
9.06867630180397e-09,2.52560514774579,0.865,0.469,2.65712215642856e-06,"Zfp64",2.65712215642856e-06,"Up"
3.21775884791974e-08,2.34115621113114,0.541,0.161,9.42803342440483e-06,"Zfp654",9.42803342440483e-06,"Up"
3.3994909261829e-08,1.63589923337122,1,0.971,9.9605084137159e-06,"Bhlhe41",9.9605084137159e-06,"Up"
1.23619100047848e-07,1.80772026906815,0.541,0.154,3.62203963140194e-05,"Zkscan6",3.62203963140194e-05,"Up"
1.87268456123887e-07,1.67800622268106,0.973,0.91,5.48696576442989e-05,"Cxxc1",5.48696576442989e-05,"Up"
3.10938353014312e-07,1.50185517173774,1,0.997,9.11049374331933e-05,"Elf3",9.11049374331933e-05,"Up"
3.5064978713518e-07,2.37887188503676,0.676,0.318,0.000102740387630608,"Cebpg",0.000102740387630608,"Up"
7.26810255596106e-07,-1.028218168236,0.135,0.582,0.000212955404889659,"Nr1d1",0.000212955404889659,"Down"
1.19127801581846e-06,1.47882958465077,0.919,0.916,0.000349044458634809,"Zfp42",0.000349044458634809,"Up"
1.26932636866203e-06,1.73243062972745,1,0.968,0.000371912626017976,"Nfe2",0.000371912626017976,"Up"
1.27864863596811e-06,1.71233167999459,1,0.942,0.000374644050338655,"Klf1",0.000374644050338655,"Up"
1.52996850292297e-06,1.42008358959371,1,0.984,0.000448280771356429,"Pou2f1",0.000448280771356429,"Up"
3.61686612886728e-06,1.64595429930819,1,0.936,0.00105974177575811,"Ilf2",0.00105974177575811,"Up"
3.79587955819393e-06,1.65351645179227,0.946,0.846,0.00111219271055082,"Thra",0.00111219271055082,"Up"
3.82078227176166e-06,1.54836800162661,1,0.942,0.00111948920562617,"Tfap2c",0.00111948920562617,"Up"
7.06254333785246e-06,1.23872252942703,1,1,0.00206932519799077,"Stat1",0.00206932519799077,"Up"
7.87837265502323e-06,1.36808605677964,1,1,0.00230836318792181,"Yy1",0.00230836318792181,"Up"
8.9265000899597e-06,1.30549186571759,1,1,0.00261546452635819,"Usf2",0.00261546452635819,"Up"
1.35567952079778e-05,1.31037190540999,1,0.99,0.00397214099593751,"Hcfc1",0.00397214099593751,"Up"
1.35691940767355e-05,2.29161811609135,0.703,0.405,0.00397577386448349,"Vdr",0.00397577386448349,"Up"
1.59214484380685e-05,1.41053110746861,0.946,0.666,0.00466498439235406,"Arid3a",0.00466498439235406,"Up"
1.72820121811647e-05,1.52553196426325,0.946,0.875,0.00506362956908127,"Zfp507",0.00506362956908127,"Up"
2.24131901821839e-05,2.30834146385421,0.568,0.289,0.00656706472337989,"Snd1",0.00656706472337989,"Up"
2.63676111951079e-05,2.07879107861663,0.73,0.434,0.00772571008016662,"Foxn2",0.00772571008016662,"Up"
2.7815878622918e-05,1.89739125599603,0.919,0.704,0.00815005243651498,"Zfp384",0.00815005243651498,"Up"
3.2620345149622e-05,1.7049690890617,0.919,0.826,0.00955776112883925,"Nrf1",0.00955776112883925,"Up"
