"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.12190545996179e-12,-2.77496853720305,0.364,0.919,2.39930922219903e-07,"Sqstm1-202",2.39930922219903e-07,"Down"
5.89668035965095e-11,-7.95489475897661,0.023,0.486,4.53183472360614e-06,"Hsd3b6-201",4.53183472360614e-06,"Down"
1.72382154549479e-10,-3.26280178458789,0.136,0.676,1.32482581057456e-05,"Set-201",1.32482581057456e-05,"Down"
4.82930158093464e-10,-2.86233667454312,0.284,0.811,3.71151143701151e-05,"Sqstm1-201",3.71151143701151e-05,"Down"
1.35685124790605e-08,-3.94276536726186,0.364,0.811,0.00104279445806572,"Prdx2-201",0.00104279445806572,"Down"
1.75444018910359e-08,-2.59127284772852,0.261,0.73,0.00134835746293368,"Ywhaz-204",0.00134835746293368,"Down"
3.4104410550286e-08,-3.1865008079649,0.25,0.73,0.00262106036843168,"Peg10-202",0.00262106036843168,"Down"
5.71085415097811e-08,-1.59179381687354,0.625,0.946,0.00438901984919272,"Ptma-201",0.00438901984919272,"Down"
6.69490459787713e-08,-3.59125493791716,0.409,0.784,0.00514530197965249,"Serpinh1-201",0.00514530197965249,"Down"
1.11408675978478e-07,-3.15422239127657,0.17,0.676,0.00856220238364998,"Tpt1-206",0.00856220238364998,"Down"
