"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.16524375935021e-63,5.0709112139274,0.83,0.158,4.73823643881101e-58,"Tpbpa-201",4.73823643881101e-58,"Up"
3.45461368524932e-52,3.83739197383801,0.352,0.013,2.65500880166151e-47,"Sparc-207",2.65500880166151e-47,"Up"
3.45461368524932e-52,3.83739197383801,0.352,0.013,2.65500880166151e-47,"Sparc-209",2.65500880166151e-47,"Up"
1.46879364243812e-50,3.74280098863669,0.33,0.011,1.12882666595939e-45,"Sparc-208",1.12882666595939e-45,"Up"
3.61021178435971e-46,6.42939236628056,0.5,0.057,2.77459216475181e-41,"Psg21-201",2.77459216475181e-41,"Up"
1.41348513075051e-42,6.29859750485546,0.398,0.034,1.086319862387e-37,"Psg23-201",1.086319862387e-37,"Up"
6.33321117919402e-41,-4.78774315057113,0.114,0.899,4.86732611965777e-36,"Bgn-201",4.86732611965777e-36,"Down"
4.41176195223895e-40,-3.33560160660131,0.216,0.951,3.39061553077373e-35,"Sparcl1-201",3.39061553077373e-35,"Down"
5.72065267476127e-39,5.86531206338695,0.455,0.056,4.39655040666103e-34,"Psg21-202",4.39655040666103e-34,"Up"
5.73091085213e-37,-3.6041270264753,0.125,0.885,4.40443422629599e-32,"Col6a1-201",4.40443422629599e-32,"Down"
1.00868383267098e-36,-5.9810905318414,0.034,0.829,7.75213872760957e-32,"Col15a1-202",7.75213872760957e-32,"Down"
1.61647351801646e-36,-6.79264864110214,0.023,0.82,1.24232455753637e-31,"Penk-201",1.24232455753637e-31,"Down"
5.62152896398566e-36,-3.51231106399375,0.784,0.984,4.32036986998154e-31,"Sparc-201",4.32036986998154e-31,"Down"
1.7295887023275e-35,-4.06562804284899,0.159,0.879,1.32925810128677e-30,"Igfbp7-201",1.32925810128677e-30,"Down"
4.34505193372897e-35,-5.6706462488837,0.034,0.81,3.33934621314806e-30,"Igfbp6-201",3.33934621314806e-30,"Down"
1.06015036381575e-34,-4.5170233591122,0.17,0.856,8.14767960606955e-30,"Col6a2-201",8.14767960606955e-30,"Down"
5.15458403485115e-34,5.62161971875772,0.409,0.053,3.9615040141445e-29,"Chchd10-201",3.9615040141445e-29,"Up"
7.56490097996548e-34,-3.72980115948783,0.159,0.882,5.81392899914267e-29,"Gsn-201",5.81392899914267e-29,"Down"
1.78828367631525e-33,5.43725640913097,0.409,0.054,1.37436753659532e-28,"Chchd10-203",1.37436753659532e-28,"Up"
