"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.42079574953785e-67,-1.34149650699896,0.979,0.994,1.09193836534982e-62,"Ftl1-201",1.09193836534982e-62,"Down"
9.39190546871958e-48,1.31134302411206,0.928,0.775,7.21805502892975e-43,"B2m-201",7.21805502892975e-43,"Up"
2.17873946852938e-47,-3.03193112534857,0.204,0.566,1.67444843114357e-42,"Alas2-201",1.67444843114357e-42,"Down"
9.50014484002544e-45,1.30963249500944,0.977,0.997,7.30124131535315e-40,"Ctla2a-201",7.30124131535315e-40,"Up"
4.06558341584705e-44,2.55374077704664,0.709,0.283,3.1245634784151e-39,"Ftl1-203",3.1245634784151e-39,"Up"
3.36256027558972e-36,5.27996029785669,0.433,0.042,2.58426207420172e-31,"Ftl1-206",2.58426207420172e-31,"Up"
4.21305618416813e-36,-1.38294693323399,0.66,0.823,3.23790219978058e-31,"Plac9-201",3.23790219978058e-31,"Down"
9.19213344225875e-35,-3.05426776777886,0.15,0.444,7.06452223571354e-30,"Alas2-202",7.06452223571354e-30,"Down"
1.33937817915368e-31,-1.00331858208173,0.975,0.987,1.02936570580677e-26,"Gpx3-201",1.02936570580677e-26,"Down"
1.47937576189082e-31,1.57028520913555,0.764,0.392,1.13695944804357e-26,"Tmsb4x-201",1.13695944804357e-26,"Up"
5.94188272623443e-31,1.28035968498558,0.883,0.518,4.56657455042021e-26,"Gapdh-202",4.56657455042021e-26,"Up"
1.5845162348219e-30,1.24275948445402,0.883,0.518,1.21776410711003e-25,"Gapdh-201",1.21776410711003e-25,"Up"
6.46839806325325e-30,-1.59083984305642,0.588,0.762,4.97122264753265e-25,"Lamb2-201",4.97122264753265e-25,"Down"
6.41523073049846e-29,1.49571594191969,0.71,0.312,4.93036142561728e-24,"Ifitm3-201",4.93036142561728e-24,"Up"
1.08803285410551e-28,1.42065913188108,0.719,0.379,8.36196769694249e-24,"Cst3-201",8.36196769694249e-24,"Up"
1.63171766104749e-28,1.61702674461333,0.598,0.18,1.25404029122144e-23,"Ifi27l2a-201",1.25404029122144e-23,"Up"
5.38112135084938e-28,-2.57610100816786,0.158,0.431,4.13560700298178e-23,"Tpbpa-201",4.13560700298178e-23,"Down"
6.10238238374009e-28,1.93862642817029,0.746,0.469,4.68992495719961e-23,"H2-K1-201",4.68992495719961e-23,"Up"
