"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.50988682620284e-16,4.91727261413564,0.955,0.216,4.41037313100363e-12,"D130009I18Rik",4.41037313100363e-12,"Up"
5.21194367160188e-16,4.92449353770288,0.955,0.297,9.15842741973882e-12,"Jarid2",9.15842741973882e-12,"Up"
6.24318100991865e-15,5.31417123697738,0.909,0.135,1.09705176706291e-10,"Tmtc2",1.09705176706291e-10,"Up"
9.43147825132094e-12,-2.68684211474037,0.273,0.838,1.65729935832212e-07,"Sqstm1",1.65729935832212e-07,"Down"
1.69712592540214e-11,2.07223269552974,1,0.757,2.98218967611663e-07,"Peak1",2.98218967611663e-07,"Up"
2.1512125707709e-11,-2.91740291392148,0.193,0.811,3.78011072935862e-07,"H19",3.78011072935862e-07,"Down"
1.04758199641933e-10,2.23522646731196,0.966,0.649,1.84081108410805e-06,"Itga9",1.84081108410805e-06,"Up"
1.42219715657047e-10,2.01179197733162,1,0.757,2.49908484352563e-06,"Zc3h7a",2.49908484352563e-06,"Up"
2.26811125910038e-10,-3.69743722997957,0.102,0.622,3.9855251044912e-06,"Hnrnpab",3.9855251044912e-06,"Down"
2.59574175930127e-10,-6.49790576645193,0,0.405,4.5612374194442e-06,"Hsd3b6",4.5612374194442e-06,"Down"
1.34258000770638e-09,-4.8614129650907,0.08,0.541,2.35918158954166e-05,"Peg10",2.35918158954166e-05,"Down"
1.99795565363955e-09,-1.47797338057417,0.727,0.946,3.51080767457543e-05,"Tpt1",3.51080767457543e-05,"Down"
3.16504515616839e-09,-2.97244427747944,0.068,0.541,5.56161734841909e-05,"Fus",5.56161734841909e-05,"Down"
5.35430453689722e-09,-6.20417456339522,0,0.351,9.40858393223579e-05,"H1f4",9.40858393223579e-05,"Down"
5.82268060752462e-09,6.24454403009731,0.636,0.054,0.000102316143635423,"Zfp791",0.000102316143635423,"Up"
1.37385877923988e-08,-3.38748177675828,0.045,0.459,0.000241414464688032,"Erp29",0.000241414464688032,"Down"
1.53434157007607e-08,-3.17597767156457,0.114,0.568,0.000269614500693767,"Set",0.000269614500693767,"Down"
4.97179113072663e-08,-2.92067062775539,0.307,0.757,0.000873643137491283,"Serpinh1",0.000873643137491283,"Down"
5.41436850372373e-08,-3.1885777083442,0.057,0.459,0.000951412833474333,"Ube2h",0.000951412833474333,"Down"
9.58379547193524e-08,3.96919026745381,0.602,0.081,0.00168406454032846,"Il31ra",0.00168406454032846,"Up"
1.17964043420206e-07,3.29139497916513,0.659,0.162,0.00207286417097986,"Dnah7b",0.00207286417097986,"Up"
1.20792865324111e-07,-3.17054378551394,0.114,0.541,0.00212257222947529,"Bhlhe40",0.00212257222947529,"Down"
1.24172004792885e-07,-3.61921206267407,0.057,0.432,0.00218195046822057,"Otx2os1",0.00218195046822057,"Down"
1.45423759625169e-07,-2.57190634789571,0.114,0.541,0.00255538630413347,"Ywhag",0.00255538630413347,"Down"
3.45422961194134e-07,-2.57190634789571,0.068,0.459,0.00606977227410332,"Ewsr1",0.00606977227410332,"Down"
3.62970945797587e-07,-1.99622166076256,0.239,0.703,0.0063781254595552,"Btrc",0.0063781254595552,"Down"
