"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.64832043037361e-58,6.03112681286096,0.364,0.011,2.89642866025251e-54,"Ftl1-ps1",2.89642866025251e-54,"Up"
1.39569329409909e-51,4.95875983552912,0.534,0.056,2.45251225639091e-47,"Rarres2",2.45251225639091e-47,"Up"
4.82694754647635e-47,5.61213130001343,0.352,0.018,8.48191222866825e-43,"Cdo1",8.48191222866825e-43,"Up"
7.36014597632906e-44,-3.3058161229334,0.307,0.968,1.29332485096054e-39,"Serpinh1",1.29332485096054e-39,"Down"
8.54594450414088e-41,4.20119819906732,0.42,0.04,1.50169336826764e-36,"Cpe",1.50169336826764e-36,"Up"
1.72966306094383e-40,-3.712149273995,0.489,0.984,3.0393639306905e-36,"Sparc",3.0393639306905e-36,"Down"
6.10130812122286e-40,-3.56221706417395,0.159,0.94,1.07212186306128e-35,"Sparcl1",1.07212186306128e-35,"Down"
4.11646068819539e-38,-5.01252709787616,0.057,0.844,7.23344472129694e-34,"Bgn",7.23344472129694e-34,"Down"
1.85155027910152e-37,-4.77340759013427,0.08,0.856,3.25354415043718e-33,"Col6a2",3.25354415043718e-33,"Down"
3.11641056087165e-37,-4.68778374854771,0.182,0.888,5.47615663756366e-33,"Col3a1",5.47615663756366e-33,"Down"
4.65226700957633e-37,-4.30594730949347,0.057,0.855,8.17496358922752e-33,"Col6a1",8.17496358922752e-33,"Down"
9.3876942247415e-36,-5.53605290024021,0.045,0.809,1.64960562917158e-31,"Igfbp7",1.64960562917158e-31,"Down"
1.52633613778714e-33,-3.42922668839978,0.125,0.839,2.68207786131956e-29,"Tgfbr2",2.68207786131956e-29,"Down"
1.72386910738313e-33,-5.93918283384801,0.011,0.777,3.02918279549363e-29,"Col15a1",3.02918279549363e-29,"Down"
1.95830058853341e-33,-3.89791579191664,0.148,0.845,3.44112579417091e-29,"Gsn",3.44112579417091e-29,"Down"
2.18699368688053e-33,-9.15375821305178,0,0.763,3.84298530658647e-29,"Penk",3.84298530658647e-29,"Down"
2.27407675911858e-32,-4.24315720617395,0.114,0.817,3.99600768112317e-28,"Col1a2",3.99600768112317e-28,"Down"
2.77612007769577e-31,-4.26179123898316,0.091,0.776,4.87819820052701e-27,"Slit3",4.87819820052701e-27,"Down"
4.6084032356241e-31,-3.07328589140169,0.148,0.822,8.09788616563868e-27,"Col5a2",8.09788616563868e-27,"Down"
7.42997331858403e-30,-4.2660601447071,0.045,0.759,1.30559491154159e-25,"Col6a3",1.30559491154159e-25,"Down"
2.72830372952173e-29,-5.69656324010557,0.011,0.697,4.79417531351558e-25,"Islr",4.79417531351558e-25,"Down"
