"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.18536162946349e-133,7.18411890968674,0.924,0.061,3.84011745529325e-129,"Zfp791",3.84011745529325e-129,"Up"
1.14062641191442e-123,4.28993860949599,0.95,0.524,2.00430873101603e-119,"Itga9",2.00430873101603e-119,"Up"
3.77124046618529e-112,2.31266639283494,0.999,0.945,6.6268237471808e-108,"Peak1",6.6268237471808e-108,"Up"
7.38186568783284e-87,1.67976555869276,1,0.994,1.29714143866599e-82,"Zc3h7a",1.29714143866599e-82,"Up"
9.319218127378e-74,3.15442967111898,0.867,0.428,1.63757300934286e-69,"Jarid2",1.63757300934286e-69,"Up"
6.1348754131038e-73,3.46316009027661,0.79,0.219,1.0780203075906e-68,"D130009I18Rik",1.0780203075906e-68,"Up"
4.14857407307055e-70,3.15085217670023,0.742,0.161,7.28987436119958e-66,"Il31ra",7.28987436119958e-66,"Up"
3.64678760730846e-47,2.35906944333571,0.665,0.215,6.40813518356242e-43,"Nmbr",6.40813518356242e-43,"Up"
7.31596699578246e-47,-1.54516593834329,0.887,0.984,1.28556172049889e-42,"Gpx3",1.28556172049889e-42,"Down"
9.8163926464004e-47,1.53803235063325,0.791,0.354,1.72493651582548e-42,"Uso1",1.72493651582548e-42,"Up"
8.17209446525229e-46,1.72834746527258,0.753,0.328,1.43600043943413e-41,"6030443J06Rik",1.43600043943413e-41,"Up"
5.99374263674809e-45,-1.06760971874227,0.909,0.974,1.05322045612937e-40,"Ftl1",1.05322045612937e-40,"Down"
5.22746127109126e-42,-2.92685369809616,0.047,0.331,9.18569494556157e-38,"Cfap77",9.18569494556157e-38,"Down"
5.36519306244923e-42,2.85266623404308,0.655,0.241,9.42771724933579e-38,"Tmtc2",9.42771724933579e-38,"Up"
9.74582635502663e-42,4.0055719896195,0.467,0.035,1.71253660710528e-37,"Mphosph8",1.71253660710528e-37,"Up"
4.84476794953498e-37,1.34953969105896,0.792,0.46,8.51322624092287e-33,"Btrc",8.51322624092287e-33,"Up"
1.43567925760892e-33,-1.58813036066581,0.332,0.662,2.5227755914704e-29,"Lamb2",2.5227755914704e-29,"Down"
2.03451872579935e-31,3.27103313284783,0.423,0.064,3.57505630497462e-27,"Tlcd4",3.57505630497462e-27,"Up"
