"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.44141019998336e-97,-1.0793208607468,1,1,7.15333188595124e-95,"Tcf7l2",7.15333188595124e-95,"Down"
1.58833298136798e-75,1.21183943582694,1,0.992,4.65381563540818e-73,"Thap11",4.65381563540818e-73,"Up"
6.11166719772359e-75,1.41901967051714,1,0.967,1.79071848893301e-72,"Tbp",1.79071848893301e-72,"Up"
1.58037501953935e-64,1.12127401075108,1,0.997,4.63049880725029e-62,"E2f4",4.63049880725029e-62,"Up"
8.77928566228392e-62,-1.39195257865858,0.721,0.985,2.57233069904919e-59,"Gata6",2.57233069904919e-59,"Down"
2.62239387491905e-59,1.30795091565774,0.996,0.957,7.68361405351282e-57,"Pou2f3",7.68361405351282e-57,"Up"
6.17174354969016e-46,1.02670256644267,0.996,0.979,1.80832086005922e-43,"Hcfc1",1.80832086005922e-43,"Up"
3.46833897632192e-45,1.21038777555973,0.955,0.802,1.01622332006232e-42,"Ctcf",1.01622332006232e-42,"Up"
5.96422355633412e-36,1.01982492930052,0.984,0.915,1.7475175020059e-33,"Cxxc1",1.7475175020059e-33,"Up"
5.27180342765634e-34,1.59342913114819,0.551,0.149,1.54463840430331e-31,"Hsf1",1.54463840430331e-31,"Up"
3.41822771010876e-29,1.68608935471621,0.575,0.208,1.00154071906187e-26,"Zbtb16",1.00154071906187e-26,"Up"
4.2041186444234e-27,-1.58615614596734,0.3,0.679,1.23180676281605e-24,"Creb3",1.23180676281605e-24,"Down"
1.18005667743995e-26,1.01953484702984,0.943,0.822,3.45756606489906e-24,"E2f2",3.45756606489906e-24,"Up"
1.36734260627407e-25,1.40538484389747,0.445,0.111,4.00631383638302e-23,"Zfp654",4.00631383638302e-23,"Up"
8.93250475417414e-25,1.83948273755588,0.526,0.195,2.61722389297302e-22,"Snd1",2.61722389297302e-22,"Up"
2.49498453717011e-24,1.61241400954639,0.656,0.327,7.31030469390843e-22,"Cebpg",7.31030469390843e-22,"Up"
5.1367809592629e-24,1.32008626375034,0.85,0.607,1.50507682106403e-21,"Zfp64",1.50507682106403e-21,"Up"
1.05337300327903e-22,1.35717553051827,0.595,0.223,3.08638289960756e-20,"Bcl11a",3.08638289960756e-20,"Up"
2.8404720693908e-22,1.47561741482911,0.603,0.265,8.32258316331503e-20,"Sp2",8.32258316331503e-20,"Up"
1.23072725022895e-21,1.09200623610376,0.923,0.764,3.60603084317081e-19,"Zfp507",3.60603084317081e-19,"Up"
7.32419640606969e-18,1.42153009576193,0.332,0.087,2.14598954697842e-15,"Zbtb40",2.14598954697842e-15,"Up"
1.10597003704418e-16,1.14265798897882,0.704,0.409,3.24049220853944e-14,"Zbtb7b",3.24049220853944e-14,"Up"
4.51166959477396e-16,1.21398188387726,0.372,0.119,1.32191919126877e-13,"Plag1",1.32191919126877e-13,"Up"
1.02565207600143e-14,1.00240537194364,0.409,0.147,3.0051605826842e-12,"Egr2",3.0051605826842e-12,"Up"
4.20230190511676e-13,1.20459954339667,0.575,0.332,1.23127445819921e-10,"Zbtb18",1.23127445819921e-10,"Up"
7.11809216182393e-11,1.03554540567217,0.591,0.417,2.08560100341441e-08,"Zbtb5",2.08560100341441e-08,"Up"
3.78066903949823e-10,1.35600998588627,0.372,0.187,1.10773602857298e-07,"Rfxank",1.10773602857298e-07,"Up"
8.62936526392857e-10,1.1534567164517,0.575,0.417,2.52840402233107e-07,"Zbtb17",2.52840402233107e-07,"Up"
2.05945359150177e-09,1.15857083973399,0.429,0.239,6.0341990231002e-07,"Bcl6",6.0341990231002e-07,"Up"
6.10389255369773e-08,1.28035730008196,0.381,0.219,1.78844051823344e-05,"Zscan21",1.78844051823344e-05,"Up"
1.14852194454672e-07,1.06910668136821,0.563,0.419,3.36516929752188e-05,"Foxn2",3.36516929752188e-05,"Up"
1.27088132253141e-06,1.06972740035501,0.49,0.355,0.000372368227501704,"Rxrb",0.000372368227501704,"Up"
