"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.6975305396395e-64,1.05868741107207,1,1,4.97376448114374e-62,"Glis1",4.97376448114374e-62,"Up"
9.71663220159307e-64,-1.5368010258919,0.909,1,2.84697323506677e-61,"Tbp",2.84697323506677e-61,"Down"
1.35830414489666e-53,1.26892558173906,1,0.992,3.97983114454722e-51,"Rarb",3.97983114454722e-51,"Up"
1.24091201836711e-50,-1.82952373847171,0.623,0.955,3.63587221381563e-48,"Ctcf",3.63587221381563e-48,"Down"
3.06144308573398e-45,1.1331385361334,1,0.874,8.97002824120057e-43,"Atf2",8.97002824120057e-43,"Up"
1.09496734110081e-42,-1.04211118589611,0.94,0.996,3.20825430942536e-40,"Hcfc1",3.20825430942536e-40,"Down"
6.92871351517714e-42,-1.1442346035124,0.958,0.996,2.0301130599469e-39,"Pou2f3",2.0301130599469e-39,"Down"
1.8094955616853e-41,1.72029018194751,0.909,0.619,5.30182199573792e-39,"Rfx2",5.30182199573792e-39,"Up"
2.64876720304519e-40,2.33433897846291,0.804,0.255,7.76088790492241e-38,"Nr1d1",7.76088790492241e-38,"Up"
4.14547884772096e-40,-1.12597124598144,0.792,0.984,1.21462530238224e-37,"Cxxc1",1.21462530238224e-37,"Down"
1.71230461936895e-35,-1.16561297921891,0.577,0.943,5.01705253475101e-33,"E2f2",5.01705253475101e-33,"Down"
1.81453369353636e-33,1.66817546995499,0.8,0.372,5.31658372206152e-31,"Patz1",5.31658372206152e-31,"Up"
1.71119283560388e-31,1.00873502222951,0.977,0.862,5.01379500831936e-29,"Pax8",5.01379500831936e-29,"Up"
1.37387916876189e-21,1.03416386780714,0.94,0.721,4.02546596447234e-19,"Gata6",4.02546596447234e-19,"Up"
2.03972491268869e-20,1.26416846437553,0.589,0.178,5.97639399417787e-18,"Zfp46",5.97639399417787e-18,"Up"
2.77169579681338e-19,-1.0252902306893,0.566,0.85,8.1210686846632e-17,"Zfp64",8.1210686846632e-17,"Down"
1.07600819876189e-18,-1.35678690553574,0.313,0.656,3.15270402237233e-16,"Cebpg",3.15270402237233e-16,"Down"
3.43800529154052e-18,1.20600463135957,0.721,0.401,1.00733555042137e-15,"Ltf",1.00733555042137e-15,"Up"
1.97651146748104e-14,-1.61729041547385,0.091,0.372,5.79117859971945e-12,"Rfxank",5.79117859971945e-12,"Down"
1.06504723891723e-13,1.51097032471859,0.566,0.3,3.12058841002749e-11,"Creb3",3.12058841002749e-11,"Up"
2.0935659851796e-12,-1.01153933230885,0.306,0.575,6.13414833657624e-10,"Zbtb17",6.13414833657624e-10,"Down"
2.98113638895585e-10,1.11713894884115,0.396,0.154,8.73472961964065e-08,"Nfe2l3",8.73472961964065e-08,"Up"
4.68057800775789e-10,-1.3337093814374,0.151,0.381,1.37140935627306e-07,"Zscan21",1.37140935627306e-07,"Down"
9.27450951778457e-10,1.32902141244266,0.374,0.154,2.71743128871088e-07,"Gtf2ird1",2.71743128871088e-07,"Up"
