"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.12484528307723e-52,1.52450258927021,1,0.966,3.29579667941629e-50,"Atf2",3.29579667941629e-50,"Up"
7.8518341407416e-42,1.70488969166899,0.991,0.764,2.30058740323729e-39,"Zfp507",2.30058740323729e-39,"Up"
4.07614717512378e-38,2.73283881045296,0.763,0.28,1.19431112231127e-35,"Patz1",1.19431112231127e-35,"Up"
7.6400597877476e-28,1.81838927317914,0.868,0.484,2.23853751781005e-25,"Nr1d1",2.23853751781005e-25,"Up"
4.16474594034613e-17,1.36378768820915,0.86,0.604,1.22027056052142e-14,"Rfx2",1.22027056052142e-14,"Up"
8.46048009476343e-12,1.6041120396669,0.702,0.409,2.47892066776568e-09,"Ebf2",2.47892066776568e-09,"Up"
2.22137891932446e-10,1.08674086892355,0.825,0.586,6.50864023362067e-08,"Ltf",6.50864023362067e-08,"Up"
9.76646204675079e-09,1.16690230305995,0.842,0.679,2.86157337969798e-06,"Erf",2.86157337969798e-06,"Up"
1.15366190201473e-08,1.04974827379737,0.86,0.674,3.38022937290316e-06,"Foxj2",3.38022937290316e-06,"Up"
1.00159118167393e-07,1.40570983317917,0.711,0.465,2.93466216230461e-05,"Hoxa10",2.93466216230461e-05,"Up"
1.49419024762923e-07,1.62009317968238,0.64,0.47,4.37797742555363e-05,"Vdr",4.37797742555363e-05,"Up"
4.1041852309312e-07,1.6157958194833,0.421,0.208,0.000120252627266284,"Zbtb16",0.000120252627266284,"Up"
9.23797072398466e-07,1.55545520775216,0.421,0.223,0.000270672542212751,"Nr1h3",0.000270672542212751,"Up"
1.09393369297237e-05,1.56366410515683,0.649,0.466,0.00320522572040904,"Nfia",0.00320522572040904,"Up"
1.79105617017425e-05,1.00267350501793,0.868,0.774,0.00524779457861056,"Klf10",0.00524779457861056,"Up"
