"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.37116056784398e-104,8.9151345951751,0.684,0.018,5.66503174281081e-99,"Sparc-207",5.66503174281081e-99,"Up"
7.37116056784398e-104,8.91513459518491,0.684,0.018,5.66503174281081e-99,"Sparc-209",5.66503174281081e-99,"Up"
7.03761812119465e-65,-2.13800218569056,0.356,0.943,5.40869103086293e-60,"Dsp-201",5.40869103086293e-60,"Down"
1.39758650434047e-62,-2.15727748546376,0.348,0.948,1.07410113204583e-57,"Loxl2-201",1.07410113204583e-57,"Down"
3.31851319523322e-62,-1.55569829680255,0.842,0.985,2.55041013106454e-57,"Lamc1-201",2.55041013106454e-57,"Down"
1.05868259475809e-60,-2.09418988965494,0.312,0.925,8.13639921375381e-56,"Epas1-201",8.13639921375381e-56,"Down"
1.31106693018705e-55,-1.61562771482996,0.858,1,1.00760737852596e-50,"Ctsl-205",1.00760737852596e-50,"Down"
6.63649833864439e-55,-1.88417387333487,0.202,0.897,5.10041443318176e-50,"Creb3l1-201",5.10041443318176e-50,"Down"
1.15638162590433e-54,-1.85932623393272,0.547,0.971,8.88725534772512e-50,"Tinagl1-203",8.88725534772512e-50,"Down"
3.9263059938932e-53,-1.54876071624692,0.664,0.989,3.01752320854668e-48,"Ccn1-201",3.01752320854668e-48,"Down"
1.16788997417e-52,-1.7025079828063,0.206,0.889,8.97570160748611e-48,"Baiap2l1-201",8.97570160748611e-48,"Down"
1.11072458851025e-51,-2.94600139233402,0.065,0.687,8.53636275253668e-47,"Palld-203",8.53636275253668e-47,"Down"
1.19794303967764e-50,-2.9111655826836,0.069,0.686,9.20667143713855e-46,"Palld-202",9.20667143713855e-46,"Down"
2.29101025641312e-50,-2.77052717078947,0.182,0.766,1.76073302246374e-45,"Cd55-205",1.76073302246374e-45,"Down"
7.95303282309389e-50,-2.12033160449255,0.19,0.818,6.11222384586058e-45,"Slco2a1-201",6.11222384586058e-45,"Down"
1.09725984638904e-49,-2.00604491968134,0.425,0.918,8.43288082343835e-45,"Itga6-201",8.43288082343835e-45,"Down"
4.43312634564669e-49,-1.53877670559158,0.741,0.985,3.4070349216833e-44,"Lamb1-201",3.4070349216833e-44,"Down"
1.14050985722115e-48,-1.75113375379191,0.425,0.959,8.76527445668743e-44,"Ubc-202",8.76527445668743e-44,"Down"
2.20055952243179e-48,-1.47993854773015,0.538,0.987,1.69121801536972e-43,"Anxa2-201",1.69121801536972e-43,"Down"
5.1769408318246e-48,-1.52106805734508,0.741,0.985,3.97868610689048e-43,"Lamb1-208",3.97868610689048e-43,"Down"
1.14451748141867e-47,1.84735741560242,0.968,0.962,8.79607465169503e-43,"Tpt1-201",8.79607465169503e-43,"Up"
9.1582364854561e-47,-1.45686563517413,0.773,0.982,7.03847106853243e-42,"Lama1-201",7.03847106853243e-42,"Down"
2.56149615304901e-46,-1.19939156788347,0.733,0.99,1.96861225346429e-41,"Eef1a1-201",1.96861225346429e-41,"Down"
3.3854158384163e-46,-2.09461752248625,0.324,0.851,2.60182748845646e-41,"Hdlbp-202",2.60182748845646e-41,"Down"
4.83694223517267e-45,-2.39298070889322,0.093,0.694,3.7173835854196e-40,"Tmem131-201",3.7173835854196e-40,"Down"
7.95321810464682e-45,-1.67670991033219,0.3,0.899,6.11236624214527e-40,"Ahnak-202",6.11236624214527e-40,"Down"
9.2535983024918e-45,-1.65967081567282,0.247,0.882,7.11176043939705e-40,"Tob1-201",7.11176043939705e-40,"Down"
9.51615118944008e-45,-1.81328106601375,0.202,0.815,7.31354283513228e-40,"Fndc3b-204",7.31354283513228e-40,"Down"
1.48430380659475e-44,-1.62195719627293,0.194,0.82,1.14074684752033e-39,"Crim1-201",1.14074684752033e-39,"Down"
1.98698292202128e-44,-2.25530030926775,0.097,0.697,1.52707585489023e-39,"Tmem131-208",1.52707585489023e-39,"Down"
3.02526165978807e-44,-1.61301110407345,0.296,0.854,2.32503459601352e-39,"Ddx5-201",2.32503459601352e-39,"Down"
7.25139956224345e-44,-2.19306523797542,0.17,0.769,5.57299061956658e-39,"Plet1-201",5.57299061956658e-39,"Down"
9.12304164528009e-44,-2.5922608954188,0.093,0.679,7.01142242606356e-39,"Rarres1-201",7.01142242606356e-39,"Down"
1.03537186095926e-43,-2.43806193426412,0.113,0.696,7.95724690021631e-39,"Huwe1-201",7.95724690021631e-39,"Down"
1.44340032907809e-43,-1.57651396176772,0.49,0.943,1.10931088890968e-38,"Thbs1-201",1.10931088890968e-38,"Down"
3.804988718257e-43,-3.86302216264626,0.036,0.581,2.92428602952924e-38,"Myof-211",2.92428602952924e-38,"Down"
4.91024735130821e-43,-1.70858146111553,0.275,0.851,3.77372149937441e-38,"Adamts9-201",3.77372149937441e-38,"Down"
7.64575141637201e-43,-1.60948969886674,0.757,0.977,5.87606579353855e-38,"Nid1-201",5.87606579353855e-38,"Down"
4.80598194715113e-42,-3.32391340451681,0.101,0.633,3.69358936566353e-37,"Cd55-201",3.69358936566353e-37,"Down"
6.65055454997454e-42,-1.7760482374715,0.101,0.694,5.11121719383743e-37,"Maml3-202",5.11121719383743e-37,"Down"
8.42084870568616e-42,-1.89147363756108,0.15,0.736,6.47175906426804e-37,"Serpinb9b-201",6.47175906426804e-37,"Down"
8.43333770063837e-42,-1.90313495575237,0.138,0.732,6.48135735644861e-37,"Klf4-201",6.48135735644861e-37,"Down"
1.02246467178126e-41,2.26866989701465,0.794,0.71,7.85804998850769e-37,"Ftl1-ps1-202",7.85804998850769e-37,"Up"
1.89808017315225e-41,-1.9125078037767,0.34,0.859,1.45875053627443e-36,"Pakap-204",1.45875053627443e-36,"Down"
2.83398977277369e-41,-2.19217173995255,0.263,0.768,2.17803449996749e-36,"Dst-201",2.17803449996749e-36,"Down"
3.07841928146664e-41,-1.85625320711373,0.134,0.718,2.36588835457837e-36,"Ncoa4-201",2.36588835457837e-36,"Down"
3.50718177534692e-41,-3.22976315839948,0.089,0.625,2.69540948162513e-36,"Dab2-202",2.69540948162513e-36,"Down"
5.05107946609156e-41,-2.15189292902604,0.117,0.681,3.88195661287001e-36,"Lifr-203",3.88195661287001e-36,"Down"
5.11184401684974e-41,-1.68436353435238,0.19,0.786,3.9286566007097e-36,"Golga4-201",3.9286566007097e-36,"Down"
8.1040448339589e-41,-1.7207043768657,0.348,0.872,6.22828261669077e-36,"Pakap-205",6.22828261669077e-36,"Down"
2.89406821275387e-40,-1.87342590263105,0.085,0.653,2.22420718422986e-35,"Kcnk1-201",2.22420718422986e-35,"Down"
3.0692294710681e-40,-1.58121235081089,0.231,0.817,2.35882561769468e-35,"Phldb2-201",2.35882561769468e-35,"Down"
3.33474752273722e-40,-1.88794395545134,0.449,0.902,2.56288686112446e-35,"Aplp2-201",2.56288686112446e-35,"Down"
3.56812865646878e-40,-3.53000839920746,0.028,0.548,2.74224959764252e-35,"Ptpn21-201",2.74224959764252e-35,"Down"
4.59222806835141e-40,-2.34953374241637,0.101,0.661,3.5293109596508e-35,"Adam10-201",3.5293109596508e-35,"Down"
7.15606324825257e-40,-2.04071808667734,0.126,0.696,5.49972084881203e-35,"Nxf7-202",5.49972084881203e-35,"Down"
1.43052502639613e-39,-2.27348736564394,0.057,0.597,1.09941570378648e-34,"Rai14-207",1.09941570378648e-34,"Down"
2.04734763213328e-39,-2.50158519451826,0.065,0.591,1.57346854919971e-34,"Palld-204",1.57346854919971e-34,"Down"
2.31347026467946e-39,-1.88018270475413,0.142,0.692,1.77799443721675e-34,"Mbnl2-201",1.77799443721675e-34,"Down"
2.68569099208893e-39,3.26518541241826,0.733,0.563,2.06406095506003e-34,"Set-201",2.06406095506003e-34,"Up"
3.27427572658558e-39,-2.01722098285662,0.126,0.679,2.51641186691008e-34,"Utrn-201",2.51641186691008e-34,"Down"
3.51449091813787e-39,-2.32663881596372,0.101,0.66,2.70102685022568e-34,"Lamp2-202",2.70102685022568e-34,"Down"
4.97821548482747e-39,-1.53661460557162,0.15,0.743,3.82595772870931e-34,"Dusp10-201",3.82595772870931e-34,"Down"
5.67151180412013e-39,-2.15382382942126,0.04,0.563,4.35878368193849e-34,"Ptpn21-202",4.35878368193849e-34,"Down"
6.59732868136359e-39,-1.59037300034288,0.146,0.723,5.07031098477517e-34,"Ncoa4-202",5.07031098477517e-34,"Down"
7.24018245425913e-39,-1.85872598933508,0.247,0.843,5.56436982339631e-34,"Lamc2-201",5.56436982339631e-34,"Down"
8.72676674174249e-39,-1.38421017134757,0.381,0.897,6.70686931169877e-34,"Hk2-201",6.70686931169877e-34,"Down"
1.11005756585526e-38,-1.41434703529958,0.421,0.936,8.531236416624e-34,"Gpx3-201",8.531236416624e-34,"Down"
1.36077094828695e-38,-1.4074974733812,0.138,0.722,1.04580690459645e-33,"Jup-201",1.04580690459645e-33,"Down"
1.63099735919795e-38,-1.77083214099951,0.138,0.712,1.25348671043799e-33,"Colgalt1-201",1.25348671043799e-33,"Down"
2.72830855922015e-38,-1.34510055087779,0.377,0.935,2.09681426010306e-33,"Flnb-201",2.09681426010306e-33,"Down"
4.08680655986076e-38,-2.21522883792786,0.166,0.691,3.14087431351539e-33,"Flt1-203",3.14087431351539e-33,"Down"
4.48683828720731e-38,-1.34883099003748,0.247,0.841,3.44831469725031e-33,"Fndc3b-201",3.44831469725031e-33,"Down"
5.5627671231838e-38,-1.68060989332172,0.101,0.663,4.27520904485168e-33,"Ckap4-201",4.27520904485168e-33,"Down"
6.79369329575975e-38,-1.47514947841502,0.279,0.835,5.2212250455232e-33,"Ctnna1-201",5.2212250455232e-33,"Down"
6.82970039956869e-38,-1.92274176779703,0.081,0.606,5.24889794508452e-33,"Ndrg1-201",5.24889794508452e-33,"Down"
1.15005878539143e-37,-1.40662750964273,0.146,0.73,8.83866178924729e-33,"Ddx3x-201",8.83866178924729e-33,"Down"
1.2136292572658e-37,-1.42847216776389,0.267,0.859,9.32722629379057e-33,"Actn4-201",9.32722629379057e-33,"Down"
1.29770805123358e-37,-1.43707575410901,0.239,0.835,9.97340545695059e-33,"Maged1-201",9.97340545695059e-33,"Down"
1.44541865228353e-37,-1.44055265201048,0.243,0.831,1.11086205102599e-32,"Fabp3-201",1.11086205102599e-32,"Down"
1.60926336657825e-37,-2.24636272957243,0.13,0.684,1.23678326775005e-32,"Nid2-201",1.23678326775005e-32,"Down"
1.89072063850627e-37,-2.03587855316325,0.405,0.838,1.45309443951761e-32,"Tinagl1-202",1.45309443951761e-32,"Down"
2.03701971288441e-37,-2.06796970225469,0.142,0.678,1.56553113014018e-32,"Glul-201",1.56553113014018e-32,"Down"
2.90425298383813e-37,-1.06544585556275,0.15,0.74,2.23203458819895e-32,"Tnfrsf12a-201",2.23203458819895e-32,"Down"
3.32528033867876e-37,-2.01605883661276,0.061,0.586,2.55561095148818e-32,"Rai14-202",2.55561095148818e-32,"Down"
3.45062750530181e-37,-1.9813198298344,0.089,0.637,2.65194526292465e-32,"Fut8-201",2.65194526292465e-32,"Down"
3.50114957514472e-37,-1.46513024718061,0.142,0.718,2.69077349448172e-32,"Utp14b-201",2.69077349448172e-32,"Down"
4.0090407172121e-37,-2.63359079680465,0.045,0.553,3.08110815280618e-32,"Shroom3-201",3.08110815280618e-32,"Down"
4.07865886770258e-37,-1.73366883211893,0.324,0.815,3.13461248618414e-32,"Pakap-202",3.13461248618414e-32,"Down"
4.67547892887121e-37,-1.66851371587425,0.093,0.646,3.59329257599468e-32,"Mia3-202",3.59329257599468e-32,"Down"
5.47963092301827e-37,-2.83221629398307,0.04,0.537,4.21131554957646e-32,"Myof-201",4.21131554957646e-32,"Down"
6.80218794951165e-37,-1.80656188144677,0.421,0.863,5.22775352671768e-32,"Peg3-201",5.22775352671768e-32,"Down"
7.38693066274176e-37,-3.25466129019407,0.089,0.596,5.67715169154355e-32,"Macf1-203",5.67715169154355e-32,"Down"
7.46140025141806e-37,-1.72818583103599,0.324,0.813,5.73438454922484e-32,"Pakap-207",5.73438454922484e-32,"Down"
8.4986165305071e-37,-2.14870685962865,0.061,0.583,6.53152674835593e-32,"Capn2-201",6.53152674835593e-32,"Down"
9.50016235557106e-37,4.19841046077495,0.421,0.072,7.30125477675058e-32,"Clic4-202",7.30125477675058e-32,"Up"
1.11144621045607e-36,-1.79670806744562,0.13,0.678,8.5419087058391e-32,"Wnk1-202",8.5419087058391e-32,"Down"
1.3619305650476e-36,-1.33933899343024,0.223,0.822,1.04669811646168e-31,"Cdh5-201",1.04669811646168e-31,"Down"
1.37380061360704e-36,-1.4372707034518,0.275,0.851,1.05582072358155e-31,"Tagln2-202",1.05582072358155e-31,"Down"
1.64146841862548e-36,-1.83672753434582,0.146,0.696,1.26153413845042e-31,"Procr-201",1.26153413845042e-31,"Down"
1.71740572637122e-36,-2.03524865551844,0.057,0.571,1.31989499694534e-31,"Rai14-201",1.31989499694534e-31,"Down"
1.82640737456576e-36,-1.12568983003065,0.178,0.746,1.40366712364877e-31,"Cobll1-204",1.40366712364877e-31,"Down"
2.09387373737185e-36,-1.52989843454741,0.227,0.782,1.60922572211976e-31,"Calu-201",1.60922572211976e-31,"Down"
2.69397423794924e-36,-1.49912644344667,0.247,0.828,2.07042696083351e-31,"Krt19-201",2.07042696083351e-31,"Down"
2.72499607120586e-36,-1.71704070181154,0.162,0.722,2.09426848056455e-31,"Sptbn1-201",2.09426848056455e-31,"Down"
3.21189090992751e-36,-1.47092982387013,0.332,0.827,2.46846663991569e-31,"Pakap-206",2.46846663991569e-31,"Down"
6.18443498938703e-36,-1.68025826755658,0.239,0.818,4.75298566674351e-31,"Lamc2-203",4.75298566674351e-31,"Down"
8.4832385684269e-36,-1.64479184056716,0.101,0.642,6.51970816937881e-31,"Sec24d-201",6.51970816937881e-31,"Down"
9.47689208656322e-36,-1.7641135407368,0.081,0.614,7.2833706442073e-31,"Emp2-201",7.2833706442073e-31,"Down"
9.60333617009732e-36,-2.77813682484544,0.04,0.525,7.3805479801666e-31,"Myof-202",7.3805479801666e-31,"Down"
1.13575468619271e-35,-1.23721550766278,0.097,0.643,8.72872906526546e-31,"Itga6-203",8.72872906526546e-31,"Down"
1.17488880240225e-35,-1.51173379654303,0.283,0.81,9.02949040198229e-31,"Mfge8-201",9.02949040198229e-31,"Down"
1.18380261562456e-35,-1.78426783075973,0.105,0.645,9.09799662212098e-31,"Foxo1-201",9.09799662212098e-31,"Down"
1.45391544340862e-35,-1.91829415762613,0.154,0.689,1.11739217487726e-30,"Klf3-201",1.11739217487726e-30,"Down"
1.71108386242331e-35,-3.47789905419031,0.024,0.496,1.31503639162681e-30,"Tns4-201",1.31503639162681e-30,"Down"
2.16529860575077e-35,-1.62831953159655,0.085,0.615,1.6641185904637e-30,"Tnpo1-201",1.6641185904637e-30,"Down"
2.35196459192898e-35,-1.98731163877551,0.089,0.614,1.8075788674811e-30,"Arhgap21-213",1.8075788674811e-30,"Down"
2.42236379052873e-35,-1.95918557939733,0.069,0.581,1.86168346757295e-30,"Foxq1-201",1.86168346757295e-30,"Down"
2.63647042712241e-35,-2.22664966671759,0.101,0.614,2.02623298206065e-30,"Brd4-203",2.02623298206065e-30,"Down"
2.86703223443334e-35,-1.45719486624812,0.109,0.64,2.2034289534514e-30,"Cd151-202",2.2034289534514e-30,"Down"
2.91683552910645e-35,-1.19568947454783,0.389,0.923,2.24170477753947e-30,"Epcam-201",2.24170477753947e-30,"Down"
3.10519121359223e-35,-2.28697163197551,0.15,0.648,2.38646365529417e-30,"Flt1-202",2.38646365529417e-30,"Down"
3.30746836840602e-35,-1.53098472457009,0.206,0.759,2.54192173985476e-30,"Cobll1-201",2.54192173985476e-30,"Down"
3.86100575537014e-35,-2.48940828710639,0.081,0.579,2.96733736323217e-30,"Huwe1-202",2.96733736323217e-30,"Down"
5.64964269367279e-35,-1.73924778959,0.32,0.799,4.34197639579528e-30,"Pakap-211",4.34197639579528e-30,"Down"
6.39108648200711e-35,-2.33135266124305,0.045,0.534,4.91180560488175e-30,"Shroom3-203",4.91180560488175e-30,"Down"
6.4732049622568e-35,-1.58908093807149,0.162,0.712,4.97491694169284e-30,"Sptbn1-202",4.97491694169284e-30,"Down"
8.82706637189235e-35,-1.6585457567701,0.182,0.718,6.78395358945414e-30,"Cobll1-205",6.78395358945414e-30,"Down"
9.36629458501932e-35,-1.08970572459087,0.121,0.663,7.19837204037075e-30,"Gfpt1-204",7.19837204037075e-30,"Down"
9.83306688626594e-35,-1.47543480082398,0.429,0.918,7.55710522477083e-30,"Lmna-201",7.55710522477083e-30,"Down"
9.89998089792656e-35,-1.18483027866858,0.389,0.92,7.60853131929248e-30,"Epcam-204",7.60853131929248e-30,"Down"
1.50185109393435e-34,-2.40657484181796,0.061,0.556,1.15423263973231e-29,"Myo1d-201",1.15423263973231e-29,"Down"
1.57470149095918e-34,-1.71453968053912,0.17,0.705,1.21022108386177e-29,"Kank1-201",1.21022108386177e-29,"Down"
1.80773078072575e-34,-1.79246962058081,0.101,0.619,1.38931341421897e-29,"Cd151-203",1.38931341421897e-29,"Down"
2.3301647518631e-34,-1.92850605232006,0.077,0.591,1.79082481839686e-29,"Ski-201",1.79082481839686e-29,"Down"
2.69690589154507e-34,-2.97322184598658,0.032,0.501,2.07268005388805e-29,"Spock1-202",2.07268005388805e-29,"Down"
3.5590139308943e-34,-1.9193286498041,0.077,0.589,2.7352445664495e-29,"Ski-202",2.7352445664495e-29,"Down"
4.0646640868002e-34,-1.41456467253727,0.097,0.628,3.12385693726942e-29,"Tnpo1-202",3.12385693726942e-29,"Down"
5.64861214139932e-34,-1.09491074675166,0.186,0.771,4.34118437515103e-29,"Golgb1-203",4.34118437515103e-29,"Down"
5.82404192899471e-34,-1.63996804390636,0.105,0.63,4.47600918410959e-29,"P3h2-201",4.47600918410959e-29,"Down"
