"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.71541922764766e-70,4.34599869540723,0.898,0.061,1.31836829321633e-65,"Psg21-201",1.31836829321633e-65,"Up"
1.08353482573816e-64,5.27797125533346,0.804,0.016,8.32739854972804e-60,"Ctsj-202",8.32739854972804e-60,"Up"
1.26919862111308e-63,3.560577695663,0.853,0.04,9.75429908270249e-59,"Psg23-201",9.75429908270249e-59,"Up"
3.07593936674186e-62,3.85991489141455,0.819,0.036,2.36398244091579e-57,"Serpine1-201",2.36398244091579e-57,"Up"
5.01842074706845e-62,3.2277359721014,0.86,0.065,3.85685708095199e-57,"Col3a1-201",3.85685708095199e-57,"Up"
5.49674699439172e-62,3.29175969066887,0.857,0.053,4.22446993506981e-57,"Col1a1-201",4.22446993506981e-57,"Up"
1.07753975069964e-55,2.26193786653066,0.849,0.073,8.28132400002698e-51,"Col1a2-201",8.28132400002698e-51,"Up"
8.50594182164735e-55,2.65914958310947,0.804,0.049,6.53715652760886e-50,"Ceacam11-201",6.53715652760886e-50,"Up"
4.76203018515612e-54,4.2910815427276,0.713,0.02,3.65981067849989e-49,"Garre1-202",3.65981067849989e-49,"Up"
2.68723028738609e-53,3.78548434262111,0.732,0.028,2.06524396506771e-48,"Tnks-201",2.06524396506771e-48,"Up"
8.87400964929017e-53,2.85758672748521,0.804,0.089,6.82003137586547e-48,"Rc3h1-202",6.82003137586547e-48,"Up"
2.73973235824989e-51,2.92498790063903,0.891,0.247,2.10559390660937e-46,"Lamc2-201",2.10559390660937e-46,"Up"
9.9406129197568e-51,8.74200568163906,0.642,0,7.63975865334989e-46,"Psg16-204",7.63975865334989e-46,"Up"
1.0784327913568e-50,2.77815656442986,0.849,0.19,8.28818737469356e-46,"Slco2a1-201",8.28818737469356e-46,"Up"
1.80142253101644e-50,4.22397293310604,0.679,0.016,1.38446527198738e-45,"Col6a2-201",1.38446527198738e-45,"Up"
5.680070917898e-50,3.98939295840284,0.762,0.101,4.36536170324133e-45,"Cd55-201",4.36536170324133e-45,"Up"
7.17774891094014e-50,-2.56678555939359,0.894,0.968,5.51638714801393e-45,"Tpt1-201",5.51638714801393e-45,"Down"
2.10381376161417e-49,3.12377048766395,0.781,0.101,1.61686502835096e-44,"Itgav-201",1.61686502835096e-44,"Up"
5.12468123255088e-49,3.64060851564503,0.732,0.057,3.93852251446465e-44,"St3gal1-202",3.93852251446465e-44,"Up"
6.49554475740789e-49,2.5020995791332,0.796,0.077,4.99208596785826e-44,"Ski-201",4.99208596785826e-44,"Up"
1.66225779188706e-48,3.29487319350179,0.804,0.166,1.27751160337688e-43,"Flt1-203",1.27751160337688e-43,"Up"
2.07416698620673e-48,3.68831992149811,0.706,0.04,1.59408029557932e-43,"Myadm-204",1.59408029557932e-43,"Up"
2.12922845032343e-48,1.80114016711015,0.785,0.065,1.63639723321157e-43,"Psg27-201",1.63639723321157e-43,"Up"
2.31430775931072e-48,2.73577538282671,0.766,0.073,1.77863808534066e-43,"Cyp2s1-201",1.77863808534066e-43,"Up"
2.31627006134271e-48,2.37504040937354,0.732,0.045,1.78014619294432e-43,"Psg28-201",1.78014619294432e-43,"Up"
2.44710924553323e-48,2.22117898790156,0.921,0.356,1.88070133956211e-43,"Dsp-201",1.88070133956211e-43,"Up"
3.52599003553981e-48,3.26242076452382,0.706,0.036,2.70986438191377e-43,"Spp1-201",2.70986438191377e-43,"Up"
5.6231217216445e-48,2.27427008220951,0.766,0.081,4.32159396795266e-43,"Ndrg1-201",4.32159396795266e-43,"Up"
8.11127933926773e-48,2.62916879821565,0.902,0.348,6.23384262340082e-43,"Loxl2-201",6.23384262340082e-43,"Up"
1.01320285119429e-47,2.64107166652601,0.796,0.097,7.7868691925686e-43,"Tmem131-208",7.7868691925686e-43,"Up"
1.26885788762624e-47,3.44023670681439,0.634,0.008,9.75168040956268e-43,"Ceacam5-201",9.75168040956268e-43,"Up"
2.01339775373315e-47,2.91023505397835,0.668,0.024,1.54737670965408e-42,"Lgals3bp-201",1.54737670965408e-42,"Up"
2.50729888220338e-47,5.15213414310381,0.63,0.008,1.92695948292859e-42,"Prss12-201",1.92695948292859e-42,"Up"
3.62162255027918e-47,4.05072428417004,0.664,0.028,2.78336179479156e-42,"Esyt2-201",2.78336179479156e-42,"Up"
8.49539656576608e-47,2.42763306862276,0.777,0.077,6.52905207665387e-42,"Ski-202",6.52905207665387e-42,"Up"
1.10555317124548e-46,4.06943396379194,0.657,0.024,8.49661834228999e-42,"Tns4-201",8.49661834228999e-42,"Up"
1.46329748400227e-46,3.26746667827442,0.713,0.053,1.1246026483551e-41,"Zbed6-201",1.1246026483551e-41,"Up"
2.42115917894838e-46,1.89874890881239,0.804,0.085,1.86075767538899e-41,"Lyz2-201",1.86075767538899e-41,"Up"
2.57232111482116e-46,2.64180374459007,0.683,0.036,1.97693166958465e-41,"Samd8-202",1.97693166958465e-41,"Up"
2.95454702210804e-46,-2.19566975607187,0.872,0.931,2.27068756837092e-41,"Ptma-201",2.27068756837092e-41,"Down"
4.11400535404028e-46,1.77004243139765,0.774,0.069,3.16177767479412e-41,"Prl8a9-201",3.16177767479412e-41,"Up"
4.69409931168103e-46,2.76755300641341,0.804,0.138,3.60760308499934e-41,"Parm1-201",3.60760308499934e-41,"Up"
7.23873006522463e-46,-4.40243196499771,0.057,0.684,5.56325360432774e-41,"Sparc-207",5.56325360432774e-41,"Down"
7.23873006522463e-46,-4.40243196500753,0.057,0.684,5.56325360432774e-41,"Sparc-209",5.56325360432774e-41,"Down"
7.31359270827674e-46,2.31695201518664,0.796,0.097,5.620788540019e-41,"Itga6-203",5.620788540019e-41,"Up"
7.40071222432778e-46,2.26927197345879,0.751,0.065,5.68774337288487e-41,"Kdm6b-201",5.68774337288487e-41,"Up"
8.43415250927618e-46,3.66324287121513,0.645,0.02,6.48198356947912e-41,"Psg16-201",6.48198356947912e-41,"Up"
9.72539098836954e-46,8.21301626725402,0.592,0,7.47435199020153e-41,"Psg26-201",7.47435199020153e-41,"Up"
1.01901069500757e-45,2.77492876826324,0.721,0.061,7.83150479541121e-41,"Rock2-201",7.83150479541121e-41,"Up"
1.73447232417253e-45,2.4877793327698,0.668,0.032,1.33301136001956e-40,"Mga-204",1.33301136001956e-40,"Up"
1.76372685293446e-45,2.98716510374696,0.74,0.093,1.35549463555425e-40,"Hipk1-203",1.35549463555425e-40,"Up"
3.01180644521318e-45,-1.71213708520114,0.981,0.98,2.31469372540414e-40,"Ftl1-201",2.31469372540414e-40,"Down"
3.68452879384113e-45,3.40525682593297,0.63,0.016,2.83170775921866e-40,"Lnx2-201",2.83170775921866e-40,"Up"
5.00458788657832e-45,2.48222498738776,0.77,0.085,3.8462259743509e-40,"Cpd-201",3.8462259743509e-40,"Up"
5.0073800193753e-45,2.3490549447407,0.883,0.3,3.8483718400907e-40,"Ahnak-202",3.8483718400907e-40,"Up"
5.115734205642e-45,4.49152714298172,0.653,0.036,3.9316463664041e-40,"Myof-211",3.9316463664041e-40,"Up"
5.44442906059671e-45,2.74893241731618,0.645,0.024,4.184261510231e-40,"Atp13a3-201",4.184261510231e-40,"Up"
1.36276488458012e-44,4.59440021321797,0.63,0.024,1.04733932439521e-39,"Anxa1-201",1.04733932439521e-39,"Up"
1.5872857881066e-44,2.85053990398642,0.653,0.028,1.21989261959144e-39,"Abtb2-201",1.21989261959144e-39,"Up"
2.07420349565688e-44,2.29854821078783,0.826,0.138,1.59410835455214e-39,"Klf4-201",1.59410835455214e-39,"Up"
2.31789389153338e-44,6.30260652457893,0.589,0.004,1.78139417139907e-39,"Col6a1-201",1.78139417139907e-39,"Up"
2.37793502501247e-44,2.38897367558335,0.777,0.121,1.82753818412308e-39,"Lpp-201",1.82753818412308e-39,"Up"
2.80957889520093e-44,5.37002958896979,0.615,0.02,2.15927376411772e-39,"Clmn-201",2.15927376411772e-39,"Up"
2.93415301471681e-44,2.18193440643099,0.725,0.061,2.25501395793046e-39,"Cavin1-201",2.25501395793046e-39,"Up"
3.58576746310014e-44,2.51827011610784,0.672,0.04,2.75580572609098e-39,"Ptpn21-202",2.75580572609098e-39,"Up"
3.60323425280272e-44,3.14120178568357,0.638,0.024,2.769229652649e-39,"Arhgap5-204",2.769229652649e-39,"Up"
5.17241175034074e-44,2.65583414555827,0.691,0.049,3.97520532660688e-39,"Taok1-202",3.97520532660688e-39,"Up"
6.13137654918445e-44,2.04854533467911,0.736,0.065,4.71220813311022e-39,"Bmpr2-201",4.71220813311022e-39,"Up"
