"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.66202476892822e-50,-3.15961356317142,0.579,0.982,1.27733251591209e-45,"Lama1-201",1.27733251591209e-45,"Down"
3.59916480817646e-44,7.24326171545369,0.333,0.005,2.76610212167594e-39,"Apol9a-202",2.76610212167594e-39,"Up"
3.59916480817646e-44,7.24326171545369,0.333,0.005,2.76610212167594e-39,"Apol9a-201",2.76610212167594e-39,"Up"
4.13167065868256e-44,-2.54518406050533,0.754,0.985,3.1753541680239e-39,"Lamb1-201",3.1753541680239e-39,"Down"
2.38235273189008e-43,-2.52747541217445,0.754,0.985,1.8309333685668e-38,"Lamb1-208",1.8309333685668e-38,"Down"
5.27413266895602e-41,6.07781113012209,0.368,0.016,4.05338192139946e-36,"Tsc22d3-201",4.05338192139946e-36,"Up"
1.63089885561878e-38,-1.80726003113933,0.868,0.985,1.25341100649726e-33,"Lamc1-201",1.25341100649726e-33,"Down"
9.82954682873902e-38,-1.57915568304339,0.93,1,7.55439991975909e-33,"Col4a1-201",7.55439991975909e-33,"Down"
2.45086716586993e-37,-2.36580082194654,0.886,0.984,1.88358945165768e-32,"Serpinh1-201",1.88358945165768e-32,"Down"
1.22038722818548e-35,-1.46402806841322,0.833,0.982,9.37916400349666e-31,"P4hb-201",9.37916400349666e-31,"Down"
3.04459874974357e-35,5.25387176570307,0.518,0.082,2.33989592312792e-30,"Apoa1-201",2.33989592312792e-30,"Up"
3.9208500036929e-34,-1.4054296115995,0.93,0.995,3.01333006183814e-29,"Col4a2-201",3.01333006183814e-29,"Down"
1.3745543627396e-31,3.43413507439146,0.439,0.057,1.05640000993989e-26,"Cpe-201",1.05640000993989e-26,"Up"
1.56933904816601e-30,2.9781826579305,0.535,0.103,1.2060998320775e-25,"Spns2-201",1.2060998320775e-25,"Up"
6.44517863189261e-30,-1.74554898795347,0.737,0.972,4.95337758575475e-25,"Srgn-204",4.95337758575475e-25,"Down"
1.18529127560071e-29,2.99411221340205,0.509,0.088,9.10943756950167e-25,"Sfi1-201",9.10943756950167e-25,"Up"
1.85940479786727e-29,3.68902746424314,0.386,0.044,1.42902696335291e-24,"Tppp-201",1.42902696335291e-24,"Up"
5.25327528699193e-29,3.25429656678586,0.421,0.056,4.03735218906478e-24,"Scel-201",4.03735218906478e-24,"Up"
9.78993834704236e-29,3.00266142834131,0.491,0.085,7.52395921723593e-24,"Sfi1-202",7.52395921723593e-24,"Up"
1.03272791543495e-28,3.08025816722176,0.482,0.082,7.9369271212838e-24,"Sfi1-203",7.9369271212838e-24,"Up"
3.41322116002254e-28,-1.20441531369037,0.842,0.99,2.62319699032373e-23,"Pdia3-201",2.62319699032373e-23,"Down"
4.42501304309175e-28,2.67967941692254,0.544,0.115,3.40079952413773e-23,"Nr1d1-201",3.40079952413773e-23,"Up"
6.01148373403463e-28,2.70608529695815,0.509,0.103,4.62006570895497e-23,"Mlph-201",4.62006570895497e-23,"Up"
8.24863959642349e-28,3.48028967720028,0.596,0.17,6.33940947543531e-23,"Tns1-201",6.33940947543531e-23,"Up"
2.30931836875212e-27,-1.31992913043403,0.947,0.99,1.77480353912075e-22,"Ftl1-201",1.77480353912075e-22,"Down"
5.14046798216373e-27,2.95128725775215,0.342,0.036,3.95065526301211e-22,"Apol7a-203",3.95065526301211e-22,"Up"
1.17650330337705e-26,2.99425702032699,0.333,0.034,9.041898487774e-22,"Apol7a-204",9.041898487774e-22,"Up"
1.27515454772959e-26,3.16661160678627,0.482,0.09,9.80007276112098e-22,"Sfi1-216",9.80007276112098e-22,"Up"
3.18038011690609e-26,2.44590876747504,0.465,0.082,2.444249335047e-21,"Ftl1-206",2.444249335047e-21,"Up"
3.22103390266113e-26,-1.30210627606847,0.798,0.985,2.47549339555119e-21,"Lrpap1-201",2.47549339555119e-21,"Down"
8.56370422784875e-26,3.34527694189991,0.412,0.065,6.58154924727088e-21,"Unc5b-201",6.58154924727088e-21,"Up"
9.77716062092572e-26,3.30367735433114,0.588,0.177,7.51413902360625e-21,"Tns1-217",7.51413902360625e-21,"Up"
1.04663496654642e-25,4.24022991298972,0.439,0.075,8.04380837189583e-21,"Fxyd5-208",8.04380837189583e-21,"Up"
1.92639543545652e-25,2.68282266152845,0.833,0.517,1.48051194796575e-20,"Spc24-201",1.48051194796575e-20,"Up"
4.89357984519672e-25,-1.62042182322246,0.798,0.977,3.76091185422748e-20,"Nid1-201",3.76091185422748e-20,"Down"
5.23594324531284e-25,3.57397168358306,0.342,0.043,4.02403182175273e-20,"Bst1-201",4.02403182175273e-20,"Up"
8.9613991237798e-25,-1.42036044118742,0.658,0.925,6.88719368258973e-20,"Epas1-201",6.88719368258973e-20,"Down"
1.20122296793135e-24,-1.52450513815894,0.632,0.915,9.23187899773957e-20,"Txndc12-201",9.23187899773957e-20,"Down"
3.98588932955286e-24,2.94264348647078,0.439,0.08,3.06331538533455e-19,"Sfi1-218",3.06331538533455e-19,"Up"
5.37306555128608e-24,-2.00176242368425,0.491,0.84,4.1294157987854e-19,"Thbd-201",4.1294157987854e-19,"Down"
