"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.5953345795738e-81,-2.10958867971055,0.846,0.992,6.31772192322707e-77,"Lamc1",6.31772192322707e-77,"Down"
1.2132350621245e-71,-2.50607176355012,0.364,0.935,2.13189665116518e-67,"Dsp",2.13189665116518e-67,"Down"
2.88244056579341e-71,-1.71700444612882,0.862,0.998,5.06502456221218e-67,"Ctsl",5.06502456221218e-67,"Down"
1.19037667758668e-70,-2.64753497215282,0.279,0.892,2.09172989785531e-66,"Epas1",2.09172989785531e-66,"Down"
2.19388410769515e-70,-1.87631444747658,0.563,0.982,3.85509315404191e-66,"Anxa2",3.85509315404191e-66,"Down"
1.03169248977807e-68,-2.08452411505479,0.644,0.979,1.81289004303802e-64,"Ccn1",1.81289004303802e-64,"Down"
4.19658659386975e-67,-1.8987779498212,0.737,0.979,7.37424196274792e-63,"Lamb1",7.37424196274792e-63,"Down"
6.26611526796126e-67,-2.33966592558052,0.364,0.918,1.10108177488615e-62,"Loxl2",1.10108177488615e-62,"Down"
3.82278306927286e-66,-1.98397547489879,0.579,0.961,6.71739440932627e-62,"Tinagl1",6.71739440932627e-62,"Down"
9.37592889949336e-66,1.7787585814442,0.951,0.851,1.64753822621897e-61,"Tpt1",1.64753822621897e-61,"Up"
2.13648684986832e-64,-3.02389706179675,0.146,0.8,3.75423469258862e-60,"Flt1",3.75423469258862e-60,"Down"
9.99579016957721e-63,-1.96876117708691,0.794,0.967,1.75646024859811e-58,"Lama1",1.75646024859811e-58,"Down"
5.75984970229366e-62,-1.93187427559022,0.474,0.941,1.01212078968704e-57,"Itga6",1.01212078968704e-57,"Down"
9.35793774253561e-58,-2.63523570720238,0.182,0.794,1.64437682011836e-53,"Baiap2l1",1.64437682011836e-53,"Down"
9.48174477891071e-58,-2.17289848190419,0.344,0.871,1.66613219255019e-53,"Phldb2",1.66613219255019e-53,"Down"
9.97377915710727e-58,-2.56388741031075,0.215,0.813,1.75259247348689e-53,"Creb3l1",1.75259247348689e-53,"Down"
4.93809943317369e-57,-1.35475548097996,0.976,0.998,8.6772283239728e-53,"Col4a2",8.6772283239728e-53,"Down"
9.13243847231269e-57,-1.85213092087364,0.437,0.923,1.60475208835479e-52,"Aplp2",1.60475208835479e-52,"Down"
1.07195142531687e-55,-1.21329570896192,1,1,1.88363304456681e-51,"Col4a1",1.88363304456681e-51,"Down"
1.72811263804829e-55,-3.46221943600892,0.182,0.763,3.03663952757845e-51,"Cd55",3.03663952757845e-51,"Down"
3.00357655366983e-55,-2.14521292922516,0.283,0.838,5.27788472010862e-51,"Cobll1",5.27788472010862e-51,"Down"
2.73286142963828e-53,-2.10187459510284,0.49,0.912,4.80218410416039e-49,"Thbs1",4.80218410416039e-49,"Down"
3.80707149066285e-53,-1.79580069542952,0.457,0.91,6.68978602339276e-49,"Dst",6.68978602339276e-49,"Down"
