"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.30611189841027e-69,-3.18226397258193,0.464,0.951,5.80949982788653e-65,"Tpt1",5.80949982788653e-65,"Down"
1.56803584872629e-55,4.70761915194355,0.838,0.162,2.75535259338184e-51,"D130009I18Rik",2.75535259338184e-51,"Up"
1.65367891195583e-54,2.24139332354014,1,0.749,2.90584458408878e-50,"Peak1",2.90584458408878e-50,"Up"
4.45827981462259e-54,3.21178934402393,0.883,0.296,7.83408929025481e-50,"Lamc2",7.83408929025481e-50,"Up"
6.3058657216841e-53,-2.43003815121915,0.472,0.931,1.10806672461433e-48,"Ftl1",1.10806672461433e-48,"Down"
6.11834164663246e-52,4.67047969765653,0.845,0.227,1.07511499414626e-47,"Jarid2",1.07511499414626e-47,"Up"
2.3667485963828e-51,3.32075168281716,0.796,0.146,4.15885063356386e-47,"Flt1",4.15885063356386e-47,"Up"
5.9941967495414e-51,2.06529552316865,1,0.794,1.05330025282941e-46,"Zc3h7a",1.05330025282941e-46,"Up"
1.06528937846618e-50,-3.81419936578541,0.132,0.749,1.87192649584077e-46,"Hnrnpab",1.87192649584077e-46,"Down"
1.89525765703534e-49,2.40765974804033,0.902,0.364,3.3303467549425e-45,"Dsp",3.3303467549425e-45,"Up"
5.11499082858264e-47,3.43195088221519,0.792,0.182,8.98806188398541e-43,"Cd55",8.98806188398541e-43,"Up"
2.04135060531276e-46,2.34127155962478,0.86,0.283,3.58706128365558e-42,"Cobll1",3.58706128365558e-42,"Up"
7.49193848120461e-46,-3.40416152815997,0.143,0.745,1.31648342991727e-41,"Fth1",1.31648342991727e-41,"Down"
6.11965884138067e-45,3.20664097749645,0.766,0.15,1.07534645160741e-40,"Arhgap21",1.07534645160741e-40,"Up"
1.06200659382876e-44,2.44408774455519,0.845,0.296,1.8661579866759e-40,"Slco2a1",1.8661579866759e-40,"Up"
1.35646436815391e-43,-2.62842988355522,0.132,0.741,2.38357918772004e-39,"H19",2.38357918772004e-39,"Down"
6.68901212281138e-42,2.1681257418914,0.887,0.474,1.17539321022041e-37,"Itga6",1.17539321022041e-37,"Up"
3.00655695127023e-41,3.48634083699451,0.694,0.13,5.28312187477205e-37,"Parm1",5.28312187477205e-37,"Up"
7.55635592191677e-41,4.86247946323653,0.657,0.093,1.32780286259921e-36,"Tmtc2",1.32780286259921e-36,"Up"
8.49396530112058e-41,2.38394550930436,0.838,0.364,1.49255958271291e-36,"Loxl2",1.49255958271291e-36,"Up"
1.29140071145656e-39,2.55563096861111,0.751,0.178,2.26924933017146e-35,"Utrn",2.26924933017146e-35,"Up"
3.79708121217234e-39,2.19985284229457,0.849,0.36,6.67223110602923e-35,"Lmo7",6.67223110602923e-35,"Up"
3.83742745240128e-38,-4.29623817228813,0.053,0.571,6.74312751935952e-34,"Ftl1-ps1",6.74312751935952e-34,"Down"
1.1029305163243e-37,1.82067807968252,0.97,0.538,1.93806950328506e-33,"Itga9",1.93806950328506e-33,"Up"
2.72892169280347e-37,1.89485236493635,0.879,0.457,4.79526119859425e-33,"Dst",4.79526119859425e-33,"Up"
