"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
9.88576776934908e-123,8.06599474542871,0.965,0.052,1.73712711243002e-118,"Zfp791",1.73712711243002e-118,"Up"
7.43384439926694e-64,4.63676650553458,0.895,0.208,1.30627513783919e-59,"Jarid2",1.30627513783919e-59,"Up"
2.77235231073122e-61,4.25680082370733,0.877,0.209,4.8715774804169e-57,"D130009I18Rik",4.8715774804169e-57,"Up"
1.00209857766812e-60,4.98539114540604,0.965,0.574,1.76088762067842e-56,"Itga9",1.76088762067842e-56,"Up"
1.50083019271368e-58,2.86027139951523,1,0.956,2.63725881463648e-54,"Peak1",2.63725881463648e-54,"Up"
1.05358714768471e-54,2.36935114129455,1,0.992,1.85136333591158e-50,"Zc3h7a",1.85136333591158e-50,"Up"
1.33082240493544e-49,4.3834350263235,0.684,0.115,2.33852112995256e-45,"Tmtc2",2.33852112995256e-45,"Up"
3.13460193499513e-45,-2.45437839091101,0.605,0.979,5.50812252017344e-41,"Lamb1",5.50812252017344e-41,"Down"
6.32791038598476e-45,-2.77150602763147,0.474,0.967,1.11194041302524e-40,"Lama1",1.11194041302524e-40,"Down"
1.83123901868116e-44,3.64920746419991,0.675,0.129,3.21785320362653e-40,"Il31ra",3.21785320362653e-40,"Up"
5.31341834968418e-43,5.07925084213098,0.395,0.02,9.33673872406504e-39,"Mphosph8",9.33673872406504e-39,"Up"
3.44141902141276e-42,-2.05354437580977,0.737,0.992,6.0472615044265e-38,"Lamc1",6.0472615044265e-38,"Down"
1.4987971098534e-41,-1.86429403704629,0.816,0.992,2.63368628143439e-37,"Serpinh1",2.63368628143439e-37,"Down"
2.1851627443979e-41,-1.68926502583333,0.912,1,3.83976797445599e-37,"Col4a1",3.83976797445599e-37,"Down"
1.21470568810425e-40,-1.72680661337556,0.921,0.998,2.13448083513679e-36,"Col4a2",2.13448083513679e-36,"Down"
5.36305036330528e-38,-1.721846227442,0.719,0.977,9.42395209840003e-34,"P4hb",9.42395209840003e-34,"Down"
8.81366693878993e-37,3.55338308893224,0.491,0.062,1.54873755448417e-32,"Tlcd4",1.54873755448417e-32,"Up"
3.50060135781128e-34,3.0622426105676,0.588,0.119,6.15125670594598e-30,"Dnah7b",6.15125670594598e-30,"Up"
4.8033393341346e-33,3.66725105349052,0.395,0.039,8.44042787794131e-29,"Spns2",8.44042787794131e-29,"Up"
5.12086972672663e-33,-2.18748599930144,0.395,0.91,8.99839228380403e-29,"Rcn3",8.99839228380403e-29,"Down"
1.4969640078702e-32,-1.14167382806147,0.93,0.998,2.63046515462951e-28,"Sparc",2.63046515462951e-28,"Down"
3.45934237585492e-32,-1.45694719033252,0.746,0.972,6.07875642285226e-28,"Pdia3",6.07875642285226e-28,"Down"
1.32971350165416e-30,3.1662996512244,0.439,0.062,2.33657256510669e-26,"H2-T23",2.33657256510669e-26,"Up"
6.35265053385349e-30,-1.71980144433324,0.518,0.933,1.11628775180874e-25,"Srgn",1.11628775180874e-25,"Down"
1.8771342378703e-29,2.84045118696569,0.588,0.146,3.29850028278568e-25,"Anxa8",3.29850028278568e-25,"Up"
2.45052409271255e-29,-1.83346199840897,0.667,0.954,4.3060609357145e-25,"Nid1",4.3060609357145e-25,"Down"
6.28826779980379e-29,5.08840115847699,0.342,0.034,1.10497441778152e-24,"Apoa1",1.10497441778152e-24,"Up"
1.06660142424552e-28,3.10021046076663,0.404,0.054,1.87423202268422e-24,"Mlph",1.87423202268422e-24,"Up"
7.71082244615201e-28,-1.7435618599266,0.36,0.892,1.35494572023783e-23,"Epas1",1.35494572023783e-23,"Down"
1.12129489817381e-27,2.29315211493391,0.658,0.201,1.97033939507102e-23,"Dsg2",1.97033939507102e-23,"Up"
1.51876822107944e-26,2.91690324740357,0.43,0.07,2.66877951808079e-22,"Atf2",2.66877951808079e-22,"Up"
2.47353953597116e-25,-1.27788232229229,0.649,0.969,4.34650367260852e-21,"Lrpap1",4.34650367260852e-21,"Down"
3.40589377304664e-25,3.10214826500812,0.491,0.116,5.98483653799755e-21,"Nupr1",5.98483653799755e-21,"Up"
2.6374720469043e-24,-2.36744166467564,0.184,0.727,4.63456588082023e-20,"Thbd",4.63456588082023e-20,"Down"
1.04186245301597e-23,-2.22363994625177,0.202,0.722,1.83076070243967e-19,"Plod3",1.83076070243967e-19,"Down"
2.11813656594443e-23,-1.55455407085394,0.465,0.861,3.72198957367756e-19,"Hk2",3.72198957367756e-19,"Down"
2.674782590956e-22,-1.49402985354254,0.43,0.854,4.70012796882788e-18,"Txndc12",4.70012796882788e-18,"Down"
2.69307857064294e-22,3.06680730249941,0.439,0.097,4.73227766433378e-18,"Anxa1",4.73227766433378e-18,"Up"
1.46978937047184e-21,3.24967135964922,0.377,0.072,2.58271388179311e-17,"Ctse",2.58271388179311e-17,"Up"
3.24771096797827e-21,-1.56510543692156,0.333,0.81,5.70687771293141e-17,"Adamts9",5.70687771293141e-17,"Down"
6.95928882246268e-21,-1.05568177740585,0.816,0.949,1.22288623188314e-16,"Sqstm1",1.22288623188314e-16,"Down"
7.33002203328388e-21,2.98603944084731,0.368,0.069,1.28803147168864e-16,"Tns1",1.28803147168864e-16,"Up"
9.74777699701187e-21,-2.42288678436967,0.193,0.669,1.71287937391493e-16,"Ryr2",1.71287937391493e-16,"Down"
1.35407521473272e-20,-1.53205775473289,0.342,0.8,2.37938096732833e-16,"Fst",2.37938096732833e-16,"Down"
1.35963880261028e-20,3.56652846498916,0.36,0.069,2.38915730394678e-16,"Fn1",2.38915730394678e-16,"Up"
5.15446555992601e-20,-1.29155725918937,0.561,0.912,9.05742688190199e-16,"Thbs1",9.05742688190199e-16,"Down"
7.44154010059603e-20,-1.83816088245857,0.351,0.761,1.30762742647673e-15,"Akap12",1.30762742647673e-15,"Down"
2.40124659273562e-19,-2.11759469107417,0.202,0.663,4.21947051275503e-15,"P4ha2",4.21947051275503e-15,"Down"
3.79900053679671e-19,-1.49735207673416,0.421,0.818,6.67560374325918e-15,"Pdpn",6.67560374325918e-15,"Down"
6.1906432001763e-19,3.40465112892515,0.439,0.119,1.08781982313498e-14,"Krt7",1.08781982313498e-14,"Up"
9.26756662180696e-19,2.96165808561398,0.386,0.088,1.62849680678392e-14,"Krt20",1.62849680678392e-14,"Up"
3.53145687704378e-18,-3.09513713755559,0.07,0.522,6.20547602434134e-14,"Kcnq5",6.20547602434134e-14,"Down"
9.5589160532389e-18,2.44680060988826,0.377,0.085,1.67969272887514e-13,"Itga3",1.67969272887514e-13,"Up"
2.15574334610117e-17,-1.25285614592964,0.518,0.817,3.78807220776897e-13,"Hdlbp",3.78807220776897e-13,"Down"
2.65965606480625e-17,2.06506865464637,0.614,0.268,4.67354763707755e-13,"Cdc73",4.67354763707755e-13,"Up"
5.04372094564226e-17,-1.01142335530216,0.667,0.93,8.86282644568258e-13,"Cd63",8.86282644568258e-13,"Down"
