"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.8605667895599e-21,1.41393757765658,1,0.957,5.4514606934105e-19,"Atf2",5.4514606934105e-19,"Up"
4.07536184372701e-18,1.53153854120219,0.991,0.319,1.19408102021201e-15,"Patz1",1.19408102021201e-15,"Up"
7.89577285754698e-16,-1.24599921777307,0.991,1,2.31346144726126e-13,"Tbp",2.31346144726126e-13,"Down"
2.15314182291531e-11,1.32863838926306,0.883,0.553,6.30870554114185e-09,"Nfe2l3",6.30870554114185e-09,"Up"
2.15376673053851e-10,1.14259210916434,0.991,0.957,6.31053652047782e-08,"Ltf",6.31053652047782e-08,"Up"
6.07597531167292e-10,1.75113887818923,0.667,0.149,1.78026076632017e-07,"Creb3",1.78026076632017e-07,"Up"
1.25389101307849e-07,-1.07038581573753,0.919,1,3.67390066831998e-05,"Hinfp",3.67390066831998e-05,"Down"
1.62179715978846e-07,-1.05186101027157,0.829,1,4.75186567818019e-05,"Cxxc1",4.75186567818019e-05,"Down"
1.7687466975835e-05,-1.35819282953171,0.324,0.66,0.00518242782391965,"Usf1",0.00518242782391965,"Down"
3.36438175797716e-05,-1.03373866252612,0.595,0.936,0.00985763855087309,"Nrf1",0.00985763855087309,"Down"
