"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.60636330151976e-17,-3.82643033769661,0.333,0.851,5.84579445175e-12,"Set-201",5.84579445175e-12,"Down"
2.87707286786271e-16,4.04647926448243,0.937,0.426,2.21114558186721e-11,"Ctsb-201",2.21114558186721e-11,"Up"
1.00136377428508e-15,-3.34963205844553,0.27,0.83,7.69588115089057e-11,"Hnrnpab-203",7.69588115089057e-11,"Down"
1.55310922403221e-15,-3.29406425191303,0.279,0.83,1.19362656303772e-10,"Hnrnpab-202",1.19362656303772e-10,"Down"
1.37760800667222e-14,-9.75510891790321,0.009,0.489,1.05874685744787e-09,"Hsd3b6-201",1.05874685744787e-09,"Down"
1.7310753860662e-14,-3.02193928613503,0.324,0.83,1.33040067720732e-09,"Hnrnpab-201",1.33040067720732e-09,"Down"
1.92754600220457e-14,5.65026808092228,0.784,0.106,1.4813962045343e-09,"Cuzd1-201",1.4813962045343e-09,"Up"
2.11939351354543e-14,3.13956132947778,0.901,0.426,1.6288386909002e-09,"Ctsl-205",1.6288386909002e-09,"Up"
3.54430174722949e-14,-1.61727775865743,0.757,0.979,2.72393766481575e-09,"Ptma-201",2.72393766481575e-09,"Down"
2.43633975086578e-13,3.06459700098992,0.883,0.426,1.87242455213039e-08,"Ctsl-201",1.87242455213039e-08,"Up"
1.34906157931422e-12,3.68432686710885,0.739,0.085,1.03680778616615e-07,"Afp-201",1.03680778616615e-07,"Up"
1.44887736815276e-12,-3.4572906368058,0.288,0.766,1.11352021252012e-07,"Atp5g1-202",1.11352021252012e-07,"Down"
1.76757876180241e-12,2.86386562967652,0.91,0.553,1.35845498159563e-07,"Gpx3-201",1.35845498159563e-07,"Up"
3.28024981331002e-12,4.83559964108409,0.694,0.043,2.52100319152128e-07,"Ftl1-203",2.52100319152128e-07,"Up"
3.4259267079289e-12,-3.62387027543619,0.063,0.553,2.63296171211167e-07,"Eif3i-202",2.63296171211167e-07,"Down"
3.50293848420974e-12,-4.48480017411752,0.072,0.553,2.69214834265455e-07,"Fam220a-207",2.69214834265455e-07,"Down"
3.63081937433499e-12,11.0206428386041,0.64,0,2.79042992195142e-07,"Kap-201",2.79042992195142e-07,"Up"
9.16139632369977e-12,3.81689078581085,0.793,0.298,7.04089953061622e-07,"Hsd11b1-201",7.04089953061622e-07,"Up"
