"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.40251409782571e-21,3.75515372979563,0.766,0.235,4.15204818474297e-16,"Tpbpa-201",4.15204818474297e-16,"Up"
6.42181312474722e-14,3.65337300439911,0.414,0.046,4.93542025889323e-09,"Psg21-201",4.93542025889323e-09,"Up"
6.60413472816615e-14,-2.90251263297906,0.523,0.843,5.07554170398481e-09,"H2-K1-201",5.07554170398481e-09,"Down"
9.32688872476878e-14,3.95183195160336,0.613,0.19,7.1680870605338e-09,"Ctsj-202",7.1680870605338e-09,"Up"
9.51885022183753e-13,2.17389042277794,0.739,0.366,7.31561714949101e-08,"Afp-201",7.31561714949101e-08,"Up"
4.34483298504217e-12,5.12040019669288,0.36,0.039,3.33917794232431e-07,"Psg23-201",3.33917794232431e-07,"Up"
2.04468770400104e-11,2.65035773392609,0.541,0.157,1.57142428803296e-06,"Prl3b1-201",1.57142428803296e-06,"Up"
6.65972878008489e-11,5.48923497100542,0.342,0.046,5.11826795664644e-06,"Psg21-202",5.11826795664644e-06,"Up"
1.25472865463533e-10,-1.98993581880663,0.667,0.876,9.64309160233433e-06,"Gapdh-202",9.64309160233433e-06,"Down"
1.25472865463533e-10,-1.98993581880663,0.667,0.876,9.64309160233433e-06,"Gapdh-201",9.64309160233433e-06,"Down"
1.36685728532129e-10,-1.43838974879966,0.757,0.908,1.05048449806082e-05,"Ptma-201",1.05048449806082e-05,"Down"
4.08387224262399e-10,-1.8456304023935,0.712,0.882,3.13861917334624e-05,"B2m-201",3.13861917334624e-05,"Down"
4.60588159729848e-10,3.34300159289193,0.387,0.085,3.53980424278778e-05,"Lyz2-201",3.53980424278778e-05,"Up"
9.27610089428557e-10,-1.77634616375238,0.721,0.889,7.12905458129423e-05,"Gapdh-203",7.12905458129423e-05,"Down"
2.58155087634692e-09,-1.58920006458124,0.162,0.536,0.000198402511050766,"Ssr4-201",0.000198402511050766,"Down"
4.76632224377175e-09,4.12526498603488,0.342,0.065,0.000366310929722834,"Prl2b1-202",0.000366310929722834,"Up"
6.98587866476477e-09,2.0081289117861,0.64,0.333,0.000536892718901832,"Muc1-201",0.000536892718901832,"Up"
8.11875244876031e-09,-1.96693617012885,0.243,0.582,0.000623958600697025,"H1f4-201",0.000623958600697025,"Down"
1.70265993330687e-08,-1.54728114083547,0.099,0.431,0.00130856226514366,"Ly6a-202",0.00130856226514366,"Down"
2.27684589469411e-08,1.68444204745884,0.532,0.235,0.00174984714390821,"Col4a1-201",0.00174984714390821,"Up"
3.53253546484278e-08,1.29874869841589,1,0.948,0.00271489480615027,"Ftl1-201",0.00271489480615027,"Up"
6.53324426718844e-08,-1.29953968526572,0.108,0.438,0.005021059549105,"Ly6a-205",0.005021059549105,"Down"
6.80756988418272e-08,3.71083129284197,0.333,0.078,0.00523188975878979,"Prl8a9-201",0.00523188975878979,"Up"
7.6473314095192e-08,-3.64712991040294,0.081,0.366,0.00587728008147189,"H1f3-201",0.00587728008147189,"Down"
8.1961355600183e-08,-1.46133381787009,0.099,0.412,0.00629905802329646,"Fkbp1a-205",0.00629905802329646,"Down"
1.11852420672987e-07,-1.23478230085519,0.108,0.431,0.00859630593840176,"Ly6a-201",0.00859630593840176,"Down"
1.2408263840241e-07,1.40904594217939,0.757,0.601,0.0095362470917788,"Abcb1b-201",0.0095362470917788,"Up"
