"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.56932793767036e-23,8.40942916284485,0.991,0.043,6.27202305207436e-19,"Tmtc2",6.27202305207436e-19,"Up"
1.31954156051313e-22,7.40660311876608,0.991,0.191,2.31869843013367e-18,"Jarid2",2.31869843013367e-18,"Up"
1.68717584199194e-22,6.83163534788416,0.982,0.106,2.96470538954823e-18,"D130009I18Rik",2.96470538954823e-18,"Up"
3.96196580132575e-20,2.39978317616821,1,0.851,6.96196630608962e-16,"Peak1",6.96196630608962e-16,"Up"
3.15112290265699e-17,3.54584999396697,0.964,0.66,5.53715316454885e-13,"Itga9",5.53715316454885e-13,"Up"
5.22944421261177e-17,-3.65164061307703,0.243,0.83,9.18917937040141e-13,"Hnrnpab",9.18917937040141e-13,"Down"
5.54518920280495e-17,-3.06834654672811,0.153,0.83,9.74400646716885e-13,"Cfap77",9.74400646716885e-13,"Down"
7.40016214051103e-17,4.24164693587721,0.919,0.404,1.3003564913306e-12,"Ctsb",1.3003564913306e-12,"Up"
8.58615453744476e-17,1.93415294438261,1,0.894,1.50875907531979e-12,"Zc3h7a",1.50875907531979e-12,"Up"
3.92990665362307e-16,-2.91789891978511,0.27,0.872,6.90563197174645e-12,"Sqstm1",6.90563197174645e-12,"Down"
3.84556696920813e-15,-3.44418551317866,0.18,0.745,6.75743027829252e-11,"Set",6.75743027829252e-11,"Down"
5.17289978808097e-14,-3.26536210677961,0.117,0.681,9.08981950761587e-10,"Cox6c",9.08981950761587e-10,"Down"
6.34065054180716e-14,7.56537944080656,0.73,0.043,1.11417911320635e-09,"Zfp791",1.11417911320635e-09,"Up"
1.39600978180829e-13,-1.64118957705424,0.694,0.957,2.45306838859353e-09,"Ptma",2.45306838859353e-09,"Down"
2.41929257328516e-13,2.7983081142143,0.838,0.298,4.25118090977668e-09,"Ctsl",4.25118090977668e-09,"Up"
2.72382561709127e-13,-6.85453685878768,0,0.426,4.78630637435278e-09,"Hsd3b6",4.78630637435278e-09,"Down"
3.62226064863165e-13,4.92148485646514,0.748,0.128,6.36503641177554e-09,"Cuzd1",6.36503641177554e-09,"Up"
3.88071386552243e-13,8.08660247244983,0.676,0,6.81919040449602e-09,"Kap",6.81919040449602e-09,"Up"
6.03223490463477e-13,4.31091977071078,0.748,0.128,1.05998431744242e-08,"Dnah7b",1.05998431744242e-08,"Up"
9.23149637818217e-13,2.44631432041606,0.901,0.426,1.62215854357417e-08,"Camk1d",1.62215854357417e-08,"Up"
2.18912318776471e-12,3.56236620226936,0.766,0.191,3.84672726554015e-08,"App",3.84672726554015e-08,"Up"
2.57553698958245e-12,-3.23982701467247,0.162,0.66,4.52573359809429e-08,"Atp5g1",4.52573359809429e-08,"Down"
3.89273807853392e-12,5.02320739116132,0.694,0.085,6.8403193515998e-08,"Il31ra",6.8403193515998e-08,"Up"
2.38558321088529e-11,-3.40975201611478,0.144,0.638,4.19194681816764e-07,"Prdx2",4.19194681816764e-07,"Down"
3.12665300515794e-11,4.49352732594136,0.667,0.085,5.49415466066353e-07,"Arhgap21",5.49415466066353e-07,"Up"
4.11043766817749e-11,-2.99471451683594,0.126,0.617,7.22286107052148e-07,"Riok3",7.22286107052148e-07,"Down"
6.40985621791853e-11,-4.40975201611478,0.018,0.404,1.12633993461264e-06,"Ost4",1.12633993461264e-06,"Down"
8.12661331447498e-11,-1.46864570516835,0.667,0.936,1.42800849161954e-06,"Gapdh",1.42800849161954e-06,"Down"
1.16182879334474e-10,-2.82478951539362,0.189,0.681,2.04156555566537e-06,"Bhlhe40",2.04156555566537e-06,"Down"
1.32597071135456e-10,3.24845946663701,0.739,0.234,2.32999573399223e-06,"Hsd11b1",2.32999573399223e-06,"Up"
2.61797835093864e-10,-3.76338897072948,0.063,0.489,4.60031155826938e-06,"Sprr2f",4.60031155826938e-06,"Down"
2.69842040363644e-10,-2.94026673281356,0.072,0.511,4.74166433326995e-06,"Fus",4.74166433326995e-06,"Down"
3.35936733946005e-10,4.43965308483298,0.613,0.064,5.9030802888992e-06,"Akr1c18",5.9030802888992e-06,"Up"
3.49156607702236e-10,-2.09646283950129,0.18,0.702,6.13537991054369e-06,"Ftl1-ps1",6.13537991054369e-06,"Down"
4.67269261958157e-10,4.41552481394009,0.622,0.085,8.21085547112873e-06,"Tlcd4",8.21085547112873e-06,"Up"
4.75353750755338e-10,6.27587282361157,0.55,0,8.35291610827281e-06,"Sspn",8.35291610827281e-06,"Up"
5.63665275576968e-10,2.43336266906042,0.847,0.426,9.90472622243848e-06,"Gpx3",9.90472622243848e-06,"Up"
9.45417009253222e-10,-3.53260876390031,0.081,0.489,1.66128676865976e-05,"Gna13",1.66128676865976e-05,"Down"
1.24976113225575e-09,-3.04718193673007,0.117,0.553,2.1960802615998e-05,"Atl1",2.1960802615998e-05,"Down"
1.31504037192151e-09,-2.7517260532039,0.144,0.596,2.31078894154047e-05,"Plekhg3",2.31078894154047e-05,"Down"
2.88173910703271e-09,3.13521241667446,0.631,0.106,5.06379195887789e-05,"5330417C22Rik",5.06379195887789e-05,"Up"
3.3805894517385e-09,-2.57862892812423,0.144,0.574,5.9403717845949e-05,"Otx2os1",5.9403717845949e-05,"Down"
4.59731007535442e-09,-1.09563228832357,0.856,0.957,8.07839326441278e-05,"Tpt1",8.07839326441278e-05,"Down"
4.59770155926745e-09,-2.48375259755856,0.144,0.574,8.07908117994476e-05,"Eif3i",8.07908117994476e-05,"Down"
5.20584294961468e-09,-3.31782952667374,0.063,0.447,9.14770723106291e-05,"Ubxn1",9.14770723106291e-05,"Down"
6.09788988055435e-09,-3.02409832361703,0.063,0.447,0.000107152120981101,"H2az1",0.000107152120981101,"Down"
7.49582957865089e-09,3.79359598686498,0.55,0.043,0.000131716717356053,"Muc1",0.000131716717356053,"Up"
8.12000702383216e-09,-2.75440018750223,0.108,0.511,0.000142684763422779,"Ubr4",0.000142684763422779,"Down"
8.43540236692533e-09,-3.67278642194858,0.027,0.362,0.000148226890391612,"Grik3",0.000148226890391612,"Down"
1.26959280171715e-08,2.18113045615019,0.766,0.319,0.000223092847117737,"Abcb1b",0.000223092847117737,"Up"
1.35391694414259e-08,-3.02409832361703,0.072,0.447,0.000237910285424735,"Fau",0.000237910285424735,"Down"
1.58082008790833e-08,3.13272715328486,0.604,0.128,0.000277781705847252,"Sftpd",0.000277781705847252,"Up"
2.21109062985192e-08,-1.93316567643842,0.198,0.638,0.00038853284547758,"Cldn4",0.00038853284547758,"Down"
3.58767103393391e-08,-2.02118672819713,0.207,0.638,0.000630425554082866,"Ppp1r15a",0.000630425554082866,"Down"
4.02614904368638e-08,2.39328328171533,0.901,0.745,0.00070747490995657,"C3",0.00070747490995657,"Up"
4.34134203848832e-08,4.76766752187446,0.505,0.043,0.000762860623003168,"Mphosph8",0.000762860623003168,"Up"
8.09558715145188e-08,-2.82478951539362,0.09,0.447,0.00142255657425313,"Cdv3",0.00142255657425313,"Down"
8.36250265328174e-08,3.2064292152171,0.486,0.021,0.00146945896623467,"Afp",0.00146945896623467,"Up"
8.93411931559095e-08,-3.20330113864735,0.081,0.426,0.00156990344613564,"Txnl1",0.00156990344613564,"Down"
1.18585145328805e-07,2.78992032872158,0.622,0.191,0.00208377817371776,"Napsa",0.00208377817371776,"Up"
1.32110300103873e-07,-2.48775452811605,0.117,0.489,0.00232144219342525,"Pgam1",0.00232144219342525,"Down"
1.5081950826266e-07,-1.97679260883867,0.189,0.596,0.00265020039919146,"Ywhah",0.00265020039919146,"Down"
1.68468361064724e-07,-3.04718193673007,0.036,0.34,0.00296032604062933,"Ubap1",0.00296032604062933,"Down"
1.76436237430465e-07,2.91397832140657,0.586,0.149,0.00310033756412813,"Pigr",0.00310033756412813,"Up"
1.83816007803717e-07,-2.17271281881393,0.108,0.489,0.00323001488912691,"Mkrn1",0.00323001488912691,"Down"
2.01899099455823e-07,1.49935640474356,0.883,0.596,0.00354777097563772,"Itm2b",0.00354777097563772,"Up"
2.03331636464405e-07,-2.95603404867188,0.036,0.34,0.00357294351595252,"Ube2j2",0.00357294351595252,"Down"
2.110668609199e-07,-2.69048842368203,0.099,0.447,0.00370886688008449,"Smdt1",0.00370886688008449,"Down"
2.62813166522983e-07,4.90992010483221,0.414,0,0.00461815296214186,"Gnb1l",0.00461815296214186,"Up"
2.94218568278642e-07,3.8894560022725,0.441,0.021,0.00517000868179229,"Srd5a1",0.00517000868179229,"Up"
