"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.46463475175541e-17,-4.09161687533509,0.063,0.556,1.13596561857846e-12,"4930578N18Rik",1.13596561857846e-12,"Down"
9.19373543632382e-11,-3.13694086584458,0.063,0.418,1.61552319087082e-06,"Malrd1",1.61552319087082e-06,"Down"
8.7759603990609e-10,3.12593698906498,0.351,0.059,1.54211176132298e-05,"Prl3b1",1.54211176132298e-05,"Up"
1.88131010037366e-09,3.81548839106333,0.369,0.085,3.30583810837659e-05,"Ctsj",3.30583810837659e-05,"Up"
5.62036756711609e-09,-1.65642827555696,0.559,0.791,9.87610988893639e-05,"B2m",9.87610988893639e-05,"Down"
1.53817924701911e-08,-2.95552937823987,0.081,0.379,0.000270288857286197,"Isyna1",0.000270288857286197,"Down"
1.62476073308786e-08,1.83883887834071,0.486,0.17,0.000285502956018199,"Afp",0.000285502956018199,"Up"
6.35457526805877e-08,-1.12870074596816,0.694,0.791,0.00111662596610329,"Epcam",0.00111662596610329,"Down"
7.308383702547e-08,-3.1144568516932,0.099,0.386,0.00128422918421156,"Klk1",0.00128422918421156,"Down"
9.75793786992889e-08,1.61375192851815,0.55,0.268,0.0017146648425039,"Muc1",0.0017146648425039,"Up"
1.76893879861774e-07,-1.28754014966161,0.694,0.817,0.00310837925693109,"Ptma",0.00310837925693109,"Down"
1.8059437984635e-07,-1.36299862388241,0.423,0.686,0.00317340444266007,"Ly6e",0.00317340444266007,"Down"
2.01615928450128e-07,-2.00269159600627,0.153,0.444,0.00354279509472564,"Net1",0.00354279509472564,"Down"
3.52513935327719e-07,-2.18910472023715,0.144,0.418,0.00619437487157868,"H1f4",0.00619437487157868,"Down"
