"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.54506213524617e-25,-1.15421627537439,0.937,1,7.45703205627128e-23,"Tbp",7.45703205627128e-23,"Down"
4.31499200400495e-21,1.19806725808377,1,1,1.26429265717345e-18,"Nfib",1.26429265717345e-18,"Up"
4.54101377476556e-20,1.26329768042187,0.992,0.788,1.33051703600631e-17,"Atf2",1.33051703600631e-17,"Up"
1.13128801048219e-18,2.33397918768325,0.881,0.673,3.31467387071282e-16,"Tcf4",3.31467387071282e-16,"Up"
3.1242855508271e-16,1.39682941186451,0.817,0.462,9.1541566639234e-14,"Patz1",9.1541566639234e-14,"Up"
1.53258398003046e-15,1.07032932545045,0.992,0.942,4.49047106148925e-13,"Rbfox2",4.49047106148925e-13,"Up"
6.71244470082742e-14,1.0452111628354,1,0.952,1.96674629734243e-11,"Zeb1",1.96674629734243e-11,"Up"
1.57379264873278e-07,1.48473458111193,0.579,0.317,4.61121246078705e-05,"Zkscan6",4.61121246078705e-05,"Up"
3.0219418896522e-07,1.21208349105519,0.873,0.817,8.85428973668095e-05,"Prdm1",8.85428973668095e-05,"Up"
4.66536724827969e-06,1.30290808132344,0.524,0.26,0.00136695260374595,"Hic1",0.00136695260374595,"Up"
