"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.4179695561265e-22,1.85597799431517,1,0.863,1.29446507994506e-19,"Atf2",1.29446507994506e-19,"Up"
6.83675721212689e-21,-1.08376787813079,1,1,2.00316986315318e-18,"E2f7",2.00316986315318e-18,"Down"
3.4169093206571e-18,-1.1050037418962,1,1,1.00115443095253e-15,"Brca1",1.00115443095253e-15,"Down"
6.94269635099597e-18,-1.25557941658253,1,1,2.03421003084182e-15,"Sfpq",2.03421003084182e-15,"Down"
8.89469105035311e-17,-1.22834289519658,1,1,2.60614447775346e-14,"Pou2f3",2.60614447775346e-14,"Down"
2.04321797554123e-16,1.09138092046299,0.932,0.392,5.98662866833581e-14,"Tcf21",5.98662866833581e-14,"Up"
3.34601241367524e-15,-1.10128552349991,0.989,1,9.80381637206847e-13,"Hcfc1",9.80381637206847e-13,"Down"
3.91511248755845e-15,-1.10213840647953,1,1,1.14712795885463e-12,"Tfap2c",1.14712795885463e-12,"Down"
7.34415915733022e-15,1.54039145590625,0.92,0.353,2.15183863309775e-12,"Patz1",2.15183863309775e-12,"Up"
3.90740794293715e-14,-1.33068588869522,0.886,1,1.14487052728058e-11,"Zfp64",1.14487052728058e-11,"Down"
2.70189368676655e-13,-1.60964252762864,0.716,0.941,7.916548502226e-11,"Nr6a1",7.916548502226e-11,"Down"
3.74390665680225e-13,-1.26283346600667,0.75,0.961,1.09696465044306e-10,"Hand1",1.09696465044306e-10,"Down"
5.32515302659684e-12,-1.03411835733102,0.92,1,1.56026983679287e-09,"Gata3",1.56026983679287e-09,"Down"
7.53041848261352e-11,1.68036848215132,0.932,0.706,2.20641261540576e-08,"Tcf4",2.20641261540576e-08,"Up"
1.45832707621402e-08,1.12031083814198,0.466,0,4.27289833330708e-06,"Zkscan6",4.27289833330708e-06,"Up"
8.52327962956558e-08,-1.096165362562,0.659,0.922,2.49732093146272e-05,"Ovol2",2.49732093146272e-05,"Down"
1.4271862620879e-05,-1.04538824957201,0.716,0.902,0.00418165574791754,"Pparg",0.00418165574791754,"Down"
2.2039969185339e-05,1.03949436148735,0.557,0.196,0.00645771097130433,"Hic1",0.00645771097130433,"Up"
3.09345708586559e-05,-1.15074449974316,0.148,0.49,0.00906382926158618,"Ppard",0.00906382926158618,"Down"
