"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.85564938203638e-19,-2.57142871406206,0.173,0.922,3.73176077607024e-14,"Usp9x-201",3.73176077607024e-14,"Down"
9.16016440710865e-19,-3.2853018711889,0.048,0.765,7.03995275343929e-14,"Sipa1l1-202",7.03995275343929e-14,"Down"
1.04993246192802e-18,-2.52325408225128,0.135,0.882,8.0691509429016e-14,"Baiap2l1-201",8.0691509429016e-14,"Down"
1.11319225906573e-16,-2.74664904457757,0.077,0.745,8.55532778782378e-12,"Qrich1-201",8.55532778782378e-12,"Down"
1.98515632708423e-16,-2.49558422940383,0.096,0.784,1.52567204361732e-11,"Cct4-204",1.52567204361732e-11,"Down"
2.08727409193139e-16,-3.36065272376356,0.183,0.843,1.60415363061295e-11,"Plac1-202",1.60415363061295e-11,"Down"
3.24422447162667e-16,-2.00103269178677,0.173,0.922,2.49331627542396e-11,"Sfpq-201",2.49331627542396e-11,"Down"
3.78955598708969e-16,-2.78790702345306,0.077,0.725,2.91242535831791e-11,"Pcm1-204",2.91242535831791e-11,"Down"
4.23117137687956e-16,-3.13958856334647,0.087,0.745,3.25182444998702e-11,"Etl4-202",3.25182444998702e-11,"Down"
5.3687428476718e-16,-2.62845708536257,0.067,0.725,4.12609362814968e-11,"Bod1l-201",4.12609362814968e-11,"Down"
1.10241648413727e-15,-3.39484908132517,0.048,0.667,8.47251164718857e-11,"Topbp1-201",8.47251164718857e-11,"Down"
2.09524829293492e-15,-2.55153924758623,0.154,0.843,1.61028212305221e-10,"Ctnnb1-201",1.61028212305221e-10,"Down"
2.25574264794524e-15,-3.16383471964623,0.01,0.549,1.73362845465184e-10,"Supt20-210",1.73362845465184e-10,"Down"
2.29542730054008e-15,-2.98174050658375,0.087,0.725,1.76412769755708e-10,"Etl4-209",1.76412769755708e-10,"Down"
3.03809511781566e-15,-1.49121665210494,0.846,1,2.33489762184605e-10,"Eef1a1-201",2.33489762184605e-10,"Down"
3.22038846115139e-15,-3.34905859865338,0.048,0.647,2.47499734793329e-10,"Usp34-205",2.47499734793329e-10,"Down"
3.22038846115139e-15,-3.34905859865338,0.048,0.647,2.47499734793329e-10,"Usp34-208",2.47499734793329e-10,"Down"
3.73177699275099e-15,-2.95863477207106,0.096,0.745,2.86801989000885e-10,"Ptbp1-216",2.86801989000885e-10,"Down"
4.01928223176812e-15,-2.86315437439714,0.096,0.745,3.08897916640307e-10,"Ptbp1-206",3.08897916640307e-10,"Down"
4.67734120679352e-15,-2.59902764618616,0.058,0.667,3.59472381106909e-10,"Rere-202",3.59472381106909e-10,"Down"
5.25633171322752e-15,-2.74218035839375,0.038,0.627,4.03970117488388e-10,"Sipa1l1-210",4.03970117488388e-10,"Down"
5.25633171322752e-15,-2.74218035839375,0.038,0.627,4.03970117488388e-10,"Sipa1l1-201",4.03970117488388e-10,"Down"
8.24157894645281e-15,-4.10184505700425,0.01,0.529,6.33398308350684e-10,"Tnpo3-202",6.33398308350684e-10,"Down"
9.40507794441313e-15,-2.46674564174646,0.115,0.765,7.22817860339927e-10,"Ubap2l-208",7.22817860339927e-10,"Down"
1.05480574309395e-14,-2.66053083941212,0.25,0.863,8.10660405797421e-10,"Mbnl3-202",8.10660405797421e-10,"Down"
1.08852204729643e-14,-5.26022210905769,0,0.49,8.365727342292e-10,"Supt20-203",8.365727342292e-10,"Down"
1.30334545369046e-14,-2.04206798393194,0.048,0.647,1.00167311497927e-09,"Gspt1-205",1.00167311497927e-09,"Down"
1.60192484195705e-14,-3.82625117919494,0.019,0.549,1.23114331803767e-09,"Polr1a-201",1.23114331803767e-09,"Down"
1.7069644323406e-14,-3.95184588990044,0.038,0.588,1.31187044483104e-09,"Setd1b-204",1.31187044483104e-09,"Down"
2.01355241410657e-14,-2.2103571897292,0.115,0.784,1.54749557233746e-09,"Rrm1-201",1.54749557233746e-09,"Down"
2.19224879864803e-14,-2.75221522484672,0.038,0.608,1.68483089171295e-09,"Sipa1l1-205",1.68483089171295e-09,"Down"
2.19835263415745e-14,-1.76357203972532,0.077,0.706,1.68952193345537e-09,"Bod1l-204",1.68952193345537e-09,"Down"
2.93955674717175e-14,-2.08706956643761,0.048,0.627,2.25916694247137e-09,"Mcm3-201",2.25916694247137e-09,"Down"
2.95764932653863e-14,-3.00491490646842,0.087,0.686,2.273071813418e-09,"Hat1-201",2.273071813418e-09,"Down"
3.05642656072055e-14,-2.10792353020503,0.106,0.745,2.34898606897617e-09,"Ptbp1-215",2.34898606897617e-09,"Down"
3.4110864946187e-14,-2.82153974760248,0.096,0.725,2.62155641457426e-09,"Abce1-201",2.62155641457426e-09,"Down"
3.76611226668307e-14,-2.6521133439658,0.077,0.667,2.89440792143661e-09,"Pcm1-201",2.89440792143661e-09,"Down"
4.08457410192366e-14,-2.56005242425154,0.096,0.725,3.13915858029241e-09,"Khdrbs1-201",3.13915858029241e-09,"Down"
4.0995180215233e-14,-2.44571108975362,0.115,0.745,3.15064358026152e-09,"Ubap2l-202",3.15064358026152e-09,"Down"
4.11588953533597e-14,-3.40256145214269,0.087,0.667,3.16322574348711e-09,"Zfp64-201",3.16322574348711e-09,"Down"
