"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.32719815057698e-28,5.3032274090853,0.81,0.058,1.78854486664443e-23,"Col3a1-201",1.78854486664443e-23,"Up"
1.13133872150371e-27,4.38215567118309,0.889,0.183,8.69479061024465e-23,"Tpbpb-201",8.69479061024465e-23,"Up"
7.4137137111302e-26,4.57065877199609,0.81,0.077,5.697735535552e-21,"Psg21-201",5.697735535552e-21,"Up"
8.66733947871218e-26,4.43913250936832,0.778,0.038,6.66119708296946e-21,"Psg23-201",6.66119708296946e-21,"Up"
2.80498554456499e-23,3.3966650201531,0.833,0.125,2.15574359041998e-18,"Ceacam11-201",2.15574359041998e-18,"Up"
1.36132971398518e-21,3.04930777366017,0.778,0.115,1.04623633838617e-16,"Psg27-201",1.04623633838617e-16,"Up"
2.79657842309771e-21,2.30909819708062,0.73,0.067,2.14928238128752e-16,"Col1a2-201",2.14928238128752e-16,"Up"
2.86416201313199e-21,4.89270687697832,0.643,0.019,2.20122307357246e-16,"Sult1e1-201",2.20122307357246e-16,"Up"
4.26163868416243e-21,2.32001420076443,0.738,0.058,3.27523979432619e-16,"Col1a1-201",3.27523979432619e-16,"Up"
1.33859954846803e-20,-3.68415114977519,0.476,0.817,1.02876729697962e-15,"Set-201",1.02876729697962e-15,"Down"
1.64872995460847e-20,3.20936562034557,0.786,0.192,1.26711491931479e-15,"H2-D1-202",1.26711491931479e-15,"Up"
2.02417273604664e-20,3.15526370507341,0.817,0.288,1.55565771456128e-15,"Pappa2-202",1.55565771456128e-15,"Up"
2.20829540956316e-20,3.42767989678469,0.706,0.096,1.69716335406567e-15,"Flt1-203",1.69716335406567e-15,"Up"
7.97487202949738e-20,-1.48146303449871,0.849,0.981,6.12900814954992e-15,"Ptma-201",6.12900814954992e-15,"Down"
1.29216352355565e-19,4.47801920315405,0.683,0.067,9.93079354393456e-15,"Prl3b1-201",9.93079354393456e-15,"Up"
5.61031252304892e-19,-2.05089495568669,0.929,0.981,4.31174958646401e-14,"Peg10-202",4.31174958646401e-14,"Down"
2.2683311123129e-18,4.16266574796167,0.635,0.058,1.74330319305695e-13,"Ceacam5-201",1.74330319305695e-13,"Up"
3.85585432631451e-18,3.13106217650562,0.651,0.058,2.96337828394576e-13,"Lyz2-201",2.96337828394576e-13,"Up"
4.97693483273229e-18,6.75892125469167,0.548,0.01,3.82497349634808e-13,"Clu-201",3.82497349634808e-13,"Up"
1.99435571642809e-17,6.00102296671593,0.532,0.01,1.53274214230365e-12,"Col6a3-201",1.53274214230365e-12,"Up"
2.41092846071731e-17,9.09869608744429,0.516,0,1.85289495919968e-12,"Slco2a1-201",1.85289495919968e-12,"Up"
3.8336626037378e-17,3.96088385700283,0.865,0.385,2.94632305747665e-12,"Fn1-201",2.94632305747665e-12,"Up"
9.95698887578681e-17,2.57232525927905,0.706,0.115,7.6523442305972e-12,"Ctsj-202",7.6523442305972e-12,"Up"
1.13195939370571e-16,3.00100552892555,0.77,0.25,8.69956072438585e-12,"Igfbp7-201",8.69956072438585e-12,"Up"
1.2299969990413e-16,4.21566972549891,0.524,0.01,9.453018936432e-12,"Thbs2-201",9.453018936432e-12,"Up"
1.23931438270814e-16,5.08162420968363,0.532,0.019,9.52462675686515e-12,"Dpysl3-204",9.52462675686515e-12,"Up"
1.28484190337497e-16,4.59633380502753,0.833,0.375,9.87452396419799e-12,"Fn1-214",9.87452396419799e-12,"Up"
1.72458494203262e-16,3.63350713875555,0.603,0.058,1.32541251134975e-11,"Spp1-201",1.32541251134975e-11,"Up"
2.11054449585914e-16,6.94320246364337,0.492,0,1.62203786684758e-11,"Col6a2-201",1.62203786684758e-11,"Up"
4.29779021297819e-16,7.92400111744103,0.484,0,3.30302369028226e-11,"Psg16-202",3.30302369028226e-11,"Up"
7.5860405746007e-16,4.41399948978854,0.556,0.048,5.83017562320362e-11,"Lama4-201",5.83017562320362e-11,"Up"
9.73238071865642e-16,3.48326661353501,0.611,0.077,7.47972387751621e-11,"Psg21-202",7.47972387751621e-11,"Up"
1.64436697190119e-15,2.64546457992734,0.905,0.712,1.26376179258494e-10,"Col4a1-201",1.26376179258494e-10,"Up"
1.71453888366705e-15,3.24962985376071,0.579,0.058,1.31769171365348e-10,"Bmpr2-201",1.31769171365348e-10,"Up"
1.89807981355607e-15,2.86643512990363,0.746,0.279,1.45875025991038e-10,"Ahnak-202",1.45875025991038e-10,"Up"
1.91476111833717e-15,6.4528631711193,0.484,0.01,1.47157050988685e-10,"Fkbp9-201",1.47157050988685e-10,"Up"
1.94694937548964e-15,1.99253050262054,0.786,0.221,1.49630847303881e-10,"Vim-201",1.49630847303881e-10,"Up"
2.44107386273482e-15,2.92243044976504,0.73,0.25,1.87606290646622e-10,"B2m-201",1.87606290646622e-10,"Up"
2.72992212146683e-15,2.14471512220718,0.794,0.288,2.09805434723211e-10,"Lamc1-201",2.09805434723211e-10,"Up"
3.50325861490721e-15,7.103796279795,0.46,0,2.69239437590079e-10,"Cts3-202",2.69239437590079e-10,"Up"
6.80309934129736e-15,2.19719607168979,0.635,0.087,5.22845396776067e-10,"Psg28-201",5.22845396776067e-10,"Up"
8.76111873983952e-15,2.11790060996831,0.651,0.115,6.73327019631626e-10,"Mmp15-201",6.73327019631626e-10,"Up"
1.53935470501601e-14,4.21297826967497,0.468,0.01,1.18305566499301e-09,"Dhrs9-201",1.18305566499301e-09,"Up"
