"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.56170461196228e-21,-6.28591502204172,0.068,0.843,1.20023246247749e-16,"Ldoc1-201",1.20023246247749e-16,"Down"
6.60159067182493e-20,-5.65526938383651,0.023,0.765,5.07358649492434e-15,"AU018091-201",5.07358649492434e-15,"Down"
2.57623349433219e-19,-7.62747531780985,0,0.706,1.97993848973406e-14,"Ccna2-201",1.97993848973406e-14,"Down"
2.57623349433219e-19,-7.27901275867756,0,0.706,1.97993848973406e-14,"Pou2f3-202",1.97993848973406e-14,"Down"
3.02865691461056e-19,-4.99202743719751,0.136,0.843,2.3276439851548e-14,"Mki67-201",2.3276439851548e-14,"Down"
5.97628611435322e-19,-2.94882749865471,0.261,0.941,4.59301493032503e-14,"Rhox6-201",4.59301493032503e-14,"Down"
6.92563186792752e-19,-3.65472373604921,0.125,0.863,5.32262511577701e-14,"Lmnb1-201",5.32262511577701e-14,"Down"
2.45071250059549e-18,-4.40315791441249,0.125,0.824,1.88347058520766e-13,"Cdh3-201",1.88347058520766e-13,"Down"
5.96094219071771e-18,-2.68840219066834,0.625,0.98,4.58122251125419e-13,"Hnrnpf-201",4.58122251125419e-13,"Down"
4.56016274298685e-16,-2.87619542038798,0.216,0.863,3.50466747449511e-11,"Fstl3-201",3.50466747449511e-11,"Down"
5.11613404966179e-16,-5.1928309065462,0.023,0.647,3.93195366252707e-11,"AU018091-203",3.93195366252707e-11,"Down"
8.73799743136907e-16,-2.9128063351018,0.102,0.784,6.71550054590439e-11,"Rrm1-201",6.71550054590439e-11,"Down"
9.0606723344667e-16,8.3069458707586,0.807,0.118,6.96348911593104e-11,"Igfbp7-201",6.96348911593104e-11,"Up"
9.57433611098703e-16,-1.88810723605316,0.875,1,7.35826027473797e-11,"Peg10-202",7.35826027473797e-11,"Down"
9.98554906787791e-16,-4.61574192072693,0.08,0.725,7.67429388062689e-11,"Etl4-209",7.67429388062689e-11,"Down"
1.02570774096571e-15,-4.06076804763673,0.068,0.725,7.88297427241784e-11,"Derl3-201",7.88297427241784e-11,"Down"
1.24633476104979e-15,-4.0386419895113,0.023,0.647,9.57858117257202e-11,"Top2a-201",9.57858117257202e-11,"Down"
2.08860216211374e-15,-2.34540585660087,0.511,0.922,1.60517430567089e-10,"Anp32b-201",1.60517430567089e-10,"Down"
2.47455955848974e-15,6.34568809177326,0.818,0.157,1.9017980030817e-10,"Tpbpb-201",1.9017980030817e-10,"Up"
4.14099450495281e-15,-4.72385965690568,0.034,0.647,3.18251991683643e-10,"Adm-201",3.18251991683643e-10,"Down"
5.14053292874793e-15,-5.21324473644265,0.023,0.608,3.95070517705994e-10,"Mcm3-202",3.95070517705994e-10,"Down"
6.09265016696826e-15,-5.33035533959758,0.034,0.627,4.68244535932179e-10,"Mcm2-201",4.68244535932179e-10,"Down"
8.28459347816364e-15,-2.34529656501918,0.409,0.941,6.36704147170789e-10,"Hmgn5-201",6.36704147170789e-10,"Down"
9.58159315354312e-15,-4.75061462525683,0.034,0.627,7.36383760222403e-10,"Mcm3-201",7.36383760222403e-10,"Down"
1.20297123994926e-14,-3.6158357028554,0.125,0.745,9.24531516750605e-10,"Gata2-201",9.24531516750605e-10,"Down"
