"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
9.01413277109572e-27,5.87290691414586,0.778,0.058,1.58396341053694e-22,"Tpbpb",1.58396341053694e-22,"Up"
6.32571912227091e-25,3.53973324672816,0.905,0.356,1.11155536416544e-20,"Fn1",1.11155536416544e-20,"Up"
3.87391779700743e-24,-2.28093295999271,0.389,0.913,6.80724835290146e-20,"Sqstm1",6.80724835290146e-20,"Down"
1.38896310314523e-23,2.71840626467054,0.992,0.625,2.4406859648468e-19,"Peak1",2.4406859648468e-19,"Up"
2.96347088137823e-23,4.34464817138745,0.714,0.038,5.20741103275783e-19,"Flt1",5.20741103275783e-19,"Up"
3.7793707691874e-23,-3.39231742277876,0.214,0.788,6.64111031561609e-19,"Set",6.64111031561609e-19,"Down"
2.7630839092591e-22,5.56924711118749,0.738,0.125,4.85529104535008e-18,"D130009I18Rik",4.85529104535008e-18,"Up"
9.641563671157e-22,2.59549757082811,0.984,0.654,1.69421556829571e-17,"Zc3h7a",1.69421556829571e-17,"Up"
4.81685051910405e-21,5.54151371564804,0.635,0.019,8.46416973216964e-17,"Sult1e1",8.46416973216964e-17,"Up"
1.03744944635871e-20,-3.66457035864193,0.103,0.673,1.82300616714153e-16,"Hnrnpab",1.82300616714153e-16,"Down"
1.11073272020639e-20,4.46697905984844,0.825,0.365,1.95177953594667e-16,"Jarid2",1.95177953594667e-16,"Up"
3.26686297546168e-20,5.51757566099128,0.675,0.087,5.74053162048126e-16,"Tmtc2",5.74053162048126e-16,"Up"
3.29043240067982e-20,3.08235514724523,0.841,0.288,5.78194781447458e-16,"Col4a1",5.78194781447458e-16,"Up"
3.9973272125821e-20,-2.02704162668172,0.857,0.962,7.02410337794927e-16,"Peg10",7.02410337794927e-16,"Down"
5.74256990000831e-20,-1.65195553806265,0.635,0.962,1.00908438282946e-15,"Ptma",1.00908438282946e-15,"Down"
4.39315267281528e-19,7.04508788952854,0.556,0,7.71964787667101e-15,"Col3a1",7.71964787667101e-15,"Up"
5.33463338236571e-19,2.9831417993707,0.802,0.24,9.37401777949303e-15,"Col4a2",9.37401777949303e-15,"Up"
9.64555861981006e-19,7.23885963292522,0.548,0,1.69491756067302e-14,"Psg27",1.69491756067302e-14,"Up"
4.69259686405337e-18,3.50515914242189,0.738,0.192,8.24583120951458e-14,"Igfbp7",8.24583120951458e-14,"Up"
4.99642361932511e-17,3.07365704172531,0.802,0.481,8.77971558387809e-13,"Pappa2",8.77971558387809e-13,"Up"
1.89094044286433e-16,-4.2387721645253,0.063,0.538,3.32276054620121e-12,"Prdx2",3.32276054620121e-12,"Down"
3.55410390598725e-16,-3.53059679760461,0.087,0.567,6.2452713836008e-12,"Cnbp",6.2452713836008e-12,"Down"
4.13758499574256e-16,4.44197804209712,0.548,0.048,7.27056435451883e-12,"Ptprm",7.27056435451883e-12,"Up"
6.73129562739336e-16,-2.00914442215517,0.302,0.779,1.18282326764556e-11,"Tmed2",1.18282326764556e-11,"Down"
7.57485729509473e-16,7.21501289097085,0.476,0,1.33105392389405e-11,"Ceacam11",1.33105392389405e-11,"Up"
1.22689446854377e-15,4.50250034052918,0.595,0.115,2.15589896012511e-11,"Tcf4",2.15589896012511e-11,"Up"
2.6635268046309e-15,2.81282522416803,0.849,0.51,4.68034930109741e-11,"Itga9",4.68034930109741e-11,"Up"
2.71016497792291e-15,3.2615797094253,0.627,0.125,4.76230189920613e-11,"H2-K1",4.76230189920613e-11,"Up"
3.07614130225748e-15,-3.27684020535882,0.063,0.529,5.40539549632685e-11,"Plp2",5.40539549632685e-11,"Down"
7.7169525019527e-15,3.11908847097232,0.603,0.106,1.35602289364313e-10,"H2-D1",1.35602289364313e-10,"Up"
8.01747880404576e-15,-2.98833511200891,0.119,0.577,1.40883137544692e-10,"Atp5g1",1.40883137544692e-10,"Down"
1.4067023195712e-14,4.47804729680464,0.516,0.048,2.47185731595052e-10,"Lama4",2.47185731595052e-10,"Up"
1.88564099970905e-14,-1.65147535057703,0.476,0.837,3.31344836468874e-10,"Ywhaz",3.31344836468874e-10,"Down"
2.59378242960894e-14,-3.05444778402238,0.087,0.538,4.55779448530883e-10,"Efhd2",4.55779448530883e-10,"Down"
3.12413016076381e-14,5.18259141327847,0.468,0.019,5.48972151849416e-10,"Prl8a9",5.48972151849416e-10,"Up"
5.70188443117477e-14,2.59762891255732,0.595,0.115,1.00193513224603e-09,"Sh3kbp1",1.00193513224603e-09,"Up"
5.72182606962437e-14,-2.92891690193852,0.095,0.538,1.00543927695439e-09,"Pgam1",1.00543927695439e-09,"Down"
6.98507244852867e-14,4.02328351921019,0.532,0.087,1.22741693065546e-09,"Rora",1.22741693065546e-09,"Up"
1.70149360566177e-13,6.13255073077888,0.413,0,2.98986456386886e-09,"Thbs2",2.98986456386886e-09,"Up"
