"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.8388983069012e-21,-2.10519542602898,0.452,0.932,3.23131210488678e-17,"Zfp791",3.23131210488678e-17,"Down"
2.04877255562424e-11,-1.18029195576251,0.849,0.943,3.60010313474291e-07,"Itga9",3.60010313474291e-07,"Down"
6.90144822300661e-11,-2.96419218595917,0.468,0.773,1.21272248174672e-06,"Ctla2a",1.21272248174672e-06,"Down"
5.87589236941549e-10,-1.80874950412936,0.31,0.682,1.03251180715369e-05,"Nmbr",1.03251180715369e-05,"Down"
3.17962334112982e-09,-2.54169504681699,0.087,0.432,5.58723413503332e-05,"Mphosph8",5.58723413503332e-05,"Down"
1.25866552418817e-08,-1.64522761133885,0.373,0.693,0.000221172705910345,"Ubc",0.000221172705910345,"Down"
1.44010509451325e-08,-1.68704778703347,0.54,0.773,0.000253055267207868,"Cited2",0.000253055267207868,"Down"
2.08503761007072e-08,-2.40237108744268,0.159,0.489,0.000366382808841627,"Gnb1l",0.000366382808841627,"Down"
2.95808652866012e-08,-2.64909283814087,0.373,0.614,0.000519794964816156,"Jun",0.000519794964816156,"Down"
3.87199554651437e-08,-2.22145530208239,0.151,0.489,0.000680387057433506,"Ccn1",0.000680387057433506,"Down"
3.97812485592862e-08,-1.63032303412103,0.214,0.58,0.000699036099683777,"Maged1",0.000699036099683777,"Down"
8.17288106385052e-08,-1.46270675067016,0.222,0.568,0.00143613866053981,"Baiap2l1",0.00143613866053981,"Down"
1.56260337396369e-07,-1.22529481210877,0.27,0.614,0.00274580664872899,"Il31ra",0.00274580664872899,"Down"
1.67960488094782e-07,-1.59585081686389,0.73,0.875,0.0029514016968015,"Krt8",0.0029514016968015,"Down"
