"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.55191715087101e-22,-6.43086246644053,0.011,0.804,7.99862881751054e-18,"Ldoc1",7.99862881751054e-18,"Down"
6.35996482662508e-22,3.72924347397134,1,0.765,1.11757301933456e-17,"Peak1",1.11757301933456e-17,"Up"
1.41392992265112e-21,3.20369416259644,1,0.922,2.48455766008256e-17,"Zc3h7a",2.48455766008256e-17,"Up"
5.67632420834075e-21,7.87001437230737,0.932,0.039,9.97443689889637e-17,"Zfp791",9.97443689889637e-17,"Up"
9.12558172571536e-21,-4.74120258705268,0.034,0.804,1.6035472208427e-16,"Cdh3",1.6035472208427e-16,"Down"
6.03087271184326e-20,5.83957192167709,0.943,0.353,1.0597449529251e-15,"Itga9",1.0597449529251e-15,"Up"
5.0770129357626e-19,-3.20595882594803,0.182,0.922,8.92132713072205e-15,"Rhox6",8.92132713072205e-15,"Down"
3.16901533470587e-18,-3.46507818177844,0.091,0.824,5.56859374614515e-14,"Etl4",5.56859374614515e-14,"Down"
2.35332500287454e-17,-4.84589996571937,0.023,0.686,4.13526269505114e-13,"Ppp2r2c",4.13526269505114e-13,"Down"
3.08755675270757e-17,-1.99345715413323,0.67,1,5.42545472585774e-13,"Nrk",5.42545472585774e-13,"Down"
7.47789732198014e-17,-5.10893437155316,0.011,0.647,1.31401611741835e-12,"AU018091",1.31401611741835e-12,"Down"
8.11386804316553e-17,4.4343949422676,0.886,0.176,1.42576889254505e-12,"D130009I18Rik",1.42576889254505e-12,"Up"
8.18503313479132e-17,5.82032403708381,0.864,0.137,1.43827402244553e-12,"Tpbpb",1.43827402244553e-12,"Up"
8.73246029057984e-17,-2.80407979002474,0.17,0.882,1.53446792226069e-12,"Anp32b",1.53446792226069e-12,"Down"
1.74360288918097e-16,7.9844831928348,0.784,0,3.06385899686881e-12,"Igfbp7",3.06385899686881e-12,"Up"
2.94192632675456e-16,4.12673798998378,0.909,0.412,5.16955294137312e-12,"Jarid2",5.16955294137312e-12,"Up"
3.90435379037392e-16,-2.09686153925259,0.42,0.98,6.86073048044505e-12,"Tbrg1",6.86073048044505e-12,"Down"
6.64002096170867e-16,-1.52536847795065,0.875,1,1.16678448339145e-11,"Peg10",1.16678448339145e-11,"Down"
8.76323096425111e-16,3.96073915625365,0.875,0.196,1.5398749450382e-11,"Fn1",1.5398749450382e-11,"Up"
9.74828259202836e-16,-3.37196877738696,0.102,0.765,1.71296821707122e-11,"Fat1",1.71296821707122e-11,"Down"
1.32354629212685e-15,-5.07240849552805,0.011,0.608,2.3257355445253e-11,"Zfp568",2.3257355445253e-11,"Down"
1.61159952908379e-15,-2.86792627204937,0.136,0.804,2.83190269250604e-11,"Kat7",2.83190269250604e-11,"Down"
1.66474280420415e-15,5.75602554358944,0.784,0.059,2.92528605554753e-11,"Tmtc2",2.92528605554753e-11,"Up"
1.76835267584264e-15,6.03317268574939,0.761,0.02,3.10734932199068e-11,"H2-K1",3.10734932199068e-11,"Up"
3.00602434114389e-15,-3.46507818177844,0.068,0.706,5.28218597225804e-11,"Fstl3",5.28218597225804e-11,"Down"
3.14977491594591e-15,-2.87446911791614,0.136,0.804,5.53478448230015e-11,"Sema3e",5.53478448230015e-11,"Down"
4.50385882337786e-15,4.49839594219645,0.841,0.176,7.91418072443958e-11,"Col4a1",7.91418072443958e-11,"Up"
9.49913645871698e-15,-2.71300569522203,0.182,0.824,1.66918825852575e-10,"Actr3",1.66918825852575e-10,"Down"
1.01277047780067e-14,5.62662165235837,0.75,0.039,1.77964028359133e-10,"Flt1",1.77964028359133e-10,"Up"
1.28010501439018e-14,-3.63500318322075,0.045,0.647,2.24940053128642e-10,"Ubfd1",2.24940053128642e-10,"Down"
1.60883294679392e-14,-2.80081207619083,0.193,0.824,2.82704125410627e-10,"Myc",2.82704125410627e-10,"Down"
1.67290445581686e-14,-2.49028874457572,0.341,0.863,2.93962770976138e-10,"Cdh5",2.93962770976138e-10,"Down"
2.07051830630635e-14,4.6887271543006,0.75,0.059,3.63831476784151e-10,"H2-D1",3.63831476784151e-10,"Up"
2.09604459601237e-14,-5.27885937299548,0.011,0.569,3.68316956411294e-10,"Mki67",3.68316956411294e-10,"Down"
3.53380125211515e-14,-3.56461385532935,0.068,0.667,6.20959556021674e-10,"Kpnb1",6.20959556021674e-10,"Down"
