"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.11173606343354e-134,-1.0346729901386,1,1,3.25738666586027e-132,"Maf",3.25738666586027e-132,"Down"
4.90217342515148e-131,-1.20201102603737,1,1,1.43633681356938e-128,"Bach1",1.43633681356938e-128,"Down"
2.62115868037576e-101,1.28362363864532,1,0.965,7.67999493350098e-99,"Tbp",7.67999493350098e-99,"Up"
5.34770176978827e-91,1.29129099013489,1,0.947,1.56687661854796e-88,"Pou2f3",1.56687661854796e-88,"Up"
6.25908257599768e-54,1.01976729010272,0.992,0.977,1.83391119476732e-51,"Elf3",1.83391119476732e-51,"Up"
8.17477839516822e-52,1.02023839478443,0.973,0.831,2.39521006978429e-49,"Ctcf",2.39521006978429e-49,"Up"
8.7448702250717e-42,1.56444183737066,0.537,0.123,2.56224697594601e-39,"Snd1",2.56224697594601e-39,"Up"
1.0495341561968e-41,1.27006469960326,0.596,0.137,3.07513507765662e-39,"Zbtb16",3.07513507765662e-39,"Up"
6.02742990855545e-41,1.24384406800171,0.612,0.151,1.76603696320675e-38,"Hsf1",1.76603696320675e-38,"Up"
1.02885421242573e-35,1.32938306725204,0.648,0.22,3.0145428424074e-33,"Sp2",3.0145428424074e-33,"Up"
7.84038384523113e-32,1.17260122835763,0.862,0.62,2.29723246665272e-29,"Zfp64",2.29723246665272e-29,"Up"
6.21411672253322e-31,1.26693819604855,0.724,0.368,1.82073619970223e-28,"Cebpg",1.82073619970223e-28,"Up"
1.37948680648297e-27,1.92095575761576,0.377,0.085,4.04189634299511e-25,"Hand1",4.04189634299511e-25,"Up"
1.02244367149115e-22,1.38084998439881,0.428,0.148,2.99575995746907e-20,"Hoxa10",2.99575995746907e-20,"Up"
1.01474907620333e-19,-1.10142092116305,0.29,0.595,2.97321479327575e-17,"Zfp263",2.97321479327575e-17,"Down"
4.91889626680915e-15,1.00728381531586,0.615,0.382,1.44123660617508e-12,"Zfp37",1.44123660617508e-12,"Up"
5.14447840176922e-15,1.0060950142964,0.837,0.738,1.50733217171838e-12,"Sox17",1.50733217171838e-12,"Up"
1.47333375519878e-05,1.1182274041279,0.331,0.232,0.00431686790273241,"Mlx",0.00431686790273241,"Up"
