"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.23955014592465e-59,-1.15428349641526,0.94,1,3.63188192755924e-57,"Tbp",3.63188192755924e-57,"Down"
2.49055653011286e-48,-1.10578772662978,0.873,1,7.29733063323067e-46,"Pou2f3",7.29733063323067e-46,"Down"
5.44381471323992e-45,1.82129250657093,0.91,0.453,1.5950377109793e-42,"Patz1",1.5950377109793e-42,"Up"
1.90871324862826e-35,-1.09723158098566,0.711,0.959,5.5925298184808e-33,"Zfp42",5.5925298184808e-33,"Down"
1.01158325987059e-30,-1.08694369921316,0.729,0.973,2.96393895142084e-28,"Ctcf",2.96393895142084e-28,"Down"
1.0681265326334e-23,1.15899772886994,1,1,3.12961074061587e-21,"Zfp704",3.12961074061587e-21,"Up"
6.180680050982e-16,1.15795191168897,0.91,0.721,1.81093925493773e-13,"Vdr",1.81093925493773e-13,"Up"
1.53326231905057e-15,1.56497355823587,0.608,0.247,4.49245859481817e-13,"Nr1h3",4.49245859481817e-13,"Up"
5.38404381044179e-13,1.52625633466544,0.813,0.721,1.57752483645944e-10,"Cux1",1.57752483645944e-10,"Up"
5.96266053503367e-08,1.0209297040766,0.789,0.659,1.74705953676487e-05,"Tcf21",1.74705953676487e-05,"Up"
1.5164449112141e-07,1.4782183790907,0.349,0.157,4.4431835898573e-05,"Nfe2l3",4.4431835898573e-05,"Up"
3.21561454085804e-07,1.10272643344417,0.627,0.455,9.42175060471406e-05,"Zkscan6",9.42175060471406e-05,"Up"
7.35533127223888e-07,1.34344354396042,0.373,0.173,0.000215511206276599,"Mga",0.000215511206276599,"Up"
1.26192711034444e-05,1.01477785392978,0.464,0.29,0.00369744643330922,"Zfp263",0.00369744643330922,"Up"
