"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.28361097943503e-127,1.76791349918531,1,0.963,2.13409801697446e-124,"Atf2",2.13409801697446e-124,"Up"
2.52116115734928e-96,2.04284741022014,0.937,0.444,7.38700219103338e-94,"Patz1",7.38700219103338e-94,"Up"
1.54212051623253e-81,1.32853366920224,0.985,0.759,4.51841311256133e-79,"Zfp507",4.51841311256133e-79,"Up"
1.5452907662345e-25,1.45080424956385,0.43,0.123,4.52770194506707e-23,"Snd1",4.52770194506707e-23,"Up"
2.04361337760644e-22,1.24764493373343,0.546,0.22,5.98778719638686e-20,"Sp2",5.98778719638686e-20,"Up"
3.47408736034972e-22,1.24682168813467,0.606,0.285,1.01790759658247e-19,"Nfia",1.01790759658247e-19,"Up"
7.14173181098559e-22,1.11786242673592,0.445,0.137,2.09252742061878e-19,"Zbtb16",2.09252742061878e-19,"Up"
2.9434047067002e-16,1.38106579545572,0.382,0.148,8.6241757906316e-14,"Hoxa10",8.6241757906316e-14,"Up"
5.39332917648064e-13,1.08942778037152,0.603,0.4,1.58024544870883e-10,"Nr1h3",1.58024544870883e-10,"Up"
4.37960168531163e-10,1.30349366360198,0.537,0.379,1.28322329379631e-07,"Gli3",1.28322329379631e-07,"Up"
9.12616056449238e-06,1.02840966500802,0.478,0.366,0.00267396504539627,"Sox4",0.00267396504539627,"Up"
