"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.89570878631141e-95,-3.22274114950375,0.42,0.949,1.45692803063177e-90,"Dab2-202",1.45692803063177e-90,"Down"
4.03323717525651e-93,-1.62627399781944,0.77,0.996,3.09970409867164e-88,"Eef1a1-201",3.09970409867164e-88,"Down"
1.69124713556849e-76,-2.22918895697952,0.122,0.829,1.29979107356981e-71,"Plek-202",1.29979107356981e-71,"Down"
1.86665198718563e-76,-1.95904305639014,0.461,0.965,1.43459671823164e-71,"Mrc1-201",1.43459671823164e-71,"Down"
1.5594512632484e-75,-2.24079273656091,0.16,0.84,1.19850067385693e-70,"Lcp1-209",1.19850067385693e-70,"Down"
2.06280989831642e-74,-2.77585121556284,0.133,0.789,1.5853519192521e-69,"Lcp1-206",1.5853519192521e-69,"Down"
5.54074908966629e-69,-2.63209623368298,0.152,0.785,4.25828730537213e-64,"Ahnak-202",4.25828730537213e-64,"Down"
5.60287267107185e-69,1.93956240002689,0.984,0.981,4.30603176262556e-64,"Tpt1-201",4.30603176262556e-64,"Up"
1.0395496960349e-68,-2.46484582814902,0.16,0.801,7.9893552339066e-64,"Jmjd1c-206",7.9893552339066e-64,"Down"
6.04087279864365e-67,-2.13927976142068,0.393,0.898,4.64265238066959e-62,"Ifi207-201",4.64265238066959e-62,"Down"
2.84814026265137e-66,-2.2442308831034,0.149,0.782,2.18890971745809e-61,"Cdc42-202",2.18890971745809e-61,"Down"
7.79214292382383e-66,-1.65064897202508,0.442,0.958,5.98857352267557e-61,"Ctsb-201",5.98857352267557e-61,"Down"
2.12483434431364e-65,-1.81664377108212,0.268,0.901,1.6330201869788e-60,"C3ar1-201",1.6330201869788e-60,"Down"
8.56520817781035e-65,-2.13844585732401,0.136,0.787,6.58270509297437e-60,"Mpp1-201",6.58270509297437e-60,"Down"
2.34954078584066e-64,-2.19511591302724,0.087,0.729,1.80571607554998e-59,"Ms4a6c-201",1.80571607554998e-59,"Down"
1.81348638888069e-63,-1.81777513403685,0.255,0.914,1.39373682931037e-58,"C1qa-201",1.39373682931037e-58,"Down"
8.89317064007202e-63,-2.00820448125807,0.369,0.886,6.83475736372095e-58,"Ddx5-201",6.83475736372095e-58,"Down"
2.11314186605033e-62,-1.97859000467584,0.203,0.836,1.62403404973432e-57,"Slfn2-201",1.62403404973432e-57,"Down"
1.25756561479113e-61,-2.84063172276627,0.081,0.669,9.66489477591578e-57,"Plek-201",9.66489477591578e-57,"Down"
2.4417064297941e-61,-2.1037024312183,0.111,0.732,1.87654905955396e-56,"Kdm6b-201",1.87654905955396e-56,"Down"
